place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1221660137,오늘의치과의원,2969,670,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,부천임플란트치과 부천수면마취치과 라미네이트 부천치아교정치과 부천교정전문의,,0.33134,0.513303,0.457762,,0,351.0,10.0,,0.0177,0.016269,0.008065
2,1362516303,연세하이브치과의원 부천,2980,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,부천치과 부천심곡동치과 부천원미구치과 부천역치과 부천임플란트,,0.33134,0.464119,0.45405,,1,97.0,1.0,,0.0177,-0.005468,0.006424
3,1802504631,메가플란트치과의원,4299,771,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천역치과 수면의식하진정요법치아교정 라미네이트심미보철야간진료 네비게이션디지털임플란트치료,,0.33134,0.4635,0.454004,,9,355.0,8.0,,0.0177,0.043678,0.010134
4,19524204,서울리더스치과의원,2970,1140,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,임플란트 치아교정 턱관절 치과보존과 신중동치과,,0.33134,0.459895,0.453732,,-2,6.0,0.0,,0.0177,-0.01205,0.005928
5,1440766467,더센트럴치과의원,1582,65,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치아교정 상동사랑니발치 부천시청임플란트 부천중동치과 민생회복소비쿠폰사용처,,0.33134,0.458576,0.453632,,1,150.0,0.0,,0.0177,0.021733,0.008477
6,1717054002,서울숙면치과의원 부천,2865,181,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 수면임플란트 임플란트 신경치료 수면치과,,0.33134,0.444147,0.452543,,-1,309.0,0.0,,0.0177,-0.001629,0.006714
7,33787028,365봄치과의원,3160,836,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 춘의역임플란트 부천역충치치료 부천치아교정 사랑니발치,,0.33134,0.440727,0.452285,,-3,151.0,6.0,,0.0177,-0.01431,0.005757
8,1022270310,연세365치과의원 부천상동,1481,892,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,상동치과 부천치과 부천교정치과 부천임플란트 부천치아교정,,0.33134,0.439594,0.452199,Hot,17,197.0,4.0,,0.0177,0.062809,0.011577
9,1113119661,상상플란트치과의원,1548,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 틀니보철심미치료 원미구사랑니발치 턱관절치료치과,,0.33134,0.434674,0.451828,,0,119.0,4.0,,0.0177,0.00376,0.007121
10,482436895,부천청담네오플란트치과의원,2517,590,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,부천임플란트 부천교정치과 사랑니발치 부천중동치과 치아교정,,0.33134,0.430978,0.451549,,0,461.0,3.0,,0.0177,0.005965,0.007287
11,41921887,상동21세기치과의원,1636,1333,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,구강외과 산재보험 턱관절 기공실 틀니수리,,0.331294,0.430236,0.451476,,-4,48.0,0.0,,0.0177,-0.004422,0.006503
12,1656398876,연세바로치과교정과치과의원 부천점,1772,360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치아교정 상동교정치과 중동교정치과 상동치아교정 부천교정치과,,0.33134,0.42917,0.451413,Hot,16,231.0,6.0,,0.0177,0.058177,0.011228
13,1233976943,이루다치과의원 부천,749,1298,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,부천치과 부천임플란트 부천치아교정 역곡역치과 역곡역임플란트,,0.33134,0.428611,0.451371,,5,0.0,4.0,,0.0177,0.027792,0.008935
14,1702221995,이보다치과의원 부천본원,887,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천중동치과 부천치아미백 신중동역치과 부천임플란트치과 부천사랑니치과,,0.33134,0.427687,0.451301,,2,197.0,7.0,,0.0177,0.019043,0.008275
15,34857027,연세퍼스트치과의원,2305,1245,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,부천교정치과 임플란트 라미네이트 부천치과 스케일링,,0.33134,0.424859,0.451087,,-4,186.0,4.0,,0.0177,0.00435,0.007165
16,1391321974,에센스치과의원 부천신중동,2460,412,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 신중동치과 부천임플란트 부천치아교정 부천에센스치과,,0.33134,0.422452,0.450906,,-2,264.0,3.0,,0.0177,0.010503,0.00763
17,38304958,바른약속치과의원 부천본원,1379,2608,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,라미네이트 임플란트 사랑니발치 치아교정 부천치아스케일링,,0.331294,0.420088,0.45071,,-4,79.0,37.0,,0.0177,0.001099,0.00692
18,1054508093,서울훈치과의원 역곡,1306,422,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 구강검진 사랑니 턱관절 부천틀니,,0.331294,0.417866,0.450542,,3,256.0,1.0,,0.0177,0.0342,0.009418
19,1819849498,1미리치과의원 신중동역,1585,596,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치과신경치료 부천중동치과틀니 구강내과라미네이트심미보철 턱관절통증야간진료 일미리치아미백앞니레진,,0.33134,0.398593,0.449105,,1,113.0,10.0,,0.0177,0.012572,0.007786
20,1089988808,서울파트너치과의원 부천,672,212,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 치아미백투명교정 원미구사랑니발치 역곡역라미네이트,,0.33134,0.395655,0.448883,,-5,127.0,6.0,,0.0177,-0.01502,0.005703
21,1147819344,서울이로운치과의원 부천,2512,244,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천뼈이식임플란트치과 틀니보철심미치료 매복사랑니발치치과 치아미백,,0.33134,0.395482,0.44887,,-4,74.0,0.0,,0.0177,-0.010952,0.00601
22,1318993676,상동우수치과의원,123,193,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상동역임플란트 상동역치아미백 상동역치과 상동치과 상동사랑니,,0.33134,0.390773,0.448515,,1,28.0,11.0,,0.0177,0.00894,0.007512
23,1133912663,친절한호치과의원,2679,299,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 사랑니 턱관절 심미보철 충치치료,,0.331294,0.388394,0.448318,,-4,57.0,0.0,,0.0177,-0.005915,0.006391
24,2001627784,부천닥터스치과의원,896,100,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천임플란트치과 신중동치과 임플란트부천중동치과 부천치아교정치과 부천치과,,0.33134,0.383872,0.447994,,3,115.0,6.0,,0.0177,0.008085,0.007447
25,19497049,부천정플란트치과의원,2178,2730,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,부천치과 부천역치과 부천임플란트 부천충치치료 부천신경치료,,0.33134,0.377284,0.447497,,-1,402.0,-1.0,,0.0177,-0.001132,0.006752
26,1500354199,부천그랜드치과의원 부천시청역,1974,677,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,부천교정치과병원 신중동사랑니발치 부천시청역턱관절 중동임플란트전문치과 부천치과야간진료,,0.33134,0.367133,0.446731,,3,8.0,3.0,,0.0177,-0.002312,0.006663
27,1006349327,서울석치과의원,249,489,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천시청역치과 부천임플란트 부천신경치료 부천사랑니발치,,0.33134,0.365253,0.446589,Hot,12,48.0,1.0,,0.0177,0.063835,0.011655
28,1883802850,티파니치과의원,1612,145,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상동치과 일요일치과 라미네이트 임플란트 교정,,0.33134,0.363004,0.446419,,-2,137.0,2.0,,0.0177,-0.013188,0.005842
29,1445746712,늘바른치과교정과의원,658,335,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과교정과전문의 인비절라인투명교정 역곡교정치과 부천소아교정치과 부천치아교정치과,,0.33134,0.361867,0.446333,,-7,85.0,4.0,,0.0177,-0.020031,0.005325
30,1428996485,스탠다드치과의원 부천점,1670,294,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트 수면임플란트 부천치과 부천라미네이트 부천임플란트,,0.33134,0.360428,0.446225,,-22,106.0,5.0,,0.0177,-0.070907,0.001486
31,1416354015,오늘미소치과의원,826,705,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,부천역치과 심곡동임플란트 사랑니발치 부천야간진료치과 부천치과,,0.33134,0.358192,0.446056,,0,0.0,1.0,,0.0177,0.00432,0.007163
32,1169425890,부천보스톤치과의원,845,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,부천보스톤치과 치과 충치치료 부천임플란트 신경치료,,0.33134,0.349711,0.445416,,0,240.0,2.0,,0.0177,0.002152,0.007
33,1034403144,연세다정플란트치과의원,607,468,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,옥길치과 임플란트 충치치료 레진 신경치료,,0.33134,0.334955,0.444302,,2,20.0,4.0,,0.0177,0.005277,0.007235
34,11699672,사과나무치과병원,83,2583,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천임플란트 부천치아교정 부천교정치과 부천역치과,,0.33134,0.333856,0.444219,,3,0.0,4.0,,0.0177,0.009551,0.007558
35,1749158837,서울하윤치과의원 부천 상동,334,123,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천임플란트치과 부천치아미백 부천신경치료치과 부천턱보톡스 부천잇몸치료치과,,0.33134,0.332937,0.44415,Hot,18,240.0,12.0,,0.017746,0.082212,0.013059
36,13108380,부천꼬마이치과의원,61,430,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천어린이치과 부천소아치과 어린이치과 중동소아치과 중동어린이치과,,0.33134,0.329681,0.443904,,-2,0.0,0.0,,0.0177,-0.002196,0.006671
37,37234737,더맑은치과의원 부천본점,1329,781,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,임플란트 예손병원 충치 치아교정 신경치료,,0.331294,0.325677,0.443585,,-4,-5.0,0.0,,0.0177,-0.013934,0.005786
38,250053918,커스텀치과의원 부천 중동,1487,321,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,부천시청역치과 부천중동치과 교정치과 임플란트 치아교정,,0.33134,0.317477,0.442983,,-8,5.0,1.0,,0.0177,-0.045179,0.003427
39,36905774,연세정교한캡치과교정과의원,3570,738,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,부천교정치과 부천중동교정치과 부천상동교정치과 부천치과교정 연세김영준치과,,0.33134,0.316992,0.442946,,1,6.0,5.0,,0.0177,0.017214,0.008136
40,36639643,힐링윤치과의원,60,987,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 치과 매복사랑니 매복발치,,0.33134,0.30406,0.44197,,-2,2.0,2.0,,0.0177,-0.00208,0.00668
41,35443185,더탑치과교정과치과의원,44,1186,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,부천교정치과 부천교정전문의 인비절라인 설측교정 클리피씨,,0.33134,0.3033,0.441913,,0,0.0,13.0,,0.0177,0.004776,0.007197
42,11542172,노블리안치과의원,662,571,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,충치신경보존치료 턱관절통증장애 매복사랑니발치 디지털임플란트 양심치과,,0.33134,0.295794,0.441347,,0,0.0,2.0,,0.0177,-0.001577,0.006719
