place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35497766,라이브치과병원 인천부평,4765,2615,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,인천치과 인천인비절라인치아교정 뼈이식임플란트 매복사랑니발치 라미네이트보철치료,,0.33134,0.503693,0.470894,,2,268.0,11.0,,0.0177,0.007558,0.007818
2,1225351456,연세디앤유치과의원,2580,1217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 무삭제라미네이트 부평교정치과 인천치과,,0.33134,0.503055,0.470846,,-1,98.0,9.0,,0.0177,-0.002258,0.007077
3,1835870980,투명플러스치과의원 인천부평,5869,2343,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,부평치과 인천임플란트치과 부평치아교정치과 부평라미네이트 부평역스케일링,,0.33134,0.488923,0.469779,,-1,342.0,5.0,,0.0177,-0.012186,0.006327
4,1970483636,연세세브란스치과의원,1918,641,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,수면치과치료 사랑니발치 컴퓨터분석임플란트 치아교정치과 보존과전문의,,0.33134,0.484188,0.469422,,0,154.0,14.0,,0.0177,0.001263,0.007343
5,1498152618,365베스트치과의원 부평청천본점,2715,1347,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 청천동치과 산곡치과 일요일진료치과,,0.33134,0.47488,0.468719,,3,62.0,20.0,,0.0177,0.015943,0.00845
6,1146699780,365서울채움치과의원 부평,2587,871,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 임플란트 라미네이트 소아치과 야간치과,,0.33134,0.468835,0.468263,,-1,256.0,-189.0,,0.0177,0.00671,0.007753
7,31059089,디지털해피스치과의원 인천부평,3161,2064,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,부평치과 인천라미네이트 부평수면마취임플란트 부평역전문의임플란트 인천디지털치과,,0.33134,0.462799,0.467807,,0,784.0,45.0,,0.0177,0.003571,0.007516
8,1690154148,부평더맑은치과의원,2637,649,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천부평치과 공휴일야간진료치과 부평충치신경치료 부평무삭제라미네이트 인천임플란트치과,,0.33134,0.449142,0.466777,,3,283.0,47.0,,0.0177,0.031428,0.009619
9,1393194552,플란치과병원 인천 부평점,2882,2595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 인천치과 부평치과 인천임플란트 부평임플란트,,0.33134,0.445315,0.466488,,0,350.0,13.0,,0.0177,0.00519,0.007639
10,1102074818,동암플란트치과의원,591,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 동암역치과 십정동치과 임플란트 공휴일치과,,0.33134,0.417419,0.464382,,9,78.0,8.0,,0.0177,0.031558,0.009628
11,1858548459,부평 나우치과의원,4635,1007,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,부평치과 수면임플란트 치과수면치료 수면사랑니발치 교통사고자동차보험,,0.33134,0.410618,0.463869,,7,349.0,1.0,,0.0177,0.021705,0.008885
12,1001988141,나란이턱치과교정과의원,1691,433,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평치아교정 부평임플란트 부평교정치과 부평역치과,,0.33134,0.406526,0.46356,,3,96.0,-1.0,,0.0177,0.00595,0.007696
13,12803899,큐프라임동암치과의원 동암,1054,270,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,임플란트 턱관절 사랑니 교정치과 큐프라임치과,,0.33134,0.405819,0.463507,,1,234.0,0.0,,0.0177,0.002958,0.00747
14,13518558,서울티플란트치과의원,5759,853,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,인천치과 부평치과 사랑니 턱관절 임플란트틀니,,0.33134,0.404039,0.463373,,-4,494.0,3.0,,0.0177,-0.023715,0.005457
