place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1221729494,연세위드치과의원,4680,798,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남치과 성남인비절라인치아교정 성남전체뼈이식임플란트 성남당일매복사랑니발치 분당라미네이트보철치료,,0.33134,0.480592,0.407343,,0,261.0,4.0,,0.0177,0.008846,0.004328
2,1921628090,서울퍼펙트치과의원,1172,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸치료 수면무통마취치과 턱관절통증장애치료 디지털임플란트염증재수술 당일매복사랑니발치,,0.33134,0.469639,0.406516,,2,86.0,5.0,,0.0177,0.006851,0.004177
3,1726132301,연세청춘치과의원,4291,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,임플란트 사랑니발치 보철치료 심미치료 교정치과,,0.33134,0.468562,0.406435,,-1,-10.0,11.0,,0.0177,0.002004,0.003812
4,1223257482,밸런스치과병원,3545,1669,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,판교치과 분당치과 판교치아교정 분당임플란트 성남치과,,0.33134,0.463483,0.406052,,-1,84.0,5.0,,0.0177,-0.000523,0.003621
5,1239704128,플란트서울치과의원 미금,3904,1239,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 충치치료 분당치과 보철치료 라미네이트,,0.33134,0.456995,0.405562,,4,208.0,12.0,,0.0177,0.025533,0.005588
6,37813765,찬스플란트치과의원,1612,353,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,매복사랑니당일발치 임플란트재수술상담 충치신경잇몸치료 어르신보험틀니 구강검진치과,,0.33134,0.445211,0.404673,,-1,49.0,1.0,,0.0177,0.004483,0.003999
7,1562402492,서울리더스치과의원 미금,3778,1513,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미금치과 미금역치아교정치과 분당수면임플란트 분당매복사랑니발치 틀니보철심미치료,,0.33134,0.436628,0.404025,,0,50.0,13.0,,0.0177,0.004344,0.003989
8,31498464,리볼리치과의원,2252,421,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,분당임플란트 분당교정치과 분당소아치과 분당사랑니 성남치과,,0.33134,0.436382,0.404006,,-2,-4.0,3.0,,0.0177,0.002388,0.003841
9,1708029328,미금세브란스치과의원,2667,854,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미금치과 마취치과 분당치과 미금역치과 미금임플란트,,0.33134,0.435505,0.40394,,1,194.0,10.0,,0.0177,0.015606,0.004838
10,1310739136,제이디치과의원,4743,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,미금역치과 분당임플란트 분당인비절라인 미금교정치과 미금치아교정,,0.33134,0.428104,0.403382,,2,433.0,3.0,,0.0177,0.017416,0.004975
11,32430494,바른이디자인치과교정과치과의원,1664,342,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,돌출입교정 주걱턱교정 비발치교정 분당교정치과 분당치아교정,,0.33134,0.423072,0.403002,,-3,97.0,2.0,,0.0177,-0.009069,0.002976
12,2044900295,이턱편한치과의원,503,169,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,분당서현역치과 분당턱관절치과 분당서현역임플란트틀니치과 분당서현역잇몸치료뼈이식치과 분당서현역무통마취크라운인레이,,0.33134,0.403395,0.401517,,1,7.0,18.0,,0.0177,0.000408,0.003692
13,1502081740,서울케이유(KU)치과교정과치과의원,2768,152,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,분당교정치과 분당치아교정 미금역교정치과 미금역치아교정 인비절라인투명교정,,0.33134,0.401778,0.401395,,-2,137.0,1.0,,0.0177,-0.014381,0.002576
14,35463572,분당후즈후치과의원,1858,336,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,분당치과 수내역치과 사랑니발치 치아교정치과 임플란트치과,,0.33134,0.392922,0.400726,,0,0.0,1.0,,0.0177,0.003666,0.003937
15,36351425,엘치과의원,1570,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,야탑치과 야탑역치과 야탑야간치과 분당치과 성남치과,,0.33134,0.388268,0.400375,,8,157.0,0.0,,0.0177,0.052816,0.007647
16,20601796,더공감치과의원,374,600,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,야탑역치과전문의 분당구인비절라인 성남매복사랑니 경기광주치아교정 이매동임플란트,,0.33134,0.381592,0.399871,,-1,34.0,3.0,,0.0177,-0.003025,0.003432
17,11589958,데일리치과의원,4791,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,정자동치과 충치치료 임플란트 스케일링 치아미백,,0.33134,0.376264,0.399469,,2,1.0,2.0,,0.0177,0.020738,0.005226
18,1222057010,야탑든든한치과의원,586,451,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,야탑임플란트 분당턱관절치료 성남충치치료 치과가글마취 야탑치과,,0.33134,0.362306,0.398416,,4,32.0,1.0,,0.0177,0.026365,0.005651
19,36219755,하늘치과의원,723,337,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,야탑임플란트 야탑교정 야탑역앞니치료 야탑역스케일링 야탑잇몸치료,,0.331294,0.360864,0.39829,,-1,6.0,2.0,,0.0177,0.00018,0.003675
20,1474730859,마음드림치과의원,866,401,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,야탑역치과 사랑니발치 임플란트 미니쉬 분당치과,,0.33134,0.35895,0.398162,,1,106.0,12.0,,0.0177,0.012044,0.004569
21,1118031241,서울턱사랑니치과의원,480,1484,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,매복사랑니 사랑니발치 구강악안면외과전문의 사랑니전문 턱관절치과,,0.33134,0.358002,0.398091,,-1,2.0,4.0,,0.0177,0.005242,0.004056
22,1869489818,서울린치과교정과의원,630,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,돌출입 부분교정 분당치아교정 분당교정치과 인비절라인치과,,0.33134,0.343804,0.397019,,-5,178.0,9.0,,0.0177,-0.026619,0.001651
23,1563160337,판교서울치과교정과치과의원,501,63,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치아교정 판교교정치과 판교치과 판교인비절라인 분당인비절라인,,0.33134,0.318623,0.395119,,6,49.0,1.0,,0.0177,0.026074,0.005629
24,1228982560,서울크리스탈치과의원,552,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,서현역치과 충치치료 심미치료 임플란트 치아교정,,0.33134,0.316815,0.394982,,1,20.0,1.0,,0.0177,-0.002778,0.003451
25,1039688700,판교최용훈치과의원,19,84,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아재식술 치근단수술 최소삭제세라믹 신경치료최소화 치아살리기,,0.331294,0.312844,0.394665,,1,0.0,2.0,,0.0177,-0.00312,0.003425
26,11862724,분당어린이치과의원,69,875,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,분당소아치과 어린이치과 분당소아교정 분당교정치과 영유아구강검진,,0.33134,0.307906,0.39431,,2,0.0,4.0,,0.0177,0.012659,0.004616
27,1297978925,더아름다운치과의원,333,549,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미금역치과 치아미백 사랑니당일발치 뼈이식임플란트 임플란트재수술,,0.33134,0.303013,0.393941,,0,31.0,4.0,,0.0177,-0.004813,0.003298
28,1089760742,바른소아치과치과의원,9,202,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교어린이치과 판교소아치과 분당소아치과 분당어린이치과 성남소아치과,,0.33134,0.30108,0.393795,,3,0.0,0.0,,0.0177,0.012486,0.004603
29,1877567900,연세바른치과교정과치과의원,61,190,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,치과교정과 심미치과 돌출입교정 성장기교정 치주치료,,0.33134,0.292114,0.393118,,1,0.0,0.0,,0.0177,-8.2e-05,0.003654
30,1887304207,조웰구강내과치과의원,302,674,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,미금역치과 분당치과 구강내과 턱관절 코골이,,0.33134,0.285093,0.392588,,3,2.0,10.0,,0.0177,-0.000612,0.003614
31,11599460,서울키즈파파치과의원 분당미금점,33,572,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,분당어린이치과 수지어린이치과 판교어린이치과 경기광주어린이치과 용인어린이치과,,0.33134,0.282104,0.392363,,6,0.0,0.0,,0.0177,0.007494,0.004226
32,11595323,연세고운미소치과의원,24,1698,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,분당임플란트 분당치아교정 분당신경치료 분당잇몸치료 분당사랑니,,0.331294,0.282149,0.392349,,4,0.0,12.0,,0.0177,0.006028,0.004116
33,1344117015,서울엘리트치과의원,449,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,성남치과 분당치과 미금역치과 서울엘리트치과 분당임플란트,,0.33134,0.280234,0.392222,,2,6.0,1.0,,0.0177,0.00331,0.003911
34,13234669,서울화이트치과의원,7,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.278216,0.392052,Hot,30,0.0,2.0,,0.0177,0.053711,0.007714
35,1921069834,서울하상운치과교정과치과의원,676,210,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아교정 청소년교정 치과교정과전문의 분당미금역교정치과 투명인비절라인교정,,0.33134,0.270903,0.391517,Hot,31,24.0,4.0,,0.0177,0.049979,0.007432
