place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1198840790,백년미소치과의원,67,67,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 스케일링 사랑니발치 잇몸치료 신경치료,,0.331294,0.316239,0.391903,,0,-1.0,0.0,,0.0177,0.002515,0.00687
2,1310204156,사상연세비앤이치과병원 부산사상점,250,124,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사상치과 부산턱관절병원 사상임플란트 부산이갈이 부산턱보톡스,,0.33134,0.307412,0.391254,,0,8.0,-5.0,,0.0177,-0.003601,0.006408
3,1837180175,마린플란트치과의원,145,1719,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 임플란트치과 사랑니치과 주말치과 부산치과,,0.33134,0.291144,0.390026,,0,5.0,19.0,,0.0177,-0.009698,0.005947
4,13070455,엘리트치과병원,96,753,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,부산 치과 임플란트 교정 턱관절,,0.33134,0.24964,0.386894,,0,0.0,-1.0,,0.0177,-0.008097,0.006069
5,1832774134,주례정치과의원,68,177,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철 구강검진 틀니 충치,,0.331294,0.240321,0.386173,,6,0.0,0.0,,0.0177,0.023791,0.008475
6,1704740967,우리탑치과의원,893,582,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,주례치과 사상치과 치과 사상임플란트 치주과,,0.33134,0.238853,0.38608,,1,8.0,22.0,,0.0177,0.006524,0.007172
7,13249773,행복나눔치과의원,30,300,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,엄궁치과 사상구치과 임플란트 충치치료 어린이치과,,0.33134,0.238146,0.386026,,1,0.0,0.0,,0.0177,0.008055,0.007287
8,11559411,세인트치과의원,19,1647,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 치조골이식 구강외과 상악동거상,,0.331294,0.231523,0.385509,,-2,0.0,11.0,,0.0177,-0.002223,0.006512
9,13249696,사상맥치과의원,277,220,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,사상치과 사상구치과 덕포동치과 덕포치과 사상역치과,,0.33134,0.228957,0.385333,,0,1.0,1.0,,0.0177,0.005427,0.007089
10,1528160294,채움치과의원,598,1565,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,사상치과 사상구치과 사상역치과 부산임플란트 주례치과,,0.33134,0.226357,0.385136,,0,0.0,0.0,,0.0177,0.009813,0.00742
11,13249744,굿모닝유치과의원,64,190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 뼈이식 신경치료 치주치료 턱관절치료,,0.331294,0.220714,0.384693,,2,1.0,0.0,,0.0177,0.023778,0.008474
12,1997400618,고운이치과의원,6,410,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,소아진료 임플란트 라미네이트 충치,,0.331294,0.21903,0.384566,,4,0.0,0.0,,0.0177,0.032529,0.009134
