place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13249565,다대치과의원,247,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,다대포치과 다대동치과 임플란트 틀니 사하구치과,,0.33134,0.392072,0.373492,,0,32.0,1.0,,0.0177,0.001802,0.006815
2,1276680796,365효플란트치과의원,1500,514,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 하단치과 부산임플란트 사하구치과 하단역치과,,0.33134,0.386268,0.373054,,1,69.0,7.0,,0.0177,0.008549,0.007324
3,36410823,the화이트e치과의원,354,357,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,더화이트이치과 하단치과 사하구치과 사하구임플란트 사하구교정,,0.33134,0.381259,0.372676,,-1,9.0,2.0,,0.0177,-0.005448,0.006268
4,11884711,굿윌치과병원,685,2122,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하단치과 부산임플란트 치아교정 사랑니 사하구치과,,0.33134,0.363457,0.371333,,0,34.0,16.0,,0.0177,0.003672,0.006957
5,32452442,이좋은치과의원,595,970,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,하단치과 하단임플란트 사하구치과 하단사랑니 부산수면마취,,0.33134,0.359808,0.371057,,0,51.0,9.0,,0.0177,0.002712,0.006884
6,1401349625,닥터박치과의원,285,343,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,괴정사랑니발치 괴정임플란트 사하구치과 괴정현미경신경치료 괴정치과,,0.33134,0.345092,0.369947,,0,39.0,0.0,,0.0177,0.011284,0.007531
7,13175857,개구쟁이치과의원,39,663,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,어린이치과 소아치과 충치치료 불소 소아교정,,0.33134,0.32967,0.368783,,0,0.0,-1.0,,0.0177,0.009959,0.007431
8,13499211,하단어린이치과의원,30,177,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 사하구,,0.33134,0.299222,0.366485,,1,0.0,0.0,,0.0177,0.020619,0.008236
9,1247130729,드림치주과치과의원,2160,312,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,하단치과 부산사랑니발치 부산임플란트 부산잇몸치료 부산매복사랑니,,0.33134,0.271068,0.36436,,1,35.0,7.0,,0.0177,-0.007191,0.006137
10,1162457617,소중한이치과의원,59,186,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 턱관절 소아교정 하단치과,,0.33134,0.267938,0.364124,,-2,2.0,0.0,,0.0177,-0.018696,0.005269
11,13249361,반도치과의원,2,365,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.266747,0.364017,,3,0.0,0.0,,0.0177,0.022415,0.008372
12,13249293,한겨레치과의원,6,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.264213,0.363825,,-1,0.0,1.0,,0.0177,0.000586,0.006723
13,1202346424,장림치과의원,114,492,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장림치과 사하구치과 다대포치과 장림틀니 장림임플란트,,0.33134,0.255607,0.363193,,9,3.0,0.0,,0.0177,0.023368,0.008443
