place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1045272212,연세바로세움치과의원 산본,1506,157,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 무통마취 충치치료 산본치과 재신경치료,,0.33134,0.47667,0.385915,,4,141.0,0.0,,0.0177,0.083365,0.012971
2,1273945066,미래플란트치과의원,2126,564,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 사랑니발치 일요일진료 산본치과,,0.33134,0.450887,0.383969,,0,51.0,2.0,,0.0177,-0.010806,0.005864
3,1833216804,서울이랑드치과의원,1342,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 산본역임플란트 금정역신경치료 군포치과 이랑드치과,,0.33134,0.438411,0.383027,,-2,90.0,1.0,,0.0177,-0.02812,0.004557
4,1295580809,서울미라클치과의원,1374,591,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 충치신경보존치료 완전매복사랑니발치 수면마취치료치과 원데이네비게이션임플란트,,0.33134,0.423398,0.381894,,-1,71.0,7.0,,0.0177,-0.007972,0.006077
5,1873975567,바로이치과의원 산본,1513,1589,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,라미네이트 수면치과치료 원데이네비게이션임플란트 투명치아교정인비절라인 온누리상품권가맹점,,0.33134,0.416889,0.381403,,-1,-44.0,44.0,,0.0177,0.001294,0.006777
6,38500749,산본유니드치과의원,618,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 산본임플란트 산본교정치과 산본스케일링 틀니,,0.33134,0.403645,0.380403,,1,81.0,0.0,,0.0177,0.034919,0.009314
7,1278821587,잘해주는치과의원,383,1390,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,산본치과 비에프치과 BF치과 어린이치과 온누리상품권가맹점,,0.33134,0.387485,0.379184,,1,32.0,9.0,,0.0177,0.018862,0.008103
8,1171156532,서울에스치과의원,885,399,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니당일발치 산본치과 턱관절 원데이임플란트 구강검진,,0.33134,0.369453,0.377823,,-2,533.0,2.0,,0.0177,-0.014176,0.00561
9,13475721,산본효치과의원,47,273,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,야간진료 산본효치과 산본치과 산본역치과 산본에이치치과,,0.33134,0.355438,0.376765,,9,0.0,0.0,,0.0177,0.108249,0.014849
10,13137551,산본어린이치과의원,258,902,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,산본소아치과 어린이치과 산본교정치과 산본영유아검진 산본인비절라인,,0.33134,0.346575,0.376096,,-1,0.0,5.0,,0.0177,0.011789,0.007569
11,1249169746,마음치주과치과의원,339,102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치주전문의 치주임플란트 디지털진료 잇몸치료 치아미백,,0.331294,0.307453,0.373126,,-1,15.0,3.0,,0.0177,0.016491,0.007924
12,661492218,이지원치과교정과치과의원 산본,1025,416,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,산본치과 교정치과 치아교정 소아교정 성인교정,,0.33134,0.284928,0.371444,,-1,2.0,1.0,,0.0177,0.003075,0.006912
13,19867359,베스트플란트치과의원,158,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,스케일링 임플란트 충치치료 사랑니 야간진료,,0.331294,0.266233,0.370015,,-1,3.0,13.0,,0.0177,-0.001764,0.006546
14,36029001,로얄패밀리치과의원,55,402,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,산본치과 산본어린이치과 산본치아교정 산본임플란트 산본수면치료치과,,0.33134,0.260962,0.369635,,2,1.0,1.0,,0.0177,0.010423,0.007466
15,10977717,윈치과병원 산본,303,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,군포치과 산본치과 산본역치과 산본치아교정 산본동치과,,0.33134,0.252019,0.36896,,0,0.0,1.0,,0.0177,-0.000379,0.006651
16,1051886644,화이트치과의원,57,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,산본치과 산본임플란트 산본충치치료 산본일요일치과 군포치과,,0.33134,0.250767,0.368865,,-3,0.0,1.0,,0.0177,-0.01326,0.005678
17,21667143,연세탑치과의원,28,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,임플란트 심미보철 충치치료,,0.331294,0.250432,0.368823,,-3,0.0,-7.0,,0.0177,-0.006143,0.006216
18,11568506,원광대학교 치과대학 산본치과병원,37,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,산본치과 원광대치과 치과대학병원 임플란트 구강내과,,0.33134,0.236052,0.367755,,-1,1.0,1.0,,0.0177,-0.014139,0.005612
19,13301833,서울하이안치과의원,4,328,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.23033,0.367306,,0,0.0,-1.0,,0.0177,-0.003174,0.00644
20,13231222,예인부부치과의원,4,387,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,치아교정 보철 치주치료,,0.331294,0.223446,0.366786,,6,0.0,0.0,,0.0177,0.025443,0.008599
21,1092412095,산본엘치과의원,304,563,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,산본치과 치아교정 임플란트 사랑니 턱관절,,0.33134,0.215847,0.36623,,-1,0.0,0.0,,0.0177,-0.001564,0.006561
22,13231238,명문치과의원,7,512,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.211516,0.365886,,-1,0.0,0.0,,0.0177,0.001856,0.00682
23,13329918,유디치과의원 산본점,5,370,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,임플란트 치아교정 충치치료 산본치과 군포치과,,0.33134,0.210434,0.365821,,2,0.0,0.0,,0.0177,0.004748,0.007037
24,19530483,이엔미치과의원,4,178,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,임플란트 심미보철 얼라인교정 치아보존치료 양심치과,,0.33134,0.209714,0.365767,,-1,0.0,-1.0,,0.0177,0.002315,0.006854
25,13231154,산본치과의원,3,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,임플란트 투명교정 심미보철 턱관절 사랑니발치,,0.341289,0.153284,0.365263,,2,0.0,0.0,,0.0177,0.005582,0.007101
26,34714036,산본나란이치과의원,2,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.201984,0.365166,,-4,0.0,0.0,,0.0177,-0.006942,0.006155
27,1791687194,연세123치과교정과치과의원,101,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,산본교정치과 군포교정치과 산본치아교정 산본치과 산본역교정치과,,0.33134,0.190591,0.364324,,1,0.0,0.0,,0.0177,-0.006019,0.006225
28,590055268,플레루김치과의원,19,309,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 산본역치과 플라즈마신경치료 산본동치과 군포치과,,0.33134,0.189086,0.36421,,4,0.0,0.0,,0.0177,0.004189,0.006995
29,1473238427,서울해수치과의원,77,137,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.185838,0.363948,,2,13.0,0.0,,0.0177,-9.8e-05,0.006672
30,1955412282,서울삼성치과의원,1,224,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치과 산본 전문의,,0.33134,0.184338,0.363852,,3,0.0,0.0,,0.0177,0.00164,0.006803
31,11869197,김현치과교정과치과의원,2,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,산본치아교정 중년교정 성인부분교정 산본교정치과 군포교정치과,,0.33134,0.181314,0.363624,,5,0.0,0.0,,0.0177,0.013417,0.007692
32,20314831,오케이치과의원,6,423,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 치아교정 충치치료 군포치과 군포임플란트,,0.33134,0.180615,0.363571,,-8,0.0,0.0,,0.0177,-0.026499,0.00468
33,36816457,연세문치과의원,0,346,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,산본치과 산본역치과 산본일요일치과 산본야간진료치과,,0.33134,0.179547,0.36349,,-4,0.0,1.0,,0.0177,-0.013148,0.005687
34,11560171,온누리예치과의원,3,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.179094,0.363439,,-4,0.0,0.0,,0.0177,-0.007555,0.006109
35,13231209,조시형치과의원,2,88,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.174607,0.3631,,4,0.0,0.0,,0.0177,0.017485,0.007999
36,11715234,서울은치과의원,5,223,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,산본치과 임플란트 보철 틀니 산본역,,0.33134,0.161137,0.362101,,2,0.0,0.0,,0.0177,0.001246,0.006773
37,13231259,선우치과의원,1,209,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.156713,0.36175,,0,0.0,0.0,,0.0177,-0.006253,0.006208
38,13230629,행복한치과의원,1,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.152861,0.361459,,8,0.0,0.0,,0.0177,0.01371,0.007714
39,19522374,엠디치과의원,5,189,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,물방울레이저 무절개디지털임플란트 디지털임플란트,,0.331294,0.152742,0.36145,,-4,0.0,1.0,,0.0177,-0.017482,0.00536
40,13231202,한양치과의원,1,206,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,임플란트 교정 턱관절 스켈링 미백,,0.331294,0.151441,0.361352,,0,0.0,1.0,,0.0177,0.004315,0.007005
41,13231123,문윤자치과의원,1,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.150107,0.361251,Hot,10,0.0,0.0,,0.0177,0.024872,0.008556
42,13231297,에이스치과의원,2,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.149253,0.361187,,2,0.0,0.0,,0.0177,0.005739,0.007113
43,13231218,가나치과의원,1,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.147299,0.361039,,2,0.0,0.0,,0.0177,0.005783,0.007116
44,13231226,미소부부치과의원,1,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,,,0.331294,0.143595,0.36076,,6,0.0,0.0,,0.0177,0.010646,0.007483
45,13231269,스마일라인치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,치아교정 성인교정 소아교정 수술교정,,0.331294,0.142677,0.360691,Hot,13,0.0,0.0,,0.0177,0.037545,0.009513
46,13231221,한빛치과,1,59,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.141426,0.360596,,-5,0.0,0.0,,0.0177,-0.005288,0.00628
