place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1433406943,우리가족치과의원,2198,1665,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,천안치과 불당동치과 신불당치과 천안임플란트 천안야간진료,,0.33134,0.471032,0.349263,,0,-,-,,-,-,-
2,1038258961,맘애든어린이치과의원,1945,423,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,천안어린이치과 천안소아치과 영유아구강검진 천안키즈치과 천안인비절라인,,0.33134,0.464185,0.348746,,0,-,-,,-,-,-
3,1541238930,불당본점 서울비디치과의원,2365,5856,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,임플란트 교정치과 인비절라인 수면임플란트 충치치료,,0.33134,0.451198,0.347766,,0,-,-,,-,-,-
4,1627320775,서울니어치과의원 천안,4119,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,천안치과 네비게이션디지털임플란트치료 3D상악동뼈이식임플란트 라미네이트심미보철치료 충치잇몸신경치아교정,,0.33134,0.44627,0.347394,,0,-,-,,-,-,-
5,1201636169,바른탑치과의원,1622,510,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 두정동치과 임플란트 치아교정 사랑니발치,,0.33134,0.430828,0.346229,,0,-,-,,-,-,-
6,21428851,열린치과병원,1145,1339,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,천안치과 불당동치과 천안임플란트 신불당치과 천안불당동치과,,0.33134,0.418546,0.345302,,0,-,-,,-,-,-
7,1793845693,천안365치과의원,957,866,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 천안사랑니 천안야간진료,,0.33134,0.395691,0.343577,,0,-,-,,-,-,-
8,1053846986,행복플란트치과의원,1300,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,불당동치과 아산치과 임플란트 매복사랑니발치 치아교정치과,,0.33134,0.350149,0.34014,,0,-,-,,-,-,-
9,822219438,아홉가지약속백석치과의원,112,975,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치아교정 임플란트 심미보철 치아미백 충치치료,,0.331294,0.337445,0.339164,,0,-,-,,-,-,-
10,11844416,참조은치과병원,56,1605,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,천안치과 신불당치과 천안임플란트 천안치아교정 천안소아치과,,0.33134,0.320293,0.337886,,0,-,-,,-,-,-
11,1661042743,딩동댕꾸러기치과의원,38,206,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안어린이치과 천안소아치과 영유아구강검진 천안소아교정 투명교정,,0.33134,0.309743,0.33709,,0,-,-,,-,-,-
