place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1370069115,바위치과의원 청주본점,789,1021,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 서원구치과 야간진료치과 임플란트 치아교정,,0.33134,0.404049,0.344208,,0,-,-,,-,-,-
2,11587496,참조은치과병원,161,1771,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,청주치과 임플란트 치아교정 치아미백 매복사랑니발치,,0.33134,0.320411,0.337895,,0,-,-,,-,-,-
3,32433946,보스톤심치과의원,580,938,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,치과 임플란트 치아교정 턱관절 교정치과,,0.33134,0.301435,0.336463,,0,-,-,,-,-,-
4,1689849109,오성플란트치과의원,332,720,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,청주임플란트 청주치아교정 분평동치과 청주치과 청주교정치과,,0.33134,0.264327,0.333662,,0,-,-,,-,-,-
5,1364707617,임플라인치과의원,50,360,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,임플란트 치아교정 교정치과 보철치료 사랑니발치,,0.33134,0.261139,0.333422,,0,-,-,,-,-,-
6,1780868709,새싹어린이치과의원,18,330,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,어린이치과 소아치과 청주어린이치과 청주소아치과 청주키즈치과,,0.33134,0.255173,0.332972,,0,-,-,,-,-,-
7,12426402,미소담치과의원,80,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,치아교정 교정치과 설측교정 돌출입교정 청주치과,,0.33134,0.248029,0.332432,,0,-,-,,-,-,-
8,37020865,예부부치과의원,4,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,치과 스케일링 임플란트 소아 충치,,0.33134,0.231067,0.331152,,0,-,-,,-,-,-
9,13247749,베스트치과의원 청주,85,594,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,매복사랑니발치 앞니mta부분교정 턱관절치과 충치치아신경치료 수면임플란트,,0.33134,0.228033,0.330923,,0,-,-,,-,-,-
10,12783996,그린치과의원,9,279,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.227965,0.330901,,0,-,-,,-,-,-
11,48003596,서울휴치과의원,12,738,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,청주치과 청주임플란트 청주사랑니발치 턱관절치료 충치치료,,0.33134,0.223839,0.330607,,0,-,-,,-,-,-
12,11589557,행복한권치과의원,63,874,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,심미보철 야간진료 교정치과 턱관절 청주임플란트치과,,0.33134,0.222687,0.33052,,0,-,-,,-,-,-
13,36010731,미래연치과의원,2,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.222859,0.330516,,0,-,-,,-,-,-
14,1049458923,더블루체어치과의원,8,435,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,블루체어치과 청주치과 청주임플란트 더블루체어치과,,0.33134,0.221438,0.330426,,0,-,-,,-,-,-
15,12075767,사랑나눔치과의원,2,213,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.218206,0.330164,,0,-,-,,-,-,-
16,11886065,본치과의원,2,561,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.215999,0.329998,,0,-,-,,-,-,-
17,13248244,굿모닝치과의원,2,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,분평동굿모닝치과 임플란트,,0.33134,0.214102,0.329872,,0,-,-,,-,-,-
18,19515293,이용희치과의원,3,129,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.207961,0.329391,,0,-,-,,-,-,-
19,1540477773,클래식치과의원,2,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,분평동치과 수곡동치과 분평동스케일링 분평동충치 수곡동충치,,0.33134,0.20361,0.32908,,0,-,-,,-,-,-
20,1613973897,더봄치과의원,83,267,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털임플란트 심미보철 충치치료 야간진료 청주치과,,0.33134,0.199519,0.328771,,0,-,-,,-,-,-
21,11886788,홍치과의원,6,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.199124,0.328724,,0,-,-,,-,-,-
22,1062184813,청주올바른치과의원,31,534,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,청주예방치과 청주스케일링 충북대치과 청주치과 청주사랑니발치,,0.33134,0.195351,0.328457,,0,-,-,,-,-,-
23,19515313,심치과의원,0,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.193184,0.328276,,0,-,-,,-,-,-
24,1458434418,연세탁월한치과의원,31,242,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존치료 턱관절장애 매복사랑니 무통마취 재수술,,0.331294,0.192824,0.328249,,0,-,-,,-,-,-
25,13248158,미소진치과의원,1,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.1909,0.328104,,0,-,-,,-,-,-
26,11796266,사람사랑치과의원 청주점,3,185,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 치아성형 치아미백 충치치료 사랑니발치,,0.331294,0.18662,0.327781,,0,-,-,,-,-,-
27,13248120,조은미소치과의원,2,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.184359,0.32761,,0,-,-,,-,-,-
28,31184392,조앤리치과의원,1,210,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.182238,0.32745,,0,-,-,,-,-,-
29,13247969,김선호치과의원,1,293,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.179947,0.327277,,0,-,-,,-,-,-
30,19534691,조은치과의원,1,103,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.173824,0.326815,,0,-,-,,-,-,-
31,13248237,명인치과의원,8,301,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치과 청주임플란트 분평동치과 청주명인치과 명인치과,,0.33134,0.169525,0.326508,,0,-,-,,-,-,-
32,1458368946,삼성플란트치과의원,13,27,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주교대치과 수곡동치과 용암동치과 분평치과 청주임플란트,,0.33134,0.167647,0.326366,,0,-,-,,-,-,-
33,1413335230,진플란트치과의원,4,56,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,청주산남동임플란트 신경치료 이깨짐 청주산남동치과 일요일진료치과,,0.33134,0.165514,0.326205,,0,-,-,,-,-,-
34,1681694334,연세드라마치과의원,1,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,,,0.331294,0.163258,0.326017,,0,-,-,,-,-,-
