place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21560519,고르다치과의원 강남점,6348,1314,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,강남치과 강남역치과 강남임플란트 신논현역치과 신논현치과,,0.33134,0.499033,0.433452,,0,514.0,22.0,,0.0177,-0.014308,0.0056
2,1720118086,티유치과의원,5134,2303,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,강남역치과 무삭제라미네이트 제로네이트치아교정 신논현역사랑니발치치아미백 강남치과,,0.33134,0.498985,0.433448,,0,283.0,3.0,,0.0177,-0.002501,0.006491
3,35700929,화이트드림치과의원 서울 강남점,4035,1933,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,강남역치과 인비절라인치아교정 무삭제라미네이트 전체임플란트가격 강남치과,,0.33134,0.485586,0.432437,,0,92.0,16.0,,0.0177,-0.005962,0.00623
4,11602910,서울탑치과병원,4238,1084,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,임플란트 치아교정 투시임플란트 수면임플란트 서초치과,,0.33134,0.461226,0.430598,,0,431.0,3.0,,0.0177,-0.000562,0.006637
5,20144437,서울리마치과의원,2324,1339,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,강남역치과 강남임플란트 강남역교정치과 강남치과 강남인비절라인,,0.33134,0.444499,0.429336,,0,193.0,13.0,,0.0177,-0.004981,0.006304
6,1665677583,뉴엔치과의원,2728,1509,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강남역치과 임플란트수술 강남라미네이트 투명교정 라미네이트,,0.33134,0.437843,0.428833,,0,140.0,10.0,,0.0177,-0.000704,0.006626
7,1446824808,루센트치과의원 신논현,3712,1596,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강남교정치과 교정치과 치과교정과전문의 강남역교정치과 강남역치과,,0.33134,0.436403,0.428725,,3,425.0,19.0,,0.0177,0.017607,0.008008
8,1185660470,미니쉬치과의원 강남점,1879,128,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신논현역치과 미니쉬 라미네이트 강남역치과 무삭제라미네이트,,0.33134,0.43422,0.42856,,6,333.0,3.0,,0.0177,0.032351,0.009121
9,19350826,강남더블유치과의원,2068,567,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,신논현역치과 강남역임플란트 수면마취치과 치아교정미백무삭제라미네이트 사랑니발치충치신경치료크라운,,0.33134,0.428717,0.428145,,2,284.0,4.0,,0.0177,0.013345,0.007687
10,1908086012,오늘의치과의원 강남,2016,139,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신논현치과 강남역치과 강남일요일치과 강남야간진료치과 수면마취치과,,0.33134,0.428118,0.4281,,-3,-10.0,3.0,,0.0177,-0.008026,0.006074
