place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13216900,J스타일치과의원,2455,301,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,성신여대치과 성북구치아교정치과 성북구임플란트 임플란트 인비절라인,,0.33134,0.438095,0.395079,,1,216.0,0.0,,0.0177,0.013927,0.007731
2,37653181,더편한치과의원,2724,418,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성신여대임플란트 동소문로일요치과 성북구일요치과 돈암동일요치과 공휴일치과,,0.33134,0.437378,0.395025,,-1,188.0,1.0,,0.0177,0.000641,0.006728
3,19535194,유디치과의원 성신여대,1257,535,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성신여대치과 정릉역치과 임플란트 충치치료 심미보철,,0.33134,0.412361,0.393137,,1,49.0,1.0,,0.0177,0.000652,0.006729
4,13343053,서울S플러스치과의원,1352,576,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성신여대치과 성북구치과 임플란트 충치 돈암동치과,,0.33134,0.399627,0.392176,,2,153.0,7.0,,0.0177,0.018553,0.00808
5,1037084794,이상한나라앨리스치과의원 미아사거리,1064,1266,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,미아사거리치과 길음동치과 치주과전문의 미아사거리교정치과 미아사거리임플란트,,0.33134,0.388314,0.391322,,-2,106.0,4.0,,0.0177,-0.027199,0.004627
6,1433434469,훈치과의원,657,294,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,월곡역치과 미아사거리치과 월곡역임플란트 미아사거리임플란트 돌곶이역치과,,0.33134,0.387939,0.391294,,-1,2.0,1.0,,0.0177,-0.005341,0.006277
7,37564839,더서울치과의원,1323,1080,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,성신여대치과 성북구치과 성북구임플란트 성북구교정치과 돈암동치과,,0.33134,0.381156,0.390782,,0,47.0,3.0,,0.0177,0.001308,0.006778
8,13031389,빈센트치과의원,1256,930,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,성신여대치과 사랑니 치아교정 교정치과 임플란트,,0.33134,0.375583,0.390361,,0,180.0,2.0,,0.0177,-0.001837,0.006541
9,1658475050,성신웰치과의원,2071,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,성신여대치과 임플란트 성북구교정치과 동선동치과 성신여대입구역치과,,0.33134,0.357741,0.389015,,1,174.0,0.0,,0.0177,0.012698,0.007638
10,19530734,처음처럼치과의원,754,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,성신여대치과 충치치료 보철치료 임플란트 성신여대역치과,,0.33134,0.336911,0.387442,,1,12.0,1.0,,0.0177,0.018932,0.008108
11,33989997,성심바른치과의원,316,282,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,임플란트 미아리고개 신경치료 교정 길음역치과,,0.33134,0.323002,0.386393,,1,19.0,2.0,,0.0177,0.021506,0.008303
12,1783829696,안녕사랑니치과의원,6,444,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 사랑니발치 사랑니치과 사랑니병원 성신여대사랑니,,0.33134,0.297993,0.384505,,-3,0.0,4.0,,0.0177,-0.064224,0.001832
13,1436393365,서울에스치과의원,272,825,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,미아사거리치과 임플란트 치과보존과 길음동치과 신경치료,,0.33134,0.296418,0.384386,,0,0.0,3.0,,0.0177,0.0007,0.006732
14,11893598,아이세상치과의원 강북점,26,625,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,아이세상 강북소아치과 어린이교정 성북소아치과 성북교정,,0.33134,0.260715,0.381692,,4,0.0,1.0,,0.0177,0.014025,0.007738
15,31872084,키즈웰치과의원 길음점,8,132,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,어린이치과 소아치과,,0.33134,0.259529,0.381602,Hot,14,1.0,0.0,,0.0177,0.029847,0.008932
16,13306471,미보치과의원,562,697,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 턱관절 교정 보톡스 미백,,0.331294,0.258215,0.381486,,1,8.0,2.0,,0.0177,0.008109,0.007292
17,19527013,서울훈치과의원,108,278,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,종암동치과 종암동충치 종암동임플란트 종암동교정 종암동스케일링,,0.33134,0.252885,0.381101,,8,2.0,3.0,,0.0177,0.014137,0.007747
18,11602882,연세휴치과의원 길음점,543,577,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,길음역치과 성북구치과 길음동치과 미아사거리치과 연세휴치과,,0.33134,0.250398,0.380913,,-4,1.0,2.0,,0.0177,-0.011409,0.005818
19,13227442,성북이엔이치과의원,10,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.247308,0.380663,,-3,0.0,0.0,,0.0177,-0.004488,0.006341
20,1073034521,바른샘치과의원,88,203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치과 턱관절치료 사랑니발치 한성대입구역치과,,0.33134,0.2458,0.380566,,4,0.0,1.0,,0.0177,0.006654,0.007181
21,1251051248,연세고마운치과의원,451,368,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,길음역치과 길음역임플란트 치아교정 일요일진료치과 의식하진정치료,,0.33134,0.244902,0.380498,,-6,0.0,0.0,,0.0177,-0.011071,0.005844
22,74625452,서울효치과의원,4,463,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,정릉치과 정릉 임플란트 교정 효치과,,0.33134,0.240213,0.380144,,5,0.0,2.0,,0.0177,0.007429,0.00724
23,11640270,종암연세휴치과의원,326,917,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,종암동치과 종암임플란트 종암치아교정 종암치과 종암동충치치료,,0.33134,0.240168,0.380141,,3,2.0,6.0,,0.0177,0.005913,0.007126
