place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1188756609,월드플란트치과의원 창원,413,63,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 임플란트 상남동치과 사랑니발치 치아미백,,0.33134,0.484894,0.350309,,0,-,-,,-,-,-
2,1359533278,365바른치과의원 창원 대방점,1919,839,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 창원임플란트치과 야간진료 주말공휴일진료 창원성산구치과,,0.33134,0.471398,0.349291,,0,-,-,,-,-,-
3,1782101700,온가주치과의원,1970,716,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,창원치과 야간진료 임플란트 틀니 무삭제라미네이트,,0.33134,0.465031,0.34881,,0,-,-,,-,-,-
4,1984780197,더앞선치과병원 창원,1989,3675,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정치과 투명교정 인비절라인 수면,,0.33134,0.464685,0.348784,,0,-,-,,-,-,-
5,1719090943,서울연치과의원,1184,622,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,창원치과 임플란트 교정치과 치아교정 치과,,0.33134,0.455452,0.348087,,0,-,-,,-,-,-
6,1922488563,화이트이치과의원 창원,2282,640,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,창원치과 창원임플란트 창원치아교정 창원교정치과 창원상남동치과,,0.33134,0.455424,0.348085,,0,-,-,,-,-,-
7,11680526,램브란트치과병원 창원,2017,1093,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,창원치과 임플란트 치아미백 사랑니발치 치아교정,,0.33134,0.44395,0.347219,,0,-,-,,-,-,-
8,1055604627,정직한치과의원 창원상남동본점,2800,530,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 상남동치과 임플란트 라미네이트 치아교정,,0.33134,0.418062,0.345265,,0,-,-,,-,-,-
9,1957606740,이루다치과의원 창원,1769,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,창원치과 창원임플란트 창원치아미백 창원충치치료 창원스케일링,,0.33134,0.399489,0.343863,,0,-,-,,-,-,-
10,1521805472,가음정윤치과의원,1908,396,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전악임플란트 보험임플란트 상악동거상술 뼈이식임플란트 창원치아미백,,0.331294,0.391897,0.343273,,0,-,-,,-,-,-
11,1753225994,서울센텀치과의원 창원,979,152,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 성산구치과 상남동치과 임플란트 풀아치임플란트,,0.33134,0.369812,0.341624,,0,-,-,,-,-,-
12,32473162,좋은하루치과의원,1243,528,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,창원치과 창원임플란트 창원어린이치과 창원사랑니 창원교정치과,,0.33134,0.332138,0.33878,,0,-,-,,-,-,-
13,1313097510,사랑니사랑치과의원,42,582,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니치과 김해사랑니 창원사랑니 창원상남동치과 창원치과,,0.33134,0.327901,0.338461,,0,-,-,,-,-,-
14,12070542,키즈라이크치과의원,25,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원어린이치과 창원소아치과 영유아구강검진,,0.33134,0.325309,0.338265,,0,-,-,,-,-,-
15,37365933,아이사랑치과의원,71,330,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,어린이치과 소아치과 키즈치과 창원어린이치과 마산어린이치과,,0.33134,0.319804,0.337849,,0,-,-,,-,-,-
16,11726712,이가지런한치과의원,663,158,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,창원치과 창원치아교정 창원교정치과 창원교정 창원급속교정,,0.33134,0.307893,0.33695,,0,-,-,,-,-,-
17,365046270,이고치과의원,125,211,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가음정치과 교정치과 성산구치과 소아치과 사랑니,,0.33134,0.295843,0.336041,,0,-,-,,-,-,-
18,569751289,닥터오치과의원,63,441,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 구강악안면외과 가음동치과 가음정시장치과 잇몸치료,,0.33134,0.272904,0.33431,,0,-,-,,-,-,-
19,1392601123,리본구강내과치과의원,21,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상남동구강내과 성산구구강내과 창원구강내과 창원턱관절 창원이갈이,,0.331294,0.270031,0.334076,,0,-,-,,-,-,-
20,11535180,고운치과병원,144,861,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,창원임플란트 창원치과 고운치과 캐드캠 창원교정,,0.33134,0.262532,0.333527,,0,-,-,,-,-,-
21,13259370,오복치과의원,5,607,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.259702,0.333296,,0,-,-,,-,-,-
