place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1317636030,이도치과의원,610,823,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,세종시치아교정 세종시교정치과 세종시임플란트 네비게이션임플란트 세종치과,,0.33134,0.398668,0.458518,,0,9.0,0.0,,0.0177,0.007807,0.007268
2,1177072095,세종꾸러기소아치과의원,24,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세종소아치과 세종시어린이치과 세종시영유아검진 소담동소아치과 소담동어린이치과,,0.33134,0.32786,0.453174,,1,0.0,2.0,,0.0177,0.013292,0.007682
3,693565652,연세고마운치과의원 세종점,369,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,새롬동사랑니치과 세종임플란트치과 다정동치아미백치과 나성동라미네이트치과 한솔동턱관절치과,,0.33134,0.32176,0.452714,,-1,3.0,1.0,,0.0177,-0.013285,0.005677
4,1766607426,유디치과의원 세종점,426,919,치과,건강의료>병원>병원의원>치과>유디치과,0.0,,충치치료 사랑니발치 틀니 치아미백 세종임플란트,,0.331294,0.307446,0.451616,,0,0.0,18.0,,0.0177,0.00191,0.006823
5,36195165,맘애든치과의원 세종점,771,588,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,세종시치과 세종시교정치과 세종시어린이치과 세종시임플란트 세종시턱관절,,0.33134,0.306572,0.451568,,1,10.0,4.0,,0.0177,0.010483,0.007471
6,824685480,세종스타치과의원,584,856,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,세종시치과 세종시교정치과 세종시임플란트 세종시수면임플란트 세종시소아치과,,0.33134,0.301816,0.451209,,-1,1.0,1.0,,0.0177,-0.000761,0.006622
7,621379024,바른우리치과교정과치과의원,330,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,세종시 치과 교정치과 치아교정 턱관절,,0.33134,0.29451,0.450657,Hot,20,9.0,0.0,,0.0177,0.054414,0.010786
8,805143475,새롬숲치과의원,11,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,세종시치과 새롬동치과 통합치과전문의 트리오스5 디지털임플란트치과,,0.33134,0.29334,0.450569,,1,1.0,0.0,,0.0177,0.012069,0.00759
9,1371198434,단국대학교 세종치과병원,17,34,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,단국대세종치과병원 단대세종치과병원 세종치과병원 장애인구강진료센터 치과대학병원,,0.33134,0.290876,0.450383,,-2,1.0,0.0,,0.0177,-0.002222,0.006512
10,1447736627,당신의 치과의원,49,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세종시치과 세종시치아교정 세종시교정전문의 세종시교정치과 세종시인비절라인,,0.33134,0.282618,0.44976,,-2,2.0,1.0,,0.0177,-0.004653,0.006328
11,1370645026,도치소아치과의원,14,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,세종시소아치과 세종소아치과 다정동소아치과 세종시영유아검진 세종어린이치과,,0.33134,0.281644,0.449686,,4,0.0,0.0,,0.0177,0.013935,0.007731
12,1828609635,바른명치과의원,5,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정전문의상주 보존전문의상주 신경치료 충치치료 소아진료,,0.331294,0.278122,0.449403,,2,0.0,0.0,,0.0177,0.00917,0.007371
13,1201525461,세종드림치과의원,430,337,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 세종시치과 영유아검진 충치치료 사랑니발치,,0.33134,0.275211,0.449201,,-2,6.0,1.0,,0.0177,9e-05,0.006686
14,37235879,연세크리스마스치과의원,1168,379,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,세종시치과 세종시치아교정 세종시임플란트 세종시교정치과 세종시틀니,,0.33134,0.274728,0.449164,,4,4.0,2.0,,0.0177,0.015239,0.007829
15,1795085248,유앤성부부치과의원,39,514,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,세종임플란트 세종전문의치과 세종치아교정 유앤성 세종교정전문의,,0.33134,0.272877,0.449025,,-3,0.0,0.0,,0.0177,0.001665,0.006805
16,35965394,두치과,381,330,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.272544,0.448982,,-3,-1.0,0.0,,0.0177,0.002387,0.006859
17,1084088892,서울이사랑치과의원,28,394,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,세종치과 조치원치과 세종시치과 조치원임플란트 서울이사랑치과,,0.33134,0.265771,0.448488,Hot,15,1.0,0.0,,0.0177,0.031977,0.009092
18,1660104203,세종튼튼치과의원,7,123,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,세종_치과 세종_어린이_치과 세종_소아_치과 반곡동_치과 반곡동_소아_치과,,0.33134,0.263504,0.448317,,2,0.0,0.0,,0.0177,0.008753,0.00734
19,1822917687,연세해밀치과의원,3,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철치료 잇몸치료 소아치료 신경치료,,0.331294,0.262166,0.448199,,-2,0.0,0.0,,0.0177,0.002099,0.006838
20,37728248,삼성온가족치과의원,15,404,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과 치과 세종시치과 종촌동치과,,0.33134,0.261204,0.448144,,-4,0.0,0.0,,0.0177,-0.001586,0.00656
21,1710511041,강남치과의원 세종,273,108,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털치아교정 충치신경치료 세종시강남치과 임플란트틀니 미니쉬라미네이트,,0.33134,0.261055,0.448133,,-11,-13.0,0.0,,0.0177,-0.017777,0.005338
22,36391318,세종어린이치과의원,36,521,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,아름동어린이치과 세종아이치과 아름동치과 세종유아치과 세종키즈치과,,0.33134,0.259182,0.447991,,-3,0.0,0.0,,0.0177,0.002657,0.00688
23,37284793,화이트부부치과의원,599,250,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,앞니부분라미네이트 치아미백교정 완전틀니잇몸치료 임플란트염증재수술 어금니매복사랑니발치,,0.331294,0.254412,0.447614,,0,5.0,5.0,,0.0177,0.007903,0.007276
24,1778335839,서울굿모닝치과의원,359,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,임플란트 크라운 종촌동치아교정 종촌동치과 보철전문의,,0.33134,0.253854,0.447589,,0,0.0,0.0,,0.0177,0.00827,0.007303
25,38765830,참좋아치과의원,177,381,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,턱관절치료 세종교정치과 세종치과 교정전문의 통합진료과,,0.33134,0.25209,0.447456,,-4,0.0,1.0,,0.0177,0.003013,0.006907
26,1483119641,연세올바른치과의원,540,910,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 심미보철 틀니 잇몸치료 소아진료,,0.331294,0.252268,0.447452,,-4,0.0,9.0,,0.0177,0.005344,0.007083
27,1046422030,세종365치과의원,599,173,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세종임플란트 세종치과 세종시치과 세종시임플란트 나성동치과,,0.33134,0.244117,0.446854,,7,6.0,0.0,,0.0177,0.015584,0.007855
28,13349613,다인치과의원,648,278,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,조치원치과 임플란트 충치치료 조치원임플란트 조치원임플란트치과,,0.33134,0.242338,0.44672,,-2,3.0,1.0,,0.0177,0.000929,0.00675
29,37226347,스마일치과의원,11,358,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,세종시치과 고운동치과 세종시임플란트 세종시신경치료 세종시크라운,,0.33134,0.241881,0.446685,,7,0.0,1.0,,0.0177,0.013653,0.007709
30,38547483,더플랜트치과의원,25,296,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 전신질환 사랑니발치 치주보존치료,,0.331294,0.239723,0.446505,,-2,0.0,0.0,,0.0177,-8.4e-05,0.006673
31,1850586390,세종탑치과,64,198,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,새롬동치과 한솔동치과 다정동치과 세종탑치과 야간진료,,0.33134,0.23697,0.446315,,8,0.0,1.0,,0.0177,0.013842,0.007724
