place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1235422170,서울리오치과의원,3546,492,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,헬리오시티치과 수면임플란트 잠실치과 송파임플란트 송파치아교정,,0.33134,0.492641,0.390139,,4,274.0,7.0,,0.0177,0.020673,0.00824
2,1259307268,서울0.1치과의원,2907,712,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파치과 잠실치과 무절개임플란트 일요일치과 방이동임플란트,,0.33134,0.489119,0.389873,,0,254.0,24.0,,0.0177,0.00207,0.006835
3,37070578,더바름 치과병원,2296,1203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면마취임플란트 치아교정치과 앞니부분교정 인비절라인 치과공포증,,0.33134,0.480214,0.389201,,-2,270.0,-1.0,,0.0177,-0.018538,0.00528
4,1030649885,탑플러스치과의원,3179,700,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,송파치과 디지털임플란트 치아교정치과 고난도사랑니발치 충치치료,,0.33134,0.474482,0.388768,,3,538.0,8.0,,0.0177,0.011548,0.00755
5,1709701276,서울권치과의원,2028,946,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,임플란트 앞니치료 심미보철 라미네이트 송파치과,,0.33134,0.470515,0.388469,,-2,296.0,4.0,,0.0177,-0.010334,0.005899
6,1808748843,연세꿈꾸는치과교정과의원 송파잠실점,1389,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실교정치과 인비절라인 송파투명교정 치아재교정 앞니부분교정,,0.33134,0.470194,0.388445,,-2,81.0,5.0,,0.0177,-0.010452,0.005891
7,1271363073,서울오브치과병원,1901,558,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파구치과 구강악안면외과전문의 치과병원 임플란트 야간진료치과,,0.33134,0.468706,0.388333,,-1,160.0,36.0,,0.0177,0.004507,0.00702
8,1739764557,위례양치과의원,2060,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,위례치과 위례임플란트 위례사랑니발치 위례충치치료 거여동잇몸치료치과,,0.33134,0.466542,0.388169,,0,84.0,10.0,,0.0177,0.016668,0.007937
9,1680628161,더365치과의원,1610,683,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실치과 잠실임플란트 잠실새내역치과 일요일치과 365치과,,0.33134,0.459059,0.387605,Hot,10,175.0,2.0,,0.0177,0.064343,0.011536
10,1561051139,연세굿플란트치과의원 잠실송파본점,5636,1485,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,사랑니 수면임플란트 라미네이트 송파치과 치과,,0.33134,0.44945,0.386879,,-1,583.0,17.0,,0.0177,0.006835,0.007195
11,1021138051,연세꿈꾸는아이치과의원 송파위례점,1863,932,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 어린이치과 치아교정 인비절라인 충치치료,,0.33134,0.446942,0.38669,,-1,95.0,15.0,,0.0177,0.006335,0.007157
12,37165486,서울이오스치과교정과치과의원,2095,277,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,교정치과 치아교정 돌출입교정 주걱턱교정 클리피씨교정,,0.33134,0.430051,0.385415,,-1,193.0,1.0,,0.0177,0.002045,0.006834
13,1516748831,연세다감치과의원,1460,110,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸보철심미치료 수면무통마취치과 수평매복고난도사랑니발치 턱관절통증장애보톡스치료 디지털네비게이션재수술임플란트,,0.33134,0.422934,0.384878,,-1,205.0,14.0,,0.0177,0.003123,0.006915
14,11879319,연세하이디치과의원,2583,675,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,잠실치과 잠실새내치과 송파구치과 임플란트 잠실라미네이트,,0.33134,0.417505,0.384468,,3,185.0,5.0,,0.0177,0.017195,0.007977
15,1098719428,연세우리집치과의원 송파석촌,3055,378,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파구치과 석촌동치과 석촌역치과 임플란트 치아교정,,0.33134,0.409945,0.383898,,-1,128.0,5.0,,0.0177,9.6e-05,0.006687
16,1096130443,연세웰주니어치과의원 송파 개롱역점,945,346,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파구소아어린이치과 영유아구강검진 수면치료 치아교정 프리올소,,0.33134,0.409762,0.383884,,5,186.0,5.0,,0.0177,0.02076,0.008246
17,1329902415,연세일등치과의원,1017,214,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,문정동치과 레진빌드업 당일사랑니발치 디지털임플란트 미세현미경,,0.33134,0.407502,0.383713,,-4,66.0,5.0,,0.0177,-0.003561,0.00641
18,1086926124,서울롱치과교정과치과의원 가락점,940,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정전문치과 인비절라인 투명교정 치아교정 가락동치과,,0.33134,0.403181,0.383387,,-2,95.0,3.0,,0.0177,0.000425,0.006711
19,1595668698,이아소치과의원 위례,2275,282,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,위례치과 치아교정전문 어린이충치치료 위례교정치과 위례교정과전문의,,0.33134,0.399944,0.383143,,1,193.0,2.0,,0.0177,0.008667,0.007334
20,1643866856,서울용한치과의원,2489,644,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 라미네이트 인비절라인 송파치과 위례교정치과,,0.33134,0.399899,0.38314,,-5,443.0,1.0,,0.0177,-0.007165,0.006139
21,21016712,연세우리치과의원,867,283,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,치아교정 임플란트 교정전문의 투명교정 부분교정,,0.331294,0.382193,0.381786,,2,0.0,0.0,,0.0177,-0.002092,0.006521
22,1666981544,스마일러치과의원,507,31,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,문정동치과 송파치과 송파라미네이트 임플란트 치아교정,,0.33134,0.380706,0.381691,,5,16.0,0.0,,0.0177,0.031795,0.009079
23,1428958044,미래로치과의원,1591,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,거여동치과 임플란트치과 심미보철 라미네이트 위례치과,,0.33134,0.379682,0.381614,,-1,112.0,0.0,,0.0177,-0.006911,0.006158
24,12023243,미앤미치과의원,975,152,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,잠실임플란트 잠실충치 잠실사랑니 통합치의학과전문의 잠실스케일링치과,,0.33134,0.372927,0.381104,,-6,80.0,-1.0,,0.0177,-0.023703,0.004891
25,1202279384,잠실숲사랑니구강악안면외과치과의원,124,1025,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,매복사랑니 사랑니발치전문 구강악안면외과 사랑니전문 송파구_사랑니,,0.331294,0.362588,0.380306,,-1,0.0,1.0,,0.0177,-0.008996,0.006
26,492601801,서울에이플치과의원,593,843,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,문정동치과 문정역치과 송파치과 잠실치과 충치치료,,0.33134,0.359351,0.380079,,0,23.0,3.0,,0.0177,0.006082,0.007138
27,1888813476,밝은하루 치과의원,706,421,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,거여동치과 송파임플란트 송파치아교정 마천역임플란트 마천동치과,,0.33134,0.354533,0.379716,,1,148.0,-1.0,,0.0177,0.008674,0.007334
28,1278149479,잠실서울치과의원,955,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,잠실새내치과 잠실치과 잠실새내임플란트 잠실소아진료치과 잠실토요일진료치과,,0.33134,0.342594,0.378815,,-3,0.0,2.0,,0.0177,-0.011896,0.005782
29,19524571,강주일치과의원,6,242,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,임플란트 교정 심미치료 틀니수리 사랑니발치,,0.331294,0.339577,0.37857,Hot,46,0.0,1.0,,0.0177,0.108344,0.014857
30,620275854,아이디문정치과의원,653,582,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,문정역교정치과 문정동임플란트 송파치과 문정동치과 문정역치과,,0.33134,0.314141,0.376667,,1,1.0,10.0,,0.0177,-0.007171,0.006138
31,10988616,마음편한행복치과의원 개롱역점,518,485,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,개롱역치과 가락동치과 임플란트 치아교정 송파구치과,,0.33134,0.310325,0.376379,,1,44.0,4.0,,0.0177,-0.00726,0.006131
32,13587349,서울튼튼키즈치과소아치과의원,569,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,인비절라인퍼스트 프리올소 잠실어린이치과 잠실소아치과 소아치과전문의2인진료,,0.33134,0.293386,0.375101,,6,0.0,8.0,,0.0177,0.012546,0.007626
33,19528170,굿플란트치과의원,295,1043,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,송파구교정치과 거여동치과 위례치과 송파치과 송파인비절,,0.33134,0.292249,0.375015,,1,0.0,2.0,,0.0177,-0.004494,0.00634
