place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1286518554,365드림치과병원 수영,2366,1288,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 부산교정치과 부산라미네이트 부산수영치과 부산인비절라인,,0.33134,0.480685,0.365086,,0,-4.0,8.0,,0.0177,0.012293,0.007607
2,1016296411,수영센텀치과의원,1043,586,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,수면임플란트재수술 매복사랑니발치 충치치료 턱관절장애치료 수영구전문의치과,,0.33134,0.416397,0.360234,,0,31.0,5.0,,0.0177,0.012896,0.007653
3,1351622905,광안뉴욕치과의원,672,305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산임플란트 부산치아교정 부산치과 부산어린이치과 수영치과,,0.33134,0.415551,0.36017,,1,35.0,1.0,,0.0177,0.016512,0.007926
4,1027602401,남천바른생각치과의원,1194,507,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,남천동치과 남천동임플란트 부산심미레진치과 부산앞니레진치과 부산앞니치료,,0.33134,0.415072,0.360134,,-1,92.0,3.0,,0.0177,0.015944,0.007883
5,1530118685,광안리동백나무치과의원,353,535,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 충치치료 치주염잇몸질환 네비게이션보험임플란트 광안리치과,,0.33134,0.378128,0.357346,,0,22.0,3.0,,0.0177,-0.005993,0.006228
6,1992295767,수목치과의원,301,423,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보험임플란트재수술 충치치료 틀니제작수리 신경치료 광안리치과,,0.33134,0.362976,0.356202,,0,22.0,0.0,,0.0177,0.013615,0.007707
7,1835281765,수영하임치과의원,895,303,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영구임플란트 수영구치아교정 잇몸치료 부산미니쉬 수영구인비절라인,,0.331294,0.349273,0.355151,,1,82.0,3.0,,0.0177,0.031494,0.009057
8,12941233,위드미치과의원,295,360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영구치과 광안동치과 광안리치과 풀아치임플란트 치아미백,,0.33134,0.325989,0.353411,,-1,40.0,6.0,,0.0177,-0.013386,0.00567
9,37935310,수영어린이치과의원,22,443,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 소아치과 영유아검진 광안동어린이치과 센텀어린이치과,,0.33134,0.301992,0.351599,,0,0.0,0.0,,0.0177,0.011212,0.007525
10,35252028,세종치과의원 수영,65,739,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,수영구치과 부산임플란트 수면임플란트 부산치과교정 수영구임플란트,,0.33134,0.257869,0.348269,,0,1.0,2.0,,0.0177,0.011549,0.007551
11,1326544623,수영메디컬치과의원 부산 수영,303,254,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산수영구치과 전체임플란트 매복사랑니발치 인비절라인 앞니부분교정,,0.33134,0.248361,0.347552,,0,13.0,3.0,,0.0177,0.008804,0.007344
12,32417433,광안제일치과의원,14,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,광안리치과 광안동치과 광안리야간치과 수영치과 수영임플란트,,0.33134,0.24553,0.347338,,3,0.0,0.0,,0.0177,0.018635,0.008086
13,11823485,성분도치과병원,41,680,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,치과 임플란트 보철 치주,,0.33134,0.244525,0.347262,,0,0.0,1.0,,0.0177,0.006706,0.007185
14,33211401,전재호바른이치과의원,2,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,부산돌출입교정 부산덧니교정 부산치아교정 부산성장기턱교정 부산교정,,0.331294,0.237243,0.346696,,3,0.0,1.0,,0.0177,0.012801,0.007646
15,1511606570,리엘치과의원,12,410,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남천동치과 임플란트 사랑니발치 수영구치과 대연동치과,,0.33134,0.230669,0.346217,,-3,0.0,1.0,,0.0177,-0.007168,0.006139
16,1905479867,시카고치과의원,303,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영역치과 광안동치과 수영치과 광안치과 수영구치과,,0.33134,0.22987,0.346156,,0,1.0,5.0,,0.0177,0.004343,0.007007
