place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1293769332,광교365리움치과병원 수원,5942,1336,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트치과 공휴일진료치과 영통치과수면치료 광교치아교정치과전문의,,0.33134,0.511281,0.487894,,0,331.0,11.0,,0.0177,0.003719,0.00696
2,1101904443,웃는얼굴치과의원 수원점,6056,607,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트 인계동치과 치아교정치과 사랑니발치,,0.33134,0.500982,0.487116,,2,314.0,8.0,,0.0177,0.022991,0.008414
3,1538966609,H플란트치과의원 수원,1425,362,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,수원치과 수원임플란트 수원교정치과 수원치아교정 수원크라운,,0.33134,0.485286,0.485932,,9,163.0,11.0,,0.0177,0.038031,0.00955
4,37296563,화이트드림치과의원 수원,6008,873,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트틀니 매복사랑니발치 인계동턱관절 수원치아교정치과 인비절라인,,0.33134,0.483029,0.485762,,-2,277.0,4.0,,0.0177,-0.0073,0.006129
5,11853269,좋은솜씨오케이치과의원,4801,1511,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,미니쉬 치아교정 임플란트 수면사랑니 수원치과,,0.33134,0.481425,0.48564,,-2,546.0,5.0,,0.0177,-0.003218,0.006436
6,1068217231,연세안심치과의원,1151,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원임플란트 잇몸치료 구강악안면외과 인계동치과 임플란트재수술,,0.33134,0.479408,0.485488,Hot,19,211.0,16.0,,0.0177,0.089327,0.013421
7,1967765521,노블치과의원 수원,2021,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 장안구치과 조원동치과 수원임플란트 수원치아교정,,0.33134,0.478122,0.485391,,4,162.0,1.0,,0.0177,0.028373,0.008821
8,21435600,인플란트치과의원,4147,578,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,수원임플란트 수원치과 인계동임플란트 인계동치과 권선동치과,,0.33134,0.47701,0.485307,,-3,568.0,-2.0,,0.0177,0.002832,0.006893
9,36960750,퍼스티지치과의원,5130,1058,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,수원치과 임플란트 치아교정 사랑니발치 전체임플란트,,0.33134,0.465039,0.484404,,-3,117.0,-2.0,,0.0177,-0.003991,0.006378
10,1430030267,플란치과의원 경기 수원점,2636,1360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수원치과 수원임플란트 광교임플란트 광교치과,,0.33134,0.46254,0.484215,,-2,349.0,8.0,,0.0177,0.001289,0.006776
