place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13538932,서울플러스치과의원 성남,3071,959,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,성남치과 임플란트 치아교정 교정치과 치과,,0.33134,0.489645,0.350668,,0,289.0,0.0,,0.0177,-0.00888,0.00601
2,1333658420,바른모양치과의원,1898,93,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트틀니 턱관절 충치신경치료 치아미백 잇몸치료,,0.331294,0.475077,0.349551,,9,140.0,0.0,,0.0177,0.081973,0.012866
3,1249971492,서울밝은미소치과의원,1036,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,위례치과 위례임플란트 위례충치치료 위례스케일링 위례치아교정,,0.33134,0.467908,0.349027,,-1,-1.0,2.0,,0.0177,0.006984,0.007206
4,1771850260,서울민플란트치과의원 성남,3053,678,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,성남치과 네비게이션임플란트치과 충치신경잇몸치료 올세라믹크라운치료 매복사랑니발치,,0.33134,0.459957,0.348427,,-1,344.0,10.0,,0.0177,0.005242,0.007075
5,38590058,위례365 치과의원,2945,234,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,위례치과 위례신도시치과 위례임플란트 위례치아교정 위례교정치과,,0.33134,0.457383,0.348233,,0,192.0,0.0,,0.0177,0.008308,0.007307
6,1969371918,서울아산센트럴치과의원 성남,2781,538,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남치과 수정구치과 사랑니발치 수면임플란트 치아교정,,0.33134,0.449338,0.347626,,-2,189.0,6.0,,0.0177,-0.004744,0.006322
7,1115384929,서울에스치과교정과치과의원,1211,388,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,위례교정치과 위례치과 위례교정 위례교정과전문의 치아교정,,0.33134,0.433451,0.346427,,-1,192.0,9.0,,0.0177,0.021628,0.008312
8,38256869,더서울치과의원 성남,4761,1809,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,성남치과 매복사랑니발치치과 인비절라인투명교정치과 3D디지털네비게이션임플란트 보철치료치과,,0.33134,0.425694,0.345841,,-1,294.0,2.0,,0.0177,0.016647,0.007936
9,1696694219,위례좋은치과의원,2922,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,위례치과 위례임플란트 치아교정 임플란트 사랑니발치,,0.33134,0.41943,0.345368,,0,260.0,1.0,,0.0177,0.017275,0.007983
10,1357925475,연세모두치과교정과치과의원,1653,259,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,위례치과 위레교정치과 위례치아교정 위례교정과전문의 치아교정,,0.33134,0.416564,0.345152,,0,407.0,0.0,,0.0177,0.017238,0.00798
11,1308133332,연세꿈꾸는아이치과의원 성남산성점,803,424,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수정구치과 성남소아치과전문의 성남교정치과전문의 인비절라인투명교정치과 성남장애인치과,,0.33134,0.39693,0.34367,,1,131.0,14.0,,0.0177,0.018701,0.008091
12,31059063,인생플란트치과의원 성남,2905,1277,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,성남치과 성남전체식립임플란트 성남임시틀니보철제작 성남주말공휴일진료치과 태평역고령자임플란트전문,,0.33134,0.394867,0.343515,,1,450.0,7.0,,0.0177,0.027355,0.008744
13,1010449799,제이덴치과의원,1753,615,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,위례치과 위례치아교정 위례임플란트 위례신도시치과 수정구치과,,0.33134,0.384782,0.342753,,-5,7.0,9.0,,0.0177,-0.02337,0.004915
14,1120896231,라인플란트치과의원,881,1408,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,턱관절통증 신흥역치과 인비절라인 임플란트 투명교정,,0.33134,0.356538,0.340622,,0,61.0,17.0,,0.0177,0.006763,0.00719
15,953750051,서울반트치과교정과치과의원,1092,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,교정전문치과 부분교정 투명교정 인비절라인 성인교정,,0.33134,0.317834,0.337701,,3,104.0,4.0,,0.0177,0.037192,0.009487
16,13235221,성심치과의원,271,679,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,신흥동치과 임플란트 틀니 교정 성남치과,,0.33134,0.290323,0.335624,,1,3.0,0.0,,0.0177,0.007916,0.007276
17,1186675177,연세탑치과의원,709,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,위례치과 창곡동치과 위례임플란트 창곡동임플란트 위례치과치료,,0.33134,0.282999,0.335072,,-2,92.0,0.0,,0.0177,-0.012731,0.005719
18,1825131464,아이편한 소아치과의원,268,689,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,인비절라인퍼스트 반대교합교정 장애인치과 어린이교정 어린이치과,,0.33134,0.263118,0.333571,,-2,1.0,8.0,,0.0177,-0.024099,0.00486
19,37811480,굿패밀리치과의원,50,383,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,위례치과 임플란트 치아교정 소아치과 수면치료,,0.33134,0.260142,0.333347,,4,0.0,0.0,,0.0177,0.011039,0.007513
20,1146515585,연세웰키즈치과의원,14,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,위례_어린이치과 송파_어린이치과 송파_키즈치과 위례_키즈치과 위례_소아치과,,0.33134,0.25368,0.332859,,1,0.0,0.0,,0.0177,-0.001946,0.006533
21,1540213396,금토정성치과의원,327,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일반진료 사랑니발치 임플란트 턱관절치료 치아미백,,0.331294,0.242906,0.332029,Hot,12,0.0,2.0,,0.0177,0.019162,0.008126
22,1046147026,아이자람어린이치과의원,30,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,위례어린이치과 위례소아치과 성남어린이치과 송파어린이치과 위례영유아구강검진,,0.33134,0.240395,0.331856,,4,1.0,0.0,,0.0177,0.004208,0.006997
23,38453374,서울바른생각치과의원 위례,433,282,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,위례치과 위례임플란트 위례신도시치과 창곡동치과 위례치아교정치과,,0.33134,0.238794,0.331735,,8,0.0,0.0,,0.0177,0.014258,0.007755
24,38552151,위례서울치과병원,349,767,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,당일사랑니발치 턱관절스플린트치료 그래피투명교정장치 위례서울치과 스트라우만보험임플란트,,0.33134,0.238731,0.331731,,-2,0.0,12.0,,0.0177,-0.013607,0.005653
25,1785851269,세브란스치과의원,2,185,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,고등동치과 판교치과 고등동임플란트 고등동소아치과 구강검진,,0.33134,0.238019,0.331677,,2,0.0,0.0,,0.0177,0.006695,0.007185
26,905249306,위례헤브론치과의원,3,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,위례치과 위례임플란트 위례교정 소아부정교합개선 구강악안면외과전문의,,0.33134,0.236692,0.331577,,-7,0.0,0.0,,0.0177,-0.042982,0.003436
27,2099448591,도토리소아치과의원,4,28,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창곡동소아치과 위례소아치과 위례어린이치과 송파어린이치과 성남어린이치과,,0.33134,0.234969,0.331447,Hot,13,2.0,12.0,,0.0177,0.022458,0.008375
28,1782414904,에이덴치과의원,5,165,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,임플란트 교정 치아보존 사랑니발치 위례치과,,0.33134,0.232928,0.331293,,-3,0.0,0.0,,0.0177,-0.007493,0.006114
29,12069980,아이숲치과의원,25,251,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,소아치과 어린이치과 수면치료 우식관리 소아교정,,0.33134,0.232917,0.331292,,0,0.0,0.0,,0.0177,0.003857,0.006971
30,879668107,위례어린이치과의원,0,185,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,영유아구강검진 소아치과 어린이치과 소아교정,,0.33134,0.229193,0.331011,,0,0.0,-1.0,,0.0177,0.002551,0.006872
31,13123623,서울OK치과의원 성남점,39,379,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,성남사랑니 성남임플란트 신흥역치과 성남양심치과 서울대치과,,0.33134,0.228259,0.33094,,4,-36.0,-1.0,,0.0177,0.005621,0.007103
32,1066518900,미소더함치과교정과치과의원,848,291,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,인비절라인 치아교정 라미네이트 임플란트 심미보철,,0.331294,0.2268,0.330813,,0,5.0,0.0,,0.0177,0.002724,0.006885
33,1104447887,올바른약속치과의원,127,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,임플란트 사랑니 라미네이트 틀니 충치,,0.331294,0.224841,0.330665,,5,0.0,3.0,,0.0177,0.008099,0.00729
34,1452094525,서울박사치과의원,134,541,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,단대오거리치과 신흥역치과 수면무통마취치과 산성역치과 수정구임플란트,,0.33134,0.223507,0.330582,,-10,-84.0,8.0,,0.0177,-0.017515,0.005358
35,1469701624,고등 퍼스트 치과의원,229,215,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,고등동치과 성남치과 여수동치과 시흥동치과 고등지구치과,,0.33134,0.220562,0.330359,,2,1.0,0.0,,0.0177,0.002952,0.006902
36,11716208,남서울치과의원,8,328,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.219333,0.330249,,5,0.0,0.0,,0.0177,0.006703,0.007185
37,1117851363,위례스마일치과의원,21,227,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,위례치과 위례신도시치과 위례임플란트 위례사랑니발치 위례충치치료,,0.33134,0.215944,0.330011,,-9,0.0,1.0,,0.0177,-0.01329,0.005676
38,1474660667,서울플란트치과의원,332,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 심미보철 위례치과 남위례역치과 위례임플란트,,0.33134,0.211922,0.329707,Hot,18,2.0,0.0,,0.0177,0.02723,0.008734
39,1614554015,스파클치과교정과치과의원,90,129,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,어린이교정 성남교정 교정전문의 신흥역교정전문의 산성역치과,,0.33134,0.209794,0.329547,,4,0.0,0.0,,0.0177,0.000292,0.006702
40,1526672868,소망플란트치과의원 성남,473,457,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포레스티아치과 산성역치과 미니쉬 수면사랑니발치 전체임플란트,,0.33134,0.209078,0.329493,,-4,2.0,3.0,,0.0177,-0.012131,0.005764
41,13235329,오늘안치과의원,11,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,임플란트 구강검진 치아성형 교정치료 충치치료,,0.331294,0.208132,0.329404,,-2,0.0,-3.0,,0.0177,-0.007162,0.006139
42,13235268,박애치과,7,150,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.207595,0.329364,,2,0.0,0.0,,0.0177,0.001483,0.006792
43,1541092305,태평가이드치과의원,386,185,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 무통마취 신경치료 심미보철 네비게이션임플란트,,0.331294,0.206491,0.32928,,3,0.0,1.0,,0.0177,0.002437,0.006863
44,11546778,베스트치과의원,7,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.20604,0.329246,Hot,10,0.0,0.0,,0.0177,0.015689,0.007863
45,1578138566,위례맑음치과의원,662,212,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,임플란트 심미치료 충치치료 보철치료 보험치료,,0.331294,0.204817,0.329154,,5,3.0,1.0,,0.0177,0.00759,0.007252
46,1207215331,서울삼성치과의원,3,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,위례임플란트 위례틀니 위례충치치료 위례잇몸치료 위례치과보철,,0.33134,0.202246,0.328977,,1,0.0,0.0,,0.0177,-0.001123,0.006595
