place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1954654779,새늘치과의원,666,285,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 충치치료 심미보철치료 잇몸치료 신경치료,,0.331294,0.381437,0.466257,,0,1.0,1.0,,0.0177,0.002899,0.006898
2,1228047553,경희탑치과의원 순천점,362,142,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,연향동치과 순천치과 임플란트 보철치료 사랑니발치,,0.33134,0.360476,0.464693,,0,30.0,0.0,,0.0177,0.020807,0.00825
3,37853235,365서울탑플란트치과의원 순천,1280,954,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경치료 사랑니발치 임플란트 라미네이트 미백,,0.331294,0.298821,0.460022,,0,19.0,12.0,,0.0177,0.00298,0.006904
4,1827471481,아이틴주니어치과의원,20,250,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,순천어린이치과 광양어린이치과 순천소아치과 소아치과전문의 인비절라인,,0.33134,0.277724,0.458447,,1,0.0,0.0,,0.0177,-0.000152,0.006668
5,1121040836,순천스마트치과의원,370,380,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 심미보철 치아미백 순천치과,,0.33134,0.27621,0.458333,,-1,3.0,1.0,,0.0177,-0.016442,0.005439
6,38526427,이바른치과의원,193,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,순천치과 순천교정치과 순천임플란트 순천어린이치과 순천투명교정,,0.33134,0.271251,0.457959,,0,1.0,0.0,,0.0177,0.006439,0.007166
7,19528133,꼬마치과의원,10,188,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.27,0.457847,,1,0.0,0.0,,0.0177,0.014005,0.007737
8,11720727,이용승치과의원,2,374,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,순천이용승치과 순천치아교정 순천교정치과 순천교정전문치과 순천광양교정전문치과,,0.33134,0.257243,0.456901,,5,0.0,2.0,,0.0177,0.015697,0.007864
9,38222917,서울바른이치과의원,3,252,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,순천교정치과 여수교정치과 광양교정치과 치아교정치료 순천치아교정,,0.33134,0.255766,0.45679,,-2,0.0,0.0,,0.0177,-0.000703,0.006626
10,1754245218,순천365치과의원,46,328,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.250911,0.456406,,0,1.0,2.0,,0.0177,0.001186,0.006769
11,1833033922,연세플랜치과의원,310,203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,순천치과 순천임플란트 순천충치치료 순천턱관절 순천치아교정,,0.33134,0.250606,0.456401,,-2,4.0,1.0,,0.0177,-0.002645,0.00648
