place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,629854399,서울베스트치과의원,3546,895,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 치아교정 임플란트 충치 사랑니,,0.33134,0.474328,0.349512,,0,-,-,,-,-,-
2,1793265745,샤인이치과의원 천안,2353,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니당일발치 충치신경보존치료 무통마취치과 임플란트염증재수술 천안치과,,0.33134,0.459087,0.348361,,0,-,-,,-,-,-
3,1445804238,스마트플란트치과의원,4028,1299,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 신부동치과 신부동임플란트 임플란트,,0.33134,0.453477,0.347938,,0,-,-,,-,-,-
4,19747952,365아홉가지약속치과의원,834,1603,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 투명교정 수면임플란트 라미네이트 천안치과,,0.33134,0.392419,0.34333,,0,-,-,,-,-,-
5,21667183,단국대학교치과대학병원,151,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,단국대학교치과병원 단국대치대병원 단국대치과병원 천안치과병원,,0.33134,0.386841,0.342909,,0,-,-,,-,-,-
6,20749063,천안영플란트치과의원,679,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,신부동치과 부분틀니 사랑니발치 천안치과 임플란트,,0.33134,0.362408,0.341065,,0,-,-,,-,-,-
7,1654514637,한림홍치과의원,852,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신부동임플란트 충치치료 사랑니발치 스케일링 잇몸치료,,0.331294,0.337016,0.339131,,0,-,-,,-,-,-
8,1313541065,천안더맑은치과의원,1738,450,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 뼈이식임플란트 치아미백 심미치료 보철치료,,0.331294,0.322551,0.33804,,0,-,-,,-,-,-
9,12772165,문치과병원,50,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 교정치과 천안치과 충치치료 턱관절,,0.33134,0.29698,0.336127,,0,-,-,,-,-,-
10,36398399,서울수석치과교정과치과의원,1569,829,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,교정치과 치아교정 교정전문의 인비절라인 투명교정,,0.33134,0.273553,0.334359,,0,-,-,,-,-,-
11,1246554574,턱앤사랑니치과의원,138,608,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니전문치과 턱관절치과 천안구강악안면외과 천안사랑니 사랑니발치,,0.33134,0.251058,0.332661,,0,-,-,,-,-,-
12,13243745,고상덕치과의원,5,276,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,치과 교정,,0.33134,0.240604,0.331872,,0,-,-,,-,-,-
13,35209564,보스톤탑치과의원,22,137,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치아교정 임플란트 보철 치아미백,,0.331294,0.238292,0.33168,,0,-,-,,-,-,-
14,1361980197,정세영치과의원,65,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,신부동치과 신부동임플란트 천안스케일링 천안치과 천안임플란트,,0.33134,0.225915,0.330763,,0,-,-,,-,-,-
15,19533231,일곱난장이치과의원,4,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.217119,0.330082,,0,-,-,,-,-,-
16,11548432,뉴욕치과의원,11,109,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.214759,0.329904,,0,-,-,,-,-,-
17,32806399,이바르게치과교정과치과의원,587,227,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,천안치아교정 천안교정치과 천안돌출입교정 천안덧니교정 천안인비절라인,,0.33134,0.210891,0.32963,,0,-,-,,-,-,-
18,20150009,유디신부치과의원,3,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 천안동남구치과 천안신부동치과 신부동병원,,0.33134,0.199218,0.328749,,0,-,-,,-,-,-
19,36448586,남스부부치과의원,1,75,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.192537,0.328227,,0,-,-,,-,-,-
20,36768929,도솔치과의원,1,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.188975,0.327958,,0,-,-,,-,-,-
21,19514075,새이치과의원,8,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.187931,0.327879,,0,-,-,,-,-,-
22,1794409522,신세계치과의원,5,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.187918,0.327879,,0,-,-,,-,-,-
23,19523812,닥터스마일치과의원,1,114,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.179437,0.327238,,0,-,-,,-,-,-
24,12038823,미소앤치과의원,1,105,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안미소앤치과 미소앤치과 천안터미널치과 천안신부동치과 구강스캐너,,0.33134,0.17698,0.32707,,0,-,-,,-,-,-
25,13243836,강치과의원,3,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,,,0.331294,0.170168,0.326539,,0,-,-,,-,-,-
26,11855261,갤러리치과의원,4,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.09,,임플란트 충치치료 구강검진 전문의 심미보철,,0.331294,0.161853,0.325911,,0,-,-,,-,-,-
27,12046512,오렌지캐슬치과의원,0,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,임플란트 틀니 심미보철 충치치료 사랑니,,0.331294,0.158729,0.325676,,0,-,-,,-,-,-
28,12004823,서울윌치과의원,2,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.158296,0.325643,,0,-,-,,-,-,-
29,20670773,이스타치과의원,182,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,천안치과 천안임플란트 불당동치과 신부동치과 천안역치과,,0.33134,0.155037,0.325414,,0,-,-,,-,-,-
30,11480397,내외치과의원,2,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,,,0.331294,0.153844,0.325307,,0,-,-,,-,-,-
31,13089976,하늘미치과의원,5,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,천안치과 신부동치과 하늘미치과 치과,,0.33134,0.138096,0.324136,,0,-,-,,-,-,-
32,1037004085,코스치과의원,0,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,임플란트 충치치료 구강검진 사랑니발치 터미널치과,,0.33134,0.06667,0.318745,,0,-,-,,-,-,-
33,11833194,단국대학교병원,347,789,종합병원,건강의료>병원>종합병원>상급종합병원,4.22,,,,0.0,0.401347,0.21897,,0,-,-,,-,-,-
34,1201636169,바른탑치과의원,1622,510,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 두정동치과 임플란트 치아교정 사랑니발치,,0.33134,0.430828,0.157549,,0,-,-,,-,-,-
35,1019322804,서울두정치과의원,179,530,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,두정역치과 두정동치과 천안임플란트 두정동임플란트 천안치과,,0.33134,0.275623,0.145836,,0,-,-,,-,-,-
36,13243830,최우창치과의원,11,21,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,,,0.331294,0.256857,0.144402,,0,-,-,,-,-,-
37,242064850,굿모닝치과의원,9,259,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,두정동치과 보철치료 천안치과 임플란트 사랑니,,0.33134,0.246182,0.143614,,0,-,-,,-,-,-
38,11862784,천안 베스트 덴 치과의원,14,380,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.244234,0.143449,,0,-,-,,-,-,-
39,1678726420,시엘치과의원,1066,343,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,천안치과 천안임플란트 천안교정치과 두정동치과 천안치아교정,,0.33134,0.226829,0.142153,,0,-,-,,-,-,-
40,33093459,이편한치과의원,2,259,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 치주과전문의 임플란트 두정 천안,,0.33134,0.22003,0.14164,,0,-,-,,-,-,-
41,38007421,더블유치과의원,3,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,보철치료 임플란트 신경치료 치과,,0.33134,0.206742,0.140637,,0,-,-,,-,-,-
42,1423415666,성성이음치과의원,20,318,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성성동치과 충치치료 잇몸치료 구강관리 부분교정,,0.33134,0.202579,0.140323,,0,-,-,,-,-,-
