place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1325006971,은하수치과의원,1164,341,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산임플란트 양산치과 양산충치치료 양산잇몸치료 양산사랑니,,0.33134,0.423227,0.427164,,0,99.0,2.0,,0.0177,-0.018519,0.005281
2,1288836397,서울에스원치과의원 양산,158,938,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산치과 양산임플란트 양산교정치과 양산충치치료 양산중부동치과,,0.33134,0.401781,0.425546,,0,2.0,7.0,,0.0177,0.009314,0.007383
3,1843921289,티트리치과의원,292,608,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,티트리치과 양산치과 물금치과 물금역치과 양산임플란트,,0.33134,0.393456,0.424918,,0,22.0,9.0,,0.0177,0.001971,0.006829
4,436408449,드림화이트치과의원,641,1146,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 양산치과 양산임플란트 양산치아교정 양산교정치과,,0.33134,0.379982,0.423901,,0,30.0,4.0,,0.0177,0.000908,0.006748
5,1270561768,더이로운치과병원,719,546,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산치과 양산임플란트 양산심미보철치료 양산틀니 경남임플란트,,0.33134,0.364848,0.422758,,0,30.0,1.0,,0.0177,0.004898,0.007049
6,38316281,서울베스트치과의원 양산,1009,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,양산치과 양산임플란트 양산충치치료 증산치과 물금치과,,0.33134,0.326291,0.419848,,0,5.0,0.0,,0.0177,0.019644,0.008162
7,38343286,물금어린이치과의원,31,525,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.305409,0.418255,,0,1.0,1.0,,0.0177,0.025578,0.00861
8,37179894,양산부산대학교치과병원,81,324,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.292405,0.417274,,1,0.0,2.0,,0.0177,0.018717,0.008092
9,1537581792,양산서울치과의원,203,1008,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산치과 물금치과 증산치과 턱관절 사랑니,,0.33134,0.286613,0.416854,,1,2.0,3.0,,0.0177,0.015085,0.007818
10,1963406037,양산아이들치과의원,80,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,양산어린이치과 물금교정치과 내송어린이치과 사송어린이치과 양산동면어린이치과,,0.33134,0.284455,0.416691,,-2,0.0,2.0,,0.0177,0.007781,0.007267
11,440895439,웅상 바룸 치과의원,110,98,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,웅상치과 덕계치과 양산치과 평산치과 바룸치과,,0.33134,0.270644,0.415649,,0,2.0,0.0,,0.0177,0.000417,0.006711
12,35559767,바룸치과의원 양산,685,912,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,양산치과 임플란트 사랑니 치과 양산교정치과,,0.33134,0.266673,0.415349,,4,3.0,2.0,,0.0177,0.020691,0.008241
13,1642918605,서울패미리치과의원,261,261,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산치과 양산임플란트 증산역치과 양산물금치과 양산증산치과,,0.33134,0.263473,0.415107,,0,2.0,2.0,,0.0177,0.007396,0.007237
14,1367056729,연세미소치과의원,443,480,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,임플란트 치아교정 치아미백 심미보철 양산치과,,0.33134,0.261996,0.414996,,1,1.0,0.0,,0.0177,0.01395,0.007732
15,1791638393,사송퍼스트치과의원,25,359,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치과 충치치료 소아치과 사랑니,,0.33134,0.257884,0.414686,,-1,1.0,5.0,,0.0177,0.008557,0.007326
16,1814677185,채움치과의원,10,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산치과 석산치과 임플란트 사랑니 스켈링,,0.33134,0.251969,0.414239,,1,0.0,0.0,,0.0177,0.006009,0.007133
17,1264070348,석산이사랑치과의원,5,242,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 보철치료 보존치료 잇몸치료 소아치료,,0.331294,0.251404,0.414179,,4,0.0,0.0,,0.0177,0.013969,0.007733
18,1569446223,연세바른치과의원,128,363,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,치과 임플란트 구강외과전문의 풀아치임플란트 근처치과,,0.33134,0.249595,0.41406,,6,6.0,6.0,,0.0177,0.015864,0.007877
19,36453606,유디양산치과의원,6,385,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산임플란트 양산중부동치과 양산역치과 양산충치치료,,0.33134,0.249492,0.414052,,-1,0.0,2.0,,0.0177,0.007051,0.007211
20,1548261109,우리아이바른이 어린이치과의원,12,420,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,양산치과 양산어린이치과 물금치과 물금어린이치과,,0.33134,0.248767,0.413998,Hot,12,0.0,0.0,,0.0177,0.029807,0.008929
21,606201170,평산그랜드치과의원,3,325,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트재수술 치주잇몸질환 치아교정 충치치료 틀니,,0.331294,0.246163,0.413784,,1,0.0,0.0,,0.0177,0.008891,0.007351
22,140101783,채우미치과의원,220,639,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,양산치과 양산치아교정 양산임플란트 양산증산치과 물금치과,,0.33134,0.244482,0.413674,,1,0.0,0.0,,0.0177,0.010461,0.007469
23,1674554631,바른치과의원,0,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양산치과 물금치과 임플란트 충치치료 신경치료,,0.33134,0.244004,0.413638,,-4,0.0,4.0,,0.0177,0.005381,0.007085
24,38262475,하은치과의원,71,207,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,양산치과 양산임플란트 양산턱관절 석산치과 석산임플란트,,0.33134,0.243439,0.413595,Hot,11,0.0,0.0,,0.0177,0.027668,0.008767
25,32990815,평산뷰티플란트치과의원,3,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,임플란트 덴티움 디오 평산동치과 덕계치과,,0.33134,0.237265,0.41313,,5,0.0,0.0,,0.0177,0.01636,0.007915
26,35694927,정부부치과의원,2,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.236837,0.41308,,-1,0.0,0.0,,0.0177,0.007358,0.007235
27,1165084852,수치과의원,6,66,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 충치치료 신경치료 사랑니발치,,0.331294,0.2365,0.413055,,-7,0.0,1.0,,0.0177,-0.002156,0.006517
28,11865268,한치과의원,75,282,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,치과 임플란트 치아교정 충치치료 틀니,,0.33134,0.23313,0.412817,Hot,14,0.0,0.0,,0.0177,0.024332,0.008515
29,34994080,타임치과의원,110,409,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,덕계치과 덕계임플란트 서창치과 웅상치과 양산수면마취,,0.33134,0.232378,0.412761,,-3,1.0,1.0,,0.0177,0.005688,0.007109
