place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1717860225,강남365치과의원,3475,2552,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,인천치과 인천임플란트 인천치아교정 인천어린이치과 수면임플란트,,0.33134,0.468477,0.400391,,0,0.0,22.0,,0.0177,-0.009601,0.005955
2,1935011282,리봄치과의원,977,962,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 인비절라인투명교정 임플란트뼈이식재수술 스케일링무통가글마취 충치신경잇몸보존치료,,0.331294,0.441575,0.398343,,0,47.0,22.0,,0.0177,0.007518,0.007247
3,1642895987,오즈치과교정과치과의원,514,165,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,송도교정치과 송도치아교정 송도치과 인천성인교정 인천인비절라인,,0.33134,0.401024,0.3953,,0,5.0,4.0,,0.0177,-0.003109,0.006445
4,1734615042,연세닥터홍치과교정과의원,352,221,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도교정치과 송도인비절라인 송도무턱주걱턱교정 인천어린이소아교정 송도재교정치과,,0.33134,0.373686,0.393237,,1,175.0,4.0,,0.0177,0.022876,0.008406
5,36424616,송도퍼스트치과의원,782,706,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청학동원데이보철 송도6공구원데이미백 송도8공구외국인치과 옥련동가글마취스케일링 동춘역원데이라미네이트,,0.33134,0.372875,0.393176,,-1,39.0,2.0,,0.0177,0.001239,0.006773
6,1055613499,유펜아리조나치과교정과치과의원,205,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,유펜아리조나교정치과 인천교정치과 송도교정치과 송도치아교정 인천치아교정,,0.33134,0.350229,0.391466,,3,97.0,3.0,,0.0177,0.035832,0.009383
7,1178051337,연수바른치과의원,869,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,연수치과 동춘동치과 인천치과 동춘역치과 연수역치과,,0.33134,0.348176,0.391311,,-1,1.0,1.0,,0.0177,0.009873,0.007424
8,266683530,서울스마트치과의원,459,1048,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도치과 송도임플란트 송도교정 수면임플란트 소아치과,,0.33134,0.338778,0.390602,,-1,2.0,21.0,,0.0177,0.007452,0.007242
9,1668025892,연세제일치과의원,194,420,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,인천치과 인천임플란트 연수동치과 연수구치과 연수역치과,,0.33134,0.325688,0.389614,,-1,2.0,0.0,,0.0177,-0.002082,0.006522
10,1136724880,루아어린이치과의원,62,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,송도어린이치과 루아어린이치과 송도소아충치치료 송도치과 송도소아치료,,0.33134,0.31248,0.388617,,0,0.0,2.0,,0.0177,0.008425,0.007315
