place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,973700670,편안한치과의원,1,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,치과 의원 영광 야간진료 레진,,0.33134,0.241605,0.344023,,0,-,-,,-,-,-
2,1918565643,영광치과의원,2,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,보철 임플란트 충치치료 잇몸치료,,0.341289,0.190185,0.343897,,0,-,-,,-,-,-
3,19533478,기독치과의원,0,106,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.215523,0.342037,,0,-,-,,-,-,-
4,36604634,닥터봉치과의원,17,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,영광치과 영광임플란트 닥터봉치과 법성치과 홍농치과,,0.33134,0.208671,0.341538,,0,-,-,,-,-,-
5,1169784342,연세탑치과의원,0,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,영광치과 터미널치과 연세탑치과 치과 영광터미널치과,,0.33134,0.164506,0.338204,,0,-,-,,-,-,-
6,13262724,주완치과,2,51,치과,건강의료>병원>병원의원>치과>치과-일반,3.77,,,,0.331294,0.154873,0.33746,,0,-,-,,-,-,-
7,13262697,서울미치과의원,2,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.331294,0.14776,0.336923,,0,-,-,,-,-,-
8,19533452,이사랑치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.140743,0.336394,,0,-,-,,-,-,-
9,19533319,전치과의원,0,35,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.14041,0.336368,,0,-,-,,-,-,-
10,19533459,김영수치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.128335,0.335457,,0,-,-,,-,-,-
11,19533422,백제치과의원,0,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.106913,0.33384,,0,-,-,,-,-,-
12,19533434,이치과의원,1,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.095439,0.332974,,0,-,-,,-,-,-
13,19533322,조광섭치과의원,0,17,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.076636,0.331555,,0,-,-,,-,-,-
14,92406311,이플란트치과의원,0,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.075901,0.3315,,0,-,-,,-,-,-
15,19530419,고치과의원,0,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.072786,0.331265,,0,-,-,,-,-,-
16,1452685538,김용욱치과,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.071142,0.331141,,0,-,-,,-,-,-
17,1633714505,김치과,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.065947,0.330749,,0,-,-,,-,-,-
18,20514759,행복치과의원,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.043404,0.329047,,0,-,-,,-,-,-
19,16947418,이치과 원장실,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.033139,0.328273,,0,-,-,,-,-,-
20,13255132,영광치과의원,5,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.341289,0.174865,0.327662,,0,-,-,,-,-,-
21,13266560,영광치과의원,0,81,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.341289,0.138515,0.321903,,0,-,-,,-,-,-
22,11559190,영광종합병원,12,553,종합병원,건강의료>병원>종합병원>종합병원-일반,4.41,,,,0.0,0.234438,0.206373,,0,-,-,,-,-,-
23,1162412230,군남면보건지소,1,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.069555,0.193929,,0,-,-,,-,-,-
24,1639034845,월야치과의원,1,24,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,함평치과 월야치과 함평_치과,,0.33134,0.15477,0.14879,,0,-,-,,-,-,-
25,13262542,문장치과의원,2,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.144436,0.147993,,0,-,-,,-,-,-
26,13267071,대산치과의원,2,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.136902,0.147424,,0,-,-,,-,-,-
27,36769081,국군함평치과병원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.096923,0.144407,,0,-,-,,-,-,-
