place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13242593,영동치과의원,5,390,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.341289,0.223243,0.323471,,0,-,-,,-,-,-
2,11577612,영동치과의원,5,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 잇몸치료 청담동치과 영동대로치과,,0.341335,0.089676,0.308179,,0,-,-,,-,-,-
3,1068217231,연세안심치과의원,1151,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원임플란트 잇몸치료 구강악안면외과 인계동치과 임플란트재수술,,0.33134,0.479408,0.161216,,0,-,-,,-,-,-
4,1317780530,치과다운 치과의원 수원,3820,2219,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 사랑니발치 팔달구수면임플란트 매교동미니쉬 매교역임플란트,,0.33134,0.437714,0.158069,,0,-,-,,-,-,-
5,1021161994,치과다운 치과교정과 치과의원 수원,225,899,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부분교정 투명교정 교정치과 전문의진료 턱관절치과,,0.33134,0.304833,0.14804,,0,-,-,,-,-,-
6,1823063197,바른본치과의원 수원,637,718,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,매교역임플란트재수술 우만동축농증치료 세류동턱관절치료 수원역치과 팔달잇몸고름,,0.33134,0.273069,0.145643,,0,-,-,,-,-,-
7,1123659568,라운드치과병원 수원,285,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원치아미백 사랑니전문치과 턱관절치과 수면무통마취치과,,0.33134,0.255375,0.144308,,0,-,-,,-,-,-
8,37902528,고은치과의원,32,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매교동치과 매교동임플란트 수원치과 수원임플란트 매교역치과,,0.33134,0.237903,0.142989,,0,-,-,,-,-,-
9,375165073,연세스토리치과의원,681,459,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,인계동치과 매교동치과 앞니교정 임플란트 팔달구치과,,0.33134,0.232311,0.142567,,0,-,-,,-,-,-
10,12862754,우리미소치과의원,8,54,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,수원치과 임플란트 신경치료 충치치료 스케일링,,0.33134,0.216649,0.141385,,0,-,-,,-,-,-
11,1118450959,서울바담치과의원,53,236,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 임플란트 영유아구강검진 미백 매교,,0.331294,0.214024,0.14117,,0,-,-,,-,-,-
12,1851934410,서울온가족치과의원,4,126,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철치료 틀니치료 충치치료 턱관절치료,,0.331294,0.212239,0.141035,,0,-,-,,-,-,-
13,1884959553,더조은치과의원,73,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,수원치과 임플란트 치조골이식 상악동거상술 매교치과,,0.33134,0.208192,0.140747,,0,-,-,,-,-,-
14,13229119,유디치과의원 수원인계점,3,266,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,임플란트 스케일링 인계동치과 수원인계동치과 구강검진치과,,0.33134,0.207813,0.140718,,0,-,-,,-,-,-
15,21707774,갤러리치과의원,3,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.196846,0.139873,,0,-,-,,-,-,-
16,19534853,웰라이프치과의원,3,107,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.185775,0.139037,,0,-,-,,-,-,-
17,1110140871,연세하늘치과의원,9,81,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원임플란트 매교동치과 인계동치과 턱관절치료 미세현미경,,0.33134,0.184108,0.138929,,0,-,-,,-,-,-
18,1935239075,제일플란트치과의원,48,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 인계동치과 수원임플란트 팔달구치과 수원사랑니,,0.33134,0.181608,0.13874,,0,-,-,,-,-,-
19,13229530,김영훈치과의원,5,76,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김영훈치과 우만동치과 지동치과 수원치과 팔달구치과,,0.33134,0.181044,0.138698,,0,-,-,,-,-,-
20,1274422554,바른이플란트치과의원,237,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.96,,수원치과 팔달문치과 수원임플란트 수원양심치과 팔달문임플란트,,0.33134,0.179957,0.138616,,0,-,-,,-,-,-
21,13229565,남문치과의원,2,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.163391,0.137348,,0,-,-,,-,-,-
22,1758671366,예치과의원,1,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,팔달문_치과 남문_치과,,0.33134,0.153028,0.136583,,0,-,-,,-,-,-
23,11545270,세실치과의원,3,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,치주치료 임플란트 심미보철,,0.331294,0.150999,0.136413,,0,-,-,,-,-,-
24,812655166,봄치과의원,3,86,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보험틀니 심미보철 턱관절질환 사랑니발치,,0.331294,0.149734,0.136317,,0,-,-,,-,-,-
25,13229358,부부치과의원,2,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 치주염 충치 신경치료 수원치과,,0.33134,0.139641,0.135573,,0,-,-,,-,-,-
26,13229081,권영애치과의원,3,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,매교역치과치료 보존치료 틀니 임플란트,,0.33134,0.13963,0.135572,,0,-,-,,-,-,-
