place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37000708,서울그랜드치과의원,907,868,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,당산역치과 영등포임플란트 영등포사랑니발치 당산동턱관절치료 의식하진정요법,,0.33134,0.483082,0.389418,,1,65.0,3.0,,0.0177,0.019399,0.008144
2,1628980692,당산원치과의원,3095,1098,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,당산역치과 영등포치아교정 당산동임플란트 영등포사랑니발치 치아미백스케일링,,0.33134,0.463281,0.387923,,1,288.0,2.0,,0.0177,0.021188,0.008278
3,1046495812,연세프라임치과의원,1975,301,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,당산역치과 당산충치치과 틀니보철심미치료 네비게이션임플란트 선유도매복사랑니발치,,0.33134,0.437385,0.385969,,-2,187.0,4.0,,0.0177,-0.032477,0.004229
4,21093750,이엘치과의원,1800,1773,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영등포치과 임플란트 충치치료 잇몸치료 스케일링,,0.33134,0.435341,0.385814,,0,189.0,6.0,,0.0177,0.002386,0.006859
5,37435333,덴티스킨치과의원,2731,816,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영등포치과 영등포시장역치과 디지털뼈이식임플란트 치아미백교정 잇몸치료이식,,0.33134,0.416416,0.384386,,1,275.0,13.0,,0.0177,0.007642,0.007256
6,13341438,서울더좋은치과의원,1543,274,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,당산동치과 당산역치과 치아교정 임플란트 하루완성충치치료,,0.33134,0.413295,0.384151,,1,126.0,3.0,,0.0177,0.019329,0.008139
7,1453842464,서울초이스치과의원,834,178,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,문래역치과 영등포치과 당산동치과 임플란트 영등포사랑니,,0.33134,0.405943,0.383596,,-2,37.0,3.0,,0.0177,-0.005905,0.006234
8,1141119399,서울슬기로운치과의원,1074,971,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영등포치과 당산스케일링 양평일요일치과 선유도임플란트 영등포구청사랑니발치,,0.33134,0.384968,0.382013,,0,78.0,7.0,,0.0177,-0.002427,0.006496
9,1814286896,위드치과보철과의원,526,191,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,여의도치과 인비절라인 여의도치아교정 여의도라미네이트 여의도치아미백,,0.33134,0.379968,0.381635,,2,90.0,3.0,,0.0177,0.010386,0.007463
10,20780676,연세아이에프씨치과의원 여의도,1419,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,여의도충치치과 매복사랑니발치 틀니보철심미치료 여의도역임플란트치과 라미네이트,,0.33134,0.375106,0.381268,,-1,-96.0,2.0,,0.0177,-0.010334,0.005899
