place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1717054002,서울숙면치과의원 부천,2865,181,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 수면임플란트 임플란트 신경치료 수면치과,,0.33134,0.444147,0.347234,,0,-,-,,-,-,-
2,1764778453,바른탑치과의원,77,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,원종동치과 원종동임플란트 원종사거리 원종동충치치료 원종역4번출구,,0.33134,0.289749,0.335581,,0,-,-,,-,-,-
3,13240562,연세부부치과의원,62,721,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,원종동치과 원종역치과 임플란트 사랑니발치 부천치과,,0.33134,0.288811,0.33551,,0,-,-,,-,-,-
4,1310366678,정성플러스치과의원,61,482,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,사랑니 라미네이트 턱관절 수면임플란트 임플란트,,0.331294,0.273249,0.334319,,0,-,-,,-,-,-
5,1798625647,원종모두온치과의원,81,128,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원종동치과 원종역치과 원종역임플란트 원종동임플란트 모두온치과,,0.33134,0.247029,0.332357,,0,-,-,,-,-,-
6,1818404365,편한마음치과의원,493,305,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,원종역치과 임플란트 네비게이션임플란트 지르코니아심미보철 사랑니발치,,0.33134,0.239478,0.331787,,0,-,-,,-,-,-
7,13493482,연세미소애치과의원 부천,90,359,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,삼정동치과 부천야간치과 소아치과 부천치과 임플란트,,0.33134,0.227903,0.330913,,0,-,-,,-,-,-
8,13288543,이안치과병원,181,484,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원종동치과 원종동임플란트 부천구강내과 부천턱관절 구강내과,,0.33134,0.226852,0.330834,,0,-,-,,-,-,-
9,1983279398,우리들치과의원,332,263,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,고강동스케일링 고강동충치치료 원종역치과 성곡동임플란트 원종동심미보철,,0.33134,0.22015,0.330328,,0,-,-,,-,-,-
10,1036829898,가이드플란트치과의원,408,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,원종역치과 원종동치과 원종동임플란트 원종동충치치료 원종사거리,,0.33134,0.217284,0.330112,,0,-,-,,-,-,-
11,13240609,변치과의원,3,459,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.210582,0.329589,,0,-,-,,-,-,-
12,1910044647,새이드림치과의원,87,270,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미세현미경치료 턱관절물리치료 디지털임플란트 의식하진정법 원종역사랑니발치,,0.331294,0.195887,0.32848,,0,-,-,,-,-,-
13,20481100,더라은치과의원 부천점,138,263,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,고강동임플란트 고강동야간진료 고강동치과 고강동사랑니발치 고강동교정진료,,0.33134,0.193578,0.328323,,0,-,-,,-,-,-
14,13240624,원종치과의원,2,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,원종동치과 치과 원종치과 임플란트 틀니,,0.33134,0.191026,0.32813,,0,-,-,,-,-,-
15,37657695,한결치과의원,33,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오스템임플란트 사랑니발치 충치치료 원종동치과 원종역치과,,0.33134,0.182237,0.327467,,0,-,-,,-,-,-
16,19520550,이클린치과의원,4,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,임플란트 야간진료 원종역 원종역3번출구 치과,,0.33134,0.18086,0.327363,,0,-,-,,-,-,-
17,19534931,오정M플란트치과의원,0,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.179589,0.32725,,0,-,-,,-,-,-
18,1168995321,이연석치과의원,0,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 원종사거리 자연치아살리기 사랑니발치 무통마취,,0.331294,0.176432,0.327012,,0,-,-,,-,-,-
19,13240645,새론서울치과의원,2,105,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.171591,0.326646,,0,-,-,,-,-,-
20,11702267,이종규치과의원,2,172,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,부천치과 임플란트 부천임플란트 부천원종동치과 치과,,0.33134,0.168915,0.326462,,0,-,-,,-,-,-
21,13240644,민동혁치과의원,3,165,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.16862,0.326422,,0,-,-,,-,-,-
22,13240673,성심치과의원,3,61,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,,,0.331294,0.167153,0.326311,,0,-,-,,-,-,-
23,11796086,굿모닝치과의원,3,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.162734,0.325978,,0,-,-,,-,-,-
24,1981554338,연세백세치과의원 부천원종,40,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,연세백세치과 원종동치과 원종역치과 고강동치과 원종동임플란트,,0.33134,0.160437,0.325822,,0,-,-,,-,-,-
25,33868944,수플러스+치과의원,1,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.1,,틀니치과 임플란트치과 소아치과 설명치과 원종동치과,,0.33134,0.159869,0.325779,,0,-,-,,-,-,-
26,13240524,박은용치과의원,2,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.158575,0.325664,,0,-,-,,-,-,-
27,13240583,김평채치과의원,3,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.158463,0.325656,,0,-,-,,-,-,-
28,37822043,허브치과의원,1,176,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 레이져 보철 충치,,0.331294,0.153106,0.325251,,0,-,-,,-,-,-
29,13240709,다나치과의원,2,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.150744,0.325073,,0,-,-,,-,-,-
30,11856873,고강굿모닝치과,4,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.150115,0.325025,,0,-,-,,-,-,-
31,20370118,작동효치과의원,2,80,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.147684,0.324842,,0,-,-,,-,-,-
32,13316713,미 미소 치과의원,8,122,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 틀니 충치치료 사랑니발치 디지털임플란트,,0.331294,0.142362,0.32444,,0,-,-,,-,-,-
33,1070999438,늘해랑치과의원,1,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.139372,0.324215,,0,-,-,,-,-,-
34,12853273,이준기치과의원,3,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.138432,0.324144,,0,-,-,,-,-,-
35,13240568,메트로치과의원,3,52,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.136131,0.32397,,0,-,-,,-,-,-
36,13240604,강정호치과의원,1,66,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,,,0.331294,0.134419,0.323841,,0,-,-,,-,-,-
37,11545265,새숨치과의원,3,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.05,,,,0.331294,0.13167,0.323633,,0,-,-,,-,-,-
38,13129936,서울수치과의원,1,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,,,0.331294,0.129866,0.323497,,0,-,-,,-,-,-
39,13240614,온누리치과의원,2,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.128128,0.323366,,0,-,-,,-,-,-
40,13240621,원강희치과의원,5,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.125509,0.323168,,0,-,-,,-,-,-
41,13240597,부천심미치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.125478,0.323166,,0,-,-,,-,-,-
42,13240532,내동열린치과의원,2,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,임플란트 보철 충치치료 틀니 신경치료,,0.331294,0.121834,0.322891,,0,-,-,,-,-,-
43,11842594,사랑이가득한치과의원,1,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.119058,0.322681,,0,-,-,,-,-,-
44,13240628,미베스트치과의원,1,189,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.118421,0.322633,,0,-,-,,-,-,-
45,1181691070,고강원치과의원,2,62,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,,,0.331294,0.115575,0.322419,,0,-,-,,-,-,-
46,13238274,테크노미래치과,1,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.114281,0.322321,,0,-,-,,-,-,-
47,13240572,신치과의원,4,35,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.113532,0.322264,,0,-,-,,-,-,-
48,19533097,고강소망치과의원,2,99,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.102157,0.321406,,0,-,-,,-,-,-
49,12003942,연세미치과의원,5,43,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,,,0.331294,0.091325,0.320588,,0,-,-,,-,-,-
50,11834337,서울이치과의원,4,110,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.083697,0.320013,,0,-,-,,-,-,-
