place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,36899000,이동주치과의원,1,56,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.195261,0.328432,,0,-,-,,-,-,-
2,1572394596,청해치과의원,25,32,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,완도치과 완도병원 완도임플란트 완도충치치료 완도틀니,,0.33134,0.187796,0.327886,,0,-,-,,-,-,-
3,20150075,완도치과의원,3,33,치과,건강의료>병원>병원의원>치과>치과-일반,4.03,,,,0.331294,0.174015,0.326829,,0,-,-,,-,-,-
4,13263405,완도이안치과의원,2,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.148861,0.324931,,0,-,-,,-,-,-
5,1392843816,완도탑치과의원,0,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.133673,0.323784,,0,-,-,,-,-,-
6,13263385,김학주치과의원,0,27,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.123916,0.323048,,0,-,-,,-,-,-
7,1759758406,흥일치과의원,0,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.115276,0.322396,,0,-,-,,-,-,-
8,13263375,대성치과의원,2,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.106028,0.321698,,0,-,-,,-,-,-
9,13263253,조성한치과의원,2,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.082947,0.27702,,0,-,-,,-,-,-
10,13263361,나눔치과의원,2,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.074718,0.138968,,0,-,-,,-,-,-
11,13263388,박종춘치과의원,2,1,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.053952,0.129089,,0,-,-,,-,-,-
