place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,20367709,용인치과의원,2143,585,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,용인미니쉬치과 매복사랑니발치 임플란트염증재수술 앞니무삭제라미네이트 충치신경잇몸치료,,0.33134,0.470923,0.403594,,3,146.0,6.0,,0.0177,0.047324,0.010251
2,1432309247,편한미소치과의원,2102,764,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,처인구치과 용인임플란트 김량장동사랑니 보철과전문의 치아교정,,0.33134,0.450699,0.402068,,3,311.0,7.0,,0.0177,0.028082,0.008799
3,2056524469,연세온아치과병원,788,189,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 기흥구사랑니발치 신갈역전악임플란트 마북동구강검진 구성역임플란트,,0.33134,0.438573,0.401153,,-1,112.0,44.0,,0.0177,0.008975,0.007357
4,1418944304,인플란트치과의원,1412,133,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 용인임플란트 용인사랑니 용인충치치료 턱관절질환,,0.33134,0.433452,0.400766,,-3,90.0,2.0,,0.0177,-0.004762,0.00632
5,1241216570,연세강남그랜드치과의원,434,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,처인구치과 역북동치과 용인임플란트 용인교정치과 처인구교정치과,,0.33134,0.433115,0.400741,Hot,10,34.0,-1.0,,0.0177,0.079216,0.012658
6,1825966018,화이트이치과의원 용인,2835,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 치과 용인임플란트 처인구치과 임플란트,,0.33134,0.43117,0.400594,,-3,346.0,0.0,,0.0177,0.004636,0.007029
7,1179408072,다인아트치과의원,2368,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 광교치과 광교임플란트 소아치과진료 용인임플란트,,0.33134,0.420416,0.399782,,-1,192.0,-2.0,,0.0177,-0.000798,0.006619
8,1737201378,용인스마트치과의원,1797,1162,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,용인임플란트 용인치아교정 용인사랑니 수면임플란트 용인치과,,0.33134,0.420346,0.399777,,1,141.0,18.0,,0.0177,0.022149,0.008351
9,1512280565,서울하늘플란트치과의원,3295,52,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포곡치과 포곡임플란트 처인구치과 서울하늘플란트치과 용인둔전치과,,0.33134,0.418026,0.399602,,-1,347.0,9.0,,0.0177,0.009296,0.007381
10,1410819144,THE웃는치과의원,1614,393,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,처인구치과 역북동치과 용인치과 용인임플란트 역북치과,,0.33134,0.417801,0.399585,,-3,159.0,0.0,,0.0177,0.00657,0.007175
11,1917265497,서울감동치과의원,361,437,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포곡임플란트 포곡사랑니 둔전임플란트 잇몸치료 신경치료,,0.331294,0.391631,0.397593,Hot,20,145.0,35.0,,0.0177,0.122986,0.015962
12,1407215695,서울닥터유치과의원 용인본점,1048,416,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인임플란트치과 죽전치과 임플란트 치아교정 보정동치과,,0.33134,0.385767,0.397167,,0,49.0,2.0,,0.0177,0.007472,0.007243
13,13443792,연세미소라인치과교정치과의원,1353,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,용인교정치과 용인치과 용인교정진단 치아교정진단 용인치아교정,,0.33134,0.382987,0.396958,,1,98.0,0.0,,0.0177,0.020771,0.008248
14,1181181602,에버플란트치과의원,1154,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,처인구치과 처인구임플란트 김량장동매복사랑니발치 틀니보철심미치료,,0.33134,0.379624,0.396704,,-1,261.0,0.0,,0.0177,0.013751,0.007717
15,1386962753,수지플란트치과의원,1149,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수지치과 용인치과 죽전역치과 죽전동치과 죽전역임플란트,,0.33134,0.371504,0.396091,,-4,57.0,5.0,,0.0177,-0.007004,0.006151
16,13456041,보스톤서울치과의원,666,1384,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,임플란트 용인치과 수지치과 성복동치과 성복역치과,,0.33134,0.348772,0.394375,,1,27.0,7.0,,0.0177,0.006686,0.007184
17,1000570235,용인선플란트치과의원,853,375,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인선플란트치과 용인시장라미네이트 용인사거리크라운치료 용인터미널충치검진 김량장동수면임플란트,,0.33134,0.343147,0.393951,,2,35.0,20.0,,0.0177,0.017539,0.008003
18,1681390413,고릴라치과의원,310,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 사랑니 용인치과 역북동치과,,0.33134,0.341233,0.393806,,-2,4.0,5.0,,0.0177,-0.007752,0.006094
19,2098103809,용인터미널퍼스트치과의원,668,231,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 용인임플란트 용인라미네이트 용인터미널치과 처인구치과,,0.33134,0.33925,0.393657,,-1,85.0,57.0,,0.0177,0.008304,0.007306
20,1292447833,리올란트치과의원,435,512,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 충치치료 치아성형 사랑니 치주치료,,0.331294,0.312752,0.39164,,1,7.0,2.0,,0.0177,0.002629,0.006878
21,13584128,단국대학교치과대학죽전치과병원,40,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,단대치과 단국대치과병원 단국대죽전치과병원 단대죽전치과 단국대죽전,,0.33134,0.294445,0.390275,,5,0.0,0.0,,0.0177,0.014281,0.007757
22,2062181185,용인온아소아치과의원,28,322,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,기흥구치과 일요일소아치과 용인소아치과 용인소아교정 진정수면치료,,0.33134,0.289909,0.389933,,3,4.0,65.0,,0.0177,0.009688,0.007411
23,20150031,서울위더스치과의원,396,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,기흥치과 임플란트 사랑니발치 턱관절질환 서울위더스치과,,0.33134,0.282174,0.389349,,0,2.0,2.0,,0.0177,-0.003897,0.006385
24,1492890787,용인쥬니어치과의원,236,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,어린이치과 소아치과 소아교정 투명교정 교정전문치과,,0.33134,0.279108,0.389118,,0,3.0,23.0,,0.0177,-0.002233,0.006511
25,1610781218,바른스마일치과교정과치과의원,355,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,용인치과 용인교정치과 용인치아교정 용인임플란트 용인청소년교정,,0.33134,0.278434,0.389067,,-5,4.0,1.0,,0.0177,-0.036459,0.003928
