place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21202972,현대탑치과의원,19,520,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,울산동구치과 울산동구임플란트 울산틀니임플란트 울산수면치과 울산수면임플란트,,0.33134,0.287857,0.335438,,0,-,-,,-,-,-
2,20050281,이스타치과의원,352,478,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,울산동구치과 울산동구임플란트 남목치과 남목임플란트 서부동치과,,0.33134,0.270149,0.334102,,0,-,-,,-,-,-
3,1603763981,다시봄치과의원,5,712,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 충치치료 울산치과 울산동구치과,,0.33134,0.269184,0.334029,,0,-,-,,-,-,-
4,35545404,씨케이치과병원,99,884,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,울산치과 울산동구치과 임플란트 사랑니발치 구강외과전문의,,0.33134,0.261109,0.33342,,0,-,-,,-,-,-
5,13252327,서울미소치과의원,940,287,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,울산동구교정치과 울산교정치과 울산동구치과 울산동구임플란트 울산성장기교정,,0.33134,0.25946,0.333295,,0,-,-,,-,-,-
6,35977043,스타치과의원,336,342,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,울산동구임플란트 울산동구스케일링 울산동구잇몸치료 울산동구치과 울산동구레진치료,,0.33134,0.249295,0.332528,,0,-,-,,-,-,-
7,36826707,연세크리스탈치과의원,658,734,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산동구임플란트 일산동치과 울산동구치과 울산동구스케일링 울산턱관절,,0.33134,0.247566,0.332398,,0,-,-,,-,-,-
8,13252424,열린치과의원,33,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.237401,0.331613,,0,-,-,,-,-,-
9,31576569,포도나무치과의원,4,352,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.236082,0.331513,,0,-,-,,-,-,-
10,13437734,울산쥬니어소아치과의원,146,488,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,울산어린이치과 울산소아치과 인비절라인 프리올소 투명교정,,0.33134,0.232016,0.331224,,0,-,-,,-,-,-
11,1350203965,조복래치과의원,4,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산동구치과 울산동구임플란트 울산치과 울산임플란트 서부동치과,,0.33134,0.221922,0.330462,,0,-,-,,-,-,-
12,13252499,굿모닝치과의원,3,105,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.221919,0.330445,,0,-,-,,-,-,-
13,35394930,유디치과의원 울산방어진점,1,449,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 울산동구치과 울산치과 울산동구구강검진,,0.33134,0.220208,0.330333,,0,-,-,,-,-,-
14,13252725,대송치과의원,3,66,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.203973,0.32909,,0,-,-,,-,-,-
15,13252698,허치과의원,2,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.197202,0.328579,,0,-,-,,-,-,-
16,13252475,연세치과의원,2,176,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.194073,0.328343,,0,-,-,,-,-,-
17,13296529,뉴욕앤치과의원,1,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.190193,0.32805,,0,-,-,,-,-,-
18,13252459,엘에이라임치과의원,1,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.186461,0.327769,,0,-,-,,-,-,-
19,19867027,스마트치과의원,0,135,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.183756,0.327564,,0,-,-,,-,-,-
20,13252442,본치과의원,3,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.183602,0.327553,,0,-,-,,-,-,-
21,32473103,꽃바위치과의원,0,110,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.182595,0.327477,,0,-,-,,-,-,-
22,13252708,신세계치과의원,3,315,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.179996,0.327281,,0,-,-,,-,-,-
23,19533791,윌치과의원,0,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,,,0.331294,0.175649,0.326953,,0,-,-,,-,-,-
24,13252491,임종득치과의원,165,71,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산동구치과 울산치주과전문의 울산동구임플란트 울산잇몸치료 울산치주치료,,0.33134,0.174485,0.326882,,0,-,-,,-,-,-
25,13163682,스마일부부치과의원,14,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,잇몸이식임플란트 레진빌드업크라운 울산동구잇몸염증치료 턱보톡스프롤로주사 러버댐충치신경치료,,0.331294,0.172302,0.3267,,0,-,-,,-,-,-
26,13252446,이동규치과의원,2,148,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.168879,0.326442,,0,-,-,,-,-,-
27,13252454,하모니치과의원,2,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,임플란트 충치치료 턱관절 보철치료 틀니,,0.331294,0.168166,0.326388,,0,-,-,,-,-,-
28,13252443,박홍락치과의원,3,120,치과,건강의료>병원>병원의원>치과>치과-일반,3.85,,,,0.331294,0.163654,0.326047,,0,-,-,,-,-,-
29,13252486,미래드림치과의원,1,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.163465,0.326033,,0,-,-,,-,-,-
