place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1025653765,심플치과의원,3537,1530,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,울산삼산치과 울산매복사랑니발치틀니보철 뼈이식3D네비게이션임플란트 울산인비절라인투명치아교정치과 울산턱관절충치치료치과,,0.33134,0.493352,0.485349,Hot,10,247.0,2.0,,0.0177,0.061104,0.009223
2,1596709790,바른마음365치과의원,4487,1314,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산치과 임플란트 미백치료 울산일요일치과 충치치료,,0.33134,0.484844,0.484707,,-1,277.0,28.0,,0.0177,0.002998,0.004838
3,19877942,서울탑치과의원 울산,1214,1231,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트 치아교정 삼산동치과 울산치과 충치치료,,0.33134,0.481299,0.484439,,0,3.0,1.0,,0.0177,0.018311,0.005993
4,1552862532,더조은플란트치과의원 울산,903,136,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산치과 임플란트 삼산동치과 남구치과 충치치료,,0.33134,0.477796,0.484175,,3,170.0,8.0,,0.0177,0.031495,0.006989
5,19513913,화이트e치과의원,2497,953,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,울산치과 치아교정 임플란트 교정치과 삼산동치과,,0.33134,0.473254,0.483832,,-3,119.0,2.0,,0.0177,0.002739,0.004818
6,1199154896,디지털365치과의원 울산,3002,764,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,울산치과 울산임플란트 울산충치치료 삼산동틀니치과 울산남구치과,,0.33134,0.464722,0.483188,,8,436.0,7.0,,0.0177,0.061943,0.009286
7,1704549453,우가주치과의원,2154,297,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,울산치과 임플란트 충치치료 틀니 야간진료,,0.33134,0.464503,0.483172,,2,406.0,14.0,,0.0177,0.020379,0.00615
8,13098498,화이트듀치과의원 울산,3323,700,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산임플란트 울산삼산동치과 매복사랑니발치 울산충치치료 울산라미네이트,,0.33134,0.464147,0.483145,,0,355.0,37.0,,0.0177,0.018015,0.005971
9,12973890,미소원치과의원 울산,1977,1258,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,울산치과 임플란트 신경치료전문 주말진료 교정치과,,0.33134,0.452484,0.482265,,-3,343.0,13.0,,0.0177,0.006126,0.005074
10,1302881319,울산바로치과의원,1928,1039,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산치과 임플란트 치아교정 사랑니발치 투명교정,,0.33134,0.444717,0.481678,,0,0.0,8.0,,0.0177,0.008183,0.005229
11,31513543,이좋은치과의원,3532,562,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,삼산동치과 달동치과 삼산동사랑니 삼산동수면마취 삼산동임플란트,,0.33134,0.436532,0.481061,,-7,134.0,4.0,,0.0177,-0.025836,0.002662
12,1956717974,런던의오후치과의원,2637,343,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산임플란트 울산치과 울산남구치과 울산라미네이트 신정동치과,,0.33134,0.429411,0.480523,,0,95.0,0.0,,0.0177,0.008705,0.005268
13,19851865,미담치과의원,3925,478,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,울산치과 임플란트 풀아치 틀니 치아교정,,0.33134,0.417349,0.479613,,-8,224.0,2.0,,0.0177,-0.030928,0.002277
14,1798912565,우리홈치과의원,1711,451,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,울산일요일치과 울산임플란트 울산치과 야음동치과 울산남구치과,,0.33134,0.408808,0.478968,,-1,44.0,5.0,,0.0177,0.003097,0.004845
