place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1221660137,오늘의치과의원,2969,670,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,부천임플란트치과 부천수면마취치과 라미네이트 부천치아교정치과 부천교정전문의,,0.33134,0.513303,0.36151,,0,312.0,10.0,,0.0177,0.016269,0.007908
2,1362516303,연세하이브치과의원 부천,2980,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,부천치과 부천심곡동치과 부천원미구치과 부천역치과 부천임플란트,,0.33134,0.464119,0.357798,,1,96.0,1.0,,0.0177,-0.005468,0.006267
3,19524204,서울리더스치과의원,2970,1140,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,임플란트 치아교정 턱관절 치과보존과 신중동치과,,0.33134,0.459895,0.357479,,-1,5.0,0.0,,0.0177,-0.01205,0.00577
4,1440766467,더센트럴치과의원,1582,65,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치아교정 상동사랑니발치 부천시청임플란트 부천중동치과 민생회복소비쿠폰사용처,,0.33134,0.458576,0.357379,,1,150.0,0.0,,0.0177,0.021733,0.008319
5,33787028,365봄치과의원,3160,836,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 춘의역임플란트 부천역충치치료 부천치아교정 사랑니발치,,0.33134,0.440727,0.356032,,-1,133.0,6.0,,0.0177,-0.01431,0.005599
6,1022270310,연세365치과의원 부천상동,1481,892,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,상동치과 부천치과 부천교정치과 부천임플란트 부천치아교정,,0.33134,0.439594,0.355947,Hot,13,177.0,4.0,,0.0177,0.062809,0.01142
7,1113119661,상상플란트치과의원,1548,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 틀니보철심미치료 원미구사랑니발치 턱관절치료치과,,0.33134,0.434674,0.355575,,1,108.0,4.0,,0.0177,0.00376,0.006963
8,482436895,부천청담네오플란트치과의원,2517,590,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,부천임플란트 부천교정치과 사랑니발치 부천중동치과 치아교정,,0.33134,0.430978,0.355297,,1,460.0,3.0,,0.0177,0.005965,0.00713
9,41921887,상동21세기치과의원,1636,1333,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,구강외과 산재보험 턱관절 기공실 틀니수리,,0.331294,0.430236,0.355223,,-3,45.0,0.0,,0.0177,-0.004422,0.006345
10,1656398876,연세바로치과교정과치과의원 부천점,1772,360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치아교정 상동교정치과 중동교정치과 상동치아교정 부천교정치과,,0.33134,0.42917,0.35516,Hot,12,176.0,6.0,,0.0177,0.058177,0.01107
11,1702221995,이보다치과의원 부천본원,887,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천중동치과 부천치아미백 신중동역치과 부천임플란트치과 부천사랑니치과,,0.33134,0.427687,0.355048,,2,184.0,6.0,,0.0177,0.019043,0.008116
12,34857027,연세퍼스트치과의원,2305,1245,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,부천교정치과 임플란트 라미네이트 부천치과 스케일링,,0.33134,0.424859,0.354835,,-2,165.0,4.0,,0.0177,0.00435,0.007008
13,1391321974,에센스치과의원 부천신중동,2460,412,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 신중동치과 부천임플란트 부천치아교정 부천에센스치과,,0.33134,0.422452,0.354653,,-2,248.0,3.0,,0.0177,0.010503,0.007472
14,1819849498,1미리치과의원 신중동역,1585,596,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치과신경치료 부천중동치과틀니 구강내과라미네이트심미보철 턱관절통증야간진료 일미리치아미백앞니레진,,0.33134,0.398593,0.352852,,2,101.0,9.0,,0.0177,0.012572,0.007628
15,1089988808,서울파트너치과의원 부천,672,212,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 치아미백투명교정 원미구사랑니발치 역곡역라미네이트,,0.33134,0.395655,0.352631,,-3,116.0,6.0,,0.0177,-0.01502,0.005546
16,1147819344,서울이로운치과의원 부천,2512,244,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천뼈이식임플란트치과 틀니보철심미치료 매복사랑니발치치과 치아미백,,0.33134,0.395482,0.352618,,-2,46.0,0.0,,0.0177,-0.010952,0.005853
17,1318993676,상동우수치과의원,123,193,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상동역임플란트 상동역치아미백 상동역치과 상동치과 상동사랑니,,0.33134,0.390773,0.352262,,0,23.0,11.0,,0.0177,0.00894,0.007354
18,1133912663,친절한호치과의원,2679,299,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 사랑니 턱관절 심미보철 충치치료,,0.331294,0.388394,0.352065,,-3,56.0,0.0,,0.0177,-0.005915,0.006233
19,2001627784,부천닥터스치과의원,896,100,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천임플란트치과 신중동치과 임플란트부천중동치과 부천치아교정치과 부천치과,,0.33134,0.383872,0.351741,,2,106.0,5.0,,0.0177,0.008069,0.007288
