place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,764221150,서울매일치과병원,1988,1684,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 치아교정 임플란트 의식하진정법 라미네이트,,0.33134,0.432082,0.442193,,1,81.0,2.0,,0.0177,0.001783,0.00581
2,1366448715,중앙플란트치과의원 원주,1431,135,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 임플란트 구강검진 보철치료 평원동치과,,0.33134,0.426904,0.441802,,2,-33.0,1.0,,0.0177,0.018529,0.007073
3,1551788910,서울수려한치과의원,450,61,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 치주과전문의 원주임플란트치과 원주잇몸치료 치주치료,,0.33134,0.424175,0.441596,,-2,49.0,3.0,,0.0177,-0.007018,0.005145
4,30947989,28지킴이치과의원,1300,943,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,충치치료 사랑니발치 임플란트 신경치료 치아미백,,0.331294,0.411023,0.440586,,-1,42.0,11.0,,0.0177,-0.002854,0.005459
5,1792365191,치과명작치과의원,697,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면디지털네비게이션임플란트 현미경진료 일요일치과 치과보존과전문의 충치신경보존치료,,0.33134,0.409498,0.440488,,2,77.0,0.0,,0.0177,0.03644,0.008425
6,33238523,원주유디치과의원,1151,235,치과,건강의료>병원>병원의원>치과>유디치과,4.27,,임플란트 원주치과 원주단계동치과 원주시 단계동충치,,0.33134,0.396856,0.439534,,-1,240.0,0.0,,0.0177,-0.006539,0.005181
7,190972778,삼성서울치과의원,1178,598,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,충치치료 구강악안면외과전문의 임플란트전문치과 원주치과 수평매복사랑니당일발치,,0.33134,0.386875,0.438781,,-1,65.0,25.0,,0.0177,-0.004117,0.005364
8,1719475426,서울니어치과의원 원주,414,409,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,기업도시치과 원주수면치과치료 원주수면임플란트 원주수면마취 원주치과,,0.33134,0.348669,0.435897,,0,14.0,1.0,,0.0177,0.002217,0.005842
9,36408885,치과의정석치과의원,700,779,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 심미보철 충치치료,,0.331294,0.320723,0.433771,,0,1.0,2.0,,0.0177,0.001443,0.005784
10,1487792975,다람쥐키즈치과의원,56,326,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주소아치과 어린이치과 소아진정치료 웃음가스치료 수면치료,,0.33134,0.316282,0.433453,,0,4.0,5.0,,0.0177,0.000209,0.00569
11,1710123354,센텀플란트치과의원,2314,993,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 원주임플란트 무실동치과 원주치과의원 원주수면치과,,0.33134,0.305503,0.43264,,0,21.0,2.0,,0.0177,0.005731,0.006108
12,1019780076,서울토론토치과의원,408,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,원주치과 원주혁신도시치과 원주임플란트 원주치아교정 서울토론토치과,,0.33134,0.289581,0.431438,,0,4.0,2.0,,0.0177,-0.002304,0.005501
13,1781470637,아이온가족치과의원,7,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.284634,0.431047,,5,0.0,0.0,,0.0177,0.018086,0.007039
14,32407226,킴스주니어치과의원,25,635,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,영유아구강검진 치과 키즈치과 어린이치과 소아치과,,0.33134,0.27857,0.430607,,0,1.0,1.0,,0.0177,0.001321,0.005775
15,1594316508,태장치과의원,158,585,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,치과 원주치과 태장동치과 원주임플란트 원주교정,,0.33134,0.277661,0.430538,,-2,0.0,0.0,,0.0177,-0.002036,0.005521
16,466694955,삼성서울 치과교정과 치과의원,1094,440,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,원주치과 원주교정치과 원주치아교정 무실동치과 양심치과,,0.33134,0.271646,0.430084,,0,6.0,0.0,,0.0177,-0.00074,0.005619
17,1751221884,연세탑치과의원,362,476,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,기업도시치과 원주치과 원주기업도시치과 지정면치과 가곡리치과,,0.33134,0.270971,0.430033,,2,0.0,0.0,,0.0177,0.005935,0.006122
18,675132002,서울인성치과,13,458,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.26909,0.429874,,3,0.0,0.0,,0.0177,0.00831,0.006302
19,1162590486,오케이치과의원,359,399,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 원주임플란트 원주혁신도시치과 반곡동치과 원주치아미백,,0.33134,0.266905,0.429726,,-4,3.0,0.0,,0.0177,-0.009077,0.004989
20,336155387,그랜드치과병원,13,406,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,원주치아교정 원주교정치과 원주임플란트 원주사랑니발치 원주내복치,,0.33134,0.262509,0.429395,,-3,0.0,2.0,,0.0177,-0.005452,0.005264
21,1132254805,아이조아치과의원,191,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 반곡동치과 소아치과전문의 원주소아치과 원주키즈치과,,0.33134,0.261654,0.42933,,1,3.0,1.0,,0.0177,0.003128,0.005911
