place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37046164,서울정석치과의원 대전,1657,1033,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 스케일링 틀니 충치치료 임플란트,,0.33134,0.478066,0.407152,,0,173.0,6.0,,0.0177,-0.006173,0.009232
2,1630072486,연세올데이치과의원 대전,3256,1331,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전야간치과 대전인비절라인 대전교정치과 대전임플란트,,0.33134,0.461992,0.405939,,1,704.0,20.0,,0.0177,0.026341,0.011686
3,1521659098,클라리티치과의원 대전,2648,1358,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,대전치과 봉명동치과 유성구치과 임플란트 치아미백,,0.33134,0.458589,0.405682,,-1,85.0,5.0,,0.0177,0.004518,0.010039
4,1199790402,바른손치과의원 대전,896,536,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,대전치과 대전디지털임플란트 틀니심미보철치료 매복사랑니발치 앞니치아미백,,0.33134,0.394681,0.400859,,0,11.0,3.0,,0.0177,0.003176,0.009938
5,1510247478,성심49플란트치과의원 대전,1103,330,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,유성구치과 유성구임플란트 관평동사랑니 대전치과 대전임플란트,,0.33134,0.370992,0.399071,,2,-9.0,3.0,,0.0177,0.007798,0.010287
6,1043606822,스마일리소아치과의원,67,307,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전소아치과 대전어린이치과 대전키즈치과 대전유아치과 대전영유아구강검진,,0.33134,0.347535,0.397301,,0,1.0,0.0,,0.0177,-0.017608,0.00837
7,2008343609,바른인성치과의원 대전,555,156,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,유성치과 관평동임플란트 대전용산동치과 송강동치과 신탄진치과,,0.33134,0.347428,0.397293,,2,163.0,10.0,,0.0177,0.019979,0.011206
8,1072901833,연세굿바이사랑니치과의원,21,507,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니전문 사랑니 수면사랑니 매복사랑니 사랑니발치,,0.331294,0.330466,0.395995,,0,0.0,4.0,,0.0177,-0.001593,0.009578
9,72834920,도안소아치과의원,48,491,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전어린이치과 대전소아치과 어린이치과 도안소아치과 소아치과,,0.33134,0.303706,0.393993,,2,0.0,0.0,,0.0177,0.003149,0.009936
10,413712616,바른이김치과의원,6,144,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,유성구_교정치료 유성구_임플란트치료 유성구_심미보철치료 죽동_치과 충남대_치과,,0.33134,0.298941,0.393633,,6,0.0,0.0,,0.0177,0.025103,0.011592
11,11846477,플랜트치과의원,83,2283,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 치아교정 대전치과 대전임플란트 대전교정치과,,0.33134,0.298503,0.3936,,-1,0.0,2.0,,0.0177,-0.003868,0.009406
12,13563202,유디치과의원 대전유성점,46,176,치과,건강의료>병원>병원의원>치과>유디치과,4.65,,임플란트 충치치료 스케일링 봉명동치과,,0.33134,0.287112,0.392741,,2,0.0,1.0,,0.0177,0.010534,0.010494
13,1514920581,반석위치과의원,192,528,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전임플란트 매복사랑니발치 노은동치아교정치과 잇몸충치신경치료 구강외과전문의,,0.33134,0.285302,0.392604,,0,1.0,4.0,,0.0177,0.007171,0.010239
14,1043348509,봄빛치과의원 대전,62,865,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 유성치과 원신흥동치과 도안동치과 상대동치과,,0.33134,0.277461,0.392012,,3,0.0,3.0,,0.0177,0.005939,0.010146
15,12000349,에이스마일치과병원,1106,597,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,대전치아교정 대전임플란트 대전보철 대전틀니 유성구치과,,0.33134,0.27264,0.391648,,7,4.0,3.0,,0.0177,0.010499,0.01049
16,1891008740,덴티치과의원,324,877,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,대전치과 대전임플란트 대전치아교정 대전야간치과 대전임플란트치과,,0.33134,0.271617,0.391571,,-4,1.0,6.0,,0.0177,-0.006698,0.009193
17,1264035025,동행어린이치과의원,13,251,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과전문의 대전소아치과 유성구어린이치과 관평동어린이치과 관평동소아치과,,0.33134,0.270162,0.391461,,3,0.0,3.0,,0.0177,0.007377,0.010255
18,1143872497,키엘치과의원,41,262,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치아교정 어린이_예방교정 임플란트,,0.331294,0.266214,0.391146,,-13,0.0,0.0,,0.0177,-0.110286,0.001375
19,13247224,새로운부부치과의원,36,338,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 노은동치과 대전치과 치아교정 보철치료,,0.33134,0.258168,0.390556,,4,0.0,0.0,,0.0177,0.005793,0.010135
20,1570970426,유성온치과의원,345,440,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 수면치과치료 수면임플란트 내비게이션임플란트,,0.33134,0.255793,0.390377,,-5,0.0,-1.0,,0.0177,-0.018573,0.008297
21,1850856041,온스타치과병원 대전,373,560,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱보톡스 치아미백 턱관절통증 충치신경잇몸치료,,0.331294,0.246816,0.389682,,4,2.0,3.0,,0.0177,0.005421,0.010107
22,13247378,엑스포치과의원,7,205,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,충치치료 임플란트 신경치료 치과교정 보철치료,,0.33134,0.246565,0.38968,Hot,12,0.0,0.0,,0.0177,0.026985,0.011734
23,1169940654,봄 치과교정과 치과의원,48,39,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정전문치과 교정과전문의 소아교정 대전인비절라인 성인교정,,0.33134,0.238196,0.389049,,5,1.0,0.0,,0.0177,0.006429,0.010184
24,1063121210,더오래치과의원,88,442,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관평동치과 대전유성치과 대전턱관절 관평동야간치과 관평동임플란트,,0.33134,0.237505,0.388997,,6,1.0,1.0,,0.0177,0.009232,0.010395
25,1109927091,미소가득치과의원,37,531,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전민동치과 전민동임플란트 전민동충치치료 보철전문의 문지동치과,,0.33134,0.237285,0.38898,,2,0.0,0.0,,0.0177,0.004163,0.010012
26,20247222,서울명문치과의원,39,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,임플란트 교정 사랑니 유성치과 대전임플란트,,0.33134,0.235342,0.388833,,-7,0.0,0.0,,0.0177,-0.029886,0.007442
27,1847248127,애플치과의원,139,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관평동치과 대전턱관절 대전임플란트치과 대전사랑니발치 오버레이,,0.33134,0.234698,0.388785,,-1,2.0,3.0,,0.0177,-0.001512,0.009584
28,13247338,박준상치과의원,6,374,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.232899,0.388632,,9,0.0,1.0,,0.0177,0.016863,0.010971
29,1826534281,든든플란트치과의원,237,459,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 턱관절치료 잇몸치료 야간진료,,0.331294,0.231226,0.388505,,-11,4.0,18.0,,0.0177,-0.035825,0.006994
30,1534216598,턱사랑혀사랑구강내과치과의원,54,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구강내과 턱관절 턱관절병원 턱관절치료병원 턱관절치료,,0.331294,0.228415,0.388293,,-6,0.0,0.0,,0.0177,-0.016361,0.008463
