place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1486994795,친절한홍치과의원,4481,627,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아미백 턱관절치료 심미보철 사랑니발치,,0.331294,0.481717,0.425524,,0,357.0,7.0,,0.0177,-0.017341,0.005371
2,20580638,서울금플란트치과의원 은평,3698,355,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,응암동임플란트 불광역충치 은평구치과 연신내수면임플란트 은평구임플란트,,0.33134,0.468439,0.424539,,1,268.0,0.0,,0.0177,-0.018434,0.005288
3,31997784,디테일탑치과의원 은평,3118,754,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,은평구치과 연신내사랑니발치 심미보철치아미백 턱관절치료치과 웃음가스임플란트,,0.33134,0.46389,0.424196,,-1,249.0,0.0,,0.0177,-0.030612,0.00437
4,1682885412,연세탑치과의원 은평,1815,684,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,은평구치과 은평구임플란트 은평사랑니발치 은평치아교정 대조동치과,,0.33134,0.445754,0.422827,,4,233.0,2.0,,0.0177,0.028818,0.008855
5,1880658129,서울엘리트치과의원,1600,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,턱관절통증 수면마취치료치과 임플란트 충치신경치료 은평구치과,,0.33134,0.444721,0.422749,,-1,183.0,3.0,,0.0177,-0.002791,0.006469
6,1954938121,닥터굿플란트치과의원 은평,2635,960,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,은평구치과 구산동임플란트 연신내충치치료 구산역스케일링 연신내역턱관절치료,,0.33134,0.441334,0.422493,,1,181.0,5.0,,0.0177,0.00907,0.007364
7,1249364894,서울플랜트치과의원,2352,649,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,임플란트 iGBR급속골이식 플라즈마신경치료 무절개임플란트 민생회복소비쿠폰,,0.331294,0.433934,0.421917,,3,236.0,1.0,,0.0177,0.032453,0.009128
8,1126074632,서울숙면치과의원 은평,3309,363,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,수면임플란트 은평구치과 응암동치과 응암역치과 수면치과,,0.33134,0.413339,0.42038,,-2,367.0,1.0,,0.0177,-0.022022,0.005017
9,12021715,에이플러스치과의원 은평점,2302,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,은평구치과 응암동임플란트 녹번동충치치료 대조동사랑니발치 녹번역치과,,0.33134,0.411646,0.420253,,-4,238.0,0.0,,0.0177,-0.026117,0.004709
10,1127422924,서울바른훈치과의원,2726,909,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,은평구치과 임플란트 어린이치과 충치 치아교정,,0.33134,0.397979,0.419221,,-1,79.0,-3.0,,0.0177,-0.010713,0.005871
