place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1299914088,연세맑음치과의원,464,271,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천치과 임플란트 사랑니발치 창전동치과 수면임플란트,,0.33134,0.420123,0.408817,,0,-7.0,5.0,,0.0177,-0.018599,0.005276
2,20652724,이탑치과의원,412,1127,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,임플란트 치아교정 턱관절치료 공휴일진료 일요일진료,,0.331294,0.410842,0.408099,,0,1.0,9.0,,0.0177,0.000135,0.006689
3,36277160,연세스카이치과병원,1023,762,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,치아교정 사랑니발치 이천치과 임플란트 이천교정,,0.33134,0.391116,0.406628,,0,81.0,3.0,,0.0177,-0.007329,0.006127
4,38676715,이솜치과의원,3011,346,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 심미보철,,0.331294,0.372357,0.405195,,0,11.0,4.0,,0.0177,-0.014486,0.005586
5,13233660,이천예치과의원,243,998,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,임플란트 턱관절치료 치아교정 사랑니발치 이천치과,,0.33134,0.36375,0.404562,,1,70.0,-3.0,,0.0177,0.04455,0.010041
6,34291747,유디치과의원,523,471,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,임플란트 이천치과 이천유디치과 사랑니치과 여주치과,,0.33134,0.32984,0.402003,,-1,26.0,4.0,,0.0177,-0.000302,0.006657
7,38523644,서울쥬니어치과의원,36,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천소아치과 이천어린이치과 여주어린이치과 이천소아교정 경기광주어린이치과,,0.33134,0.29402,0.3993,,1,1.0,0.0,,0.0177,0.020419,0.008221
8,12074330,이천이다치과의원,276,275,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천치과 이천임플란트 이천투명교정 부발치과 여주치과,,0.33134,0.286891,0.398762,,-1,4.0,1.0,,0.0177,0.005258,0.007077
9,1950850917,스탠다드치과의원 이천점,256,500,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,이천임플란트 이천수면치과 수면마취이천치과 이천치과 투명교정,,0.33134,0.269964,0.397484,,0,4.0,1.0,,0.0177,0.006102,0.00714
10,1307172158,서울샘치과의원,615,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,이천치과 이천임플란트 이천치아교정 이천보철치료 이천과잉진료없는치과,,0.33134,0.265044,0.397113,,1,1.0,2.0,,0.0177,0.009454,0.007393
11,1374436273,좋아서하는 치과교정과 치과의원,59,343,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,이천교정치과 치아미백 인비절라인 투명교정 이천소아교정,,0.33134,0.264351,0.397061,,2,0.0,0.0,,0.0177,0.024564,0.008534
12,19958017,서울이엘치과의원,1873,1020,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천치과 이천치아교정 이천교정치과 이천임플란트 여주치과,,0.33134,0.261918,0.396877,,-2,18.0,1.0,,0.0177,0.002444,0.006864
13,1265211065,서울감동치과의원,83,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,장호원치과 장호원임플란트 장호원사랑니 감곡치과 장호원틀니,,0.33134,0.258413,0.396612,,1,6.0,0.0,,0.0177,0.018972,0.008111
14,1473204814,이천바로치과의원,186,605,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원데이임플란트 투명교정 턱관절치료 무통마취 치주과전문의,,0.331294,0.252611,0.396157,,-2,0.0,5.0,,0.0177,-0.002692,0.006476
15,1813693300,서울우수한치과의원,70,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장호원읍치과 장호원임플란트 자연치아보존 장호원치과 임플란트,,0.33134,0.241937,0.395369,,4,0.0,2.0,,0.0177,0.018587,0.008082
16,1107462333,서울바른수치과의원,105,153,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서울바른수치과 이천심미보철 이천임플란트 서울바른수치과이천 증포동치과,,0.33134,0.236904,0.394989,,0,2.0,2.0,,0.0177,0.000405,0.00671
17,1961429789,초록나무치과의원,3,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,임플란트 스케일링 마장면치과 충치치료 잇몸치료,,0.33134,0.23515,0.394857,,-2,0.0,0.0,,0.0177,-0.002897,0.006461
18,13233813,이천치과의원,11,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.341289,0.183477,0.394711,,4,0.0,0.0,,0.0177,0.024244,0.008509
19,13233663,행복치과의원,7,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.232585,0.394646,,-2,0.0,0.0,,0.0177,0.004908,0.00705
20,12051816,미드림치과의원,4,132,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,내비게이션임플란트 소아청소년성인교정 보철치주치료 홈메우기충치치료 보톡스턱관절치료,,0.331294,0.228988,0.394374,,-2,0.0,0.0,,0.0177,0.001887,0.006821
21,13233766,연세부부치과의원,233,463,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,임플란트 치아미백 치아교정 턱관절치료 신경치료,,0.331294,0.220733,0.393751,,-1,1.0,0.0,,0.0177,0.003393,0.006935
22,19809870,다인치과의원,4,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.207289,0.392737,,2,0.0,0.0,,0.0177,0.009833,0.007422
23,1965378723,김대학치과의원,5,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 재식립 심미보철 특수틀니,,0.331294,0.200896,0.392254,,-2,0.0,0.0,,0.0177,-0.012292,0.005751
24,13233666,이편한치과의원,6,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.196337,0.39191,,6,0.0,0.0,,0.0177,0.021464,0.008299
25,13233817,민치과의원,7,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,이천치과 증포동치과 치과 임플란트 민치과,,0.33134,0.194478,0.391787,,-2,1.0,0.0,,0.0177,-0.003044,0.00645
26,13233664,다나치과의원,5,194,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.192706,0.391636,,0,0.0,1.0,,0.0177,-0.002041,0.006525
27,1183710135,미소드림치과의원,0,88,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보존치료 전문의 치과의원 틀니치료,,0.33134,0.190847,0.391513,,-2,0.0,3.0,,0.0177,-0.005439,0.006269
