place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37107117,탑플란트치과의원 익산,521,446,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,익산치과 임플란트 충치치료 익산임플란트 치과,,0.33134,0.358578,0.404172,,0,0.0,0.0,,0.0177,0.000886,0.006746
2,13267583,미서울치과의원,474,315,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,익산임플란트 익산치과 영등동치과 익산교정치과 익산틀니,,0.33134,0.319223,0.401202,,0,4.0,1.0,,0.0177,0.007899,0.007276
3,37912577,원치과의원,794,624,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,익산치과 익산임플란트 익산사랑니발치 익산심미보철 익산충치치료,,0.33134,0.303923,0.400047,,0,3.0,2.0,,0.0177,0.005977,0.00713
4,37485867,모현삼성치과의원,579,915,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 원데이보철 스케일링 치과 임플란트,,0.33134,0.296392,0.399479,,0,4.0,0.0,,0.0177,0.001442,0.006789
5,11601155,노블리안치과의원,948,488,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,익산치과 익산교정 익산임플란트 익산턱관절장애 영등동치과,,0.33134,0.291536,0.399112,,1,0.0,0.0,,0.0177,0.021257,0.008284
6,1042010679,익산하나어린이치과의원,6,27,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 소아치과 어린이치과 충치치료 영유아구강검진,,0.33134,0.281589,0.398362,,-1,0.0,0.0,,0.0177,0.009707,0.007413
7,37623478,키즈앤어린이치과의원,11,349,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,익산어린이치과 익산소아치과,,0.33134,0.268214,0.397352,,3,0.0,0.0,,0.0177,0.026666,0.008692
8,13267565,행복플러스치과의원,6,167,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.264453,0.397051,,0,0.0,0.0,,0.0177,0.013377,0.007689
9,1722501290,그랜드치과의원,243,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,익산치과 익산임플란트 익산치과임플란트 익산사랑니 임플란트,,0.33134,0.263748,0.397015,,-2,0.0,0.0,,0.0177,-0.004428,0.006345
10,36237245,정승관치과의원,21,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,임플란트 틀니 충치치료 무통마취 보철치료,,0.331294,0.260634,0.396763,,1,0.0,0.0,,0.0177,0.026836,0.008705
11,13267636,다온치과의원,83,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.251323,0.39606,,3,0.0,0.0,,0.0177,0.020323,0.008213
12,13084622,에프엠치과의원,22,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,익산치과 익산임플란트 익산의식하진정처치 익산수면임플란트 익산에프엠치과,,0.33134,0.240585,0.395267,,0,1.0,0.0,,0.0177,0.009518,0.007398
