place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1777947640,서울바로치과의원 인천검단점,1521,595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단교정치과 검단소아치과 검단어린이치과,,0.33134,0.481203,0.389276,,0,102.0,3.0,,0.0177,0.005499,0.010114
2,1485303711,이보다구강악안면외과치과의원,2528,480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단신도시치과 사랑니 턱관절치료,,0.33134,0.468379,0.388308,,0,221.0,14.0,,0.0177,0.008633,0.01035
3,21437022,이플러스치과의원 검단,3835,135,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,검단치과 검단신도시치과 매복사랑니발치 검단보철충치치료 틀니뼈이식임플란트,,0.33134,0.458984,0.387599,,0,261.0,0.0,,0.0177,0.00034,0.009724
4,1391225343,검단퍼스트치과의원,3249,663,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단신도시치과 심미라미네이트보철 매복사랑니발치 네비게이션임플란트 턱관절치료,,0.33134,0.453815,0.387209,,0,302.0,7.0,,0.0177,0.001957,0.009846
5,1134532954,예온치과병원 인천검단365점,1837,1622,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단치아교정 검단임플란트치과 검단어린이소아치과 인천치과,,0.33134,0.451884,0.387063,,0,209.0,52.0,,0.0177,0.003372,0.009953
6,1251605697,서울더탑치과의원,2660,589,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 검단치과 검단신도시치과 인천치과,,0.33134,0.445876,0.38661,,0,510.0,10.0,,0.0177,-0.000759,0.009641
7,1698942918,플란치과의원 인천 검단점,2073,3305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 검단임플란트 검단치과 원당동치과 김포치과,,0.33134,0.439516,0.38613,,0,281.0,46.0,,0.0177,-0.00273,0.009493
8,1791458774,검암본플란트치과의원,563,133,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검암동치과 인천서구치과 임플란트 사랑니 본플란트,,0.33134,0.384497,0.381977,,0,33.0,3.0,,0.0177,0.008404,0.010332
9,1808826495,치과로와치과의원 검단,1480,994,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단신도시치과 검단치과 검단임플란트치과 인천원당동충치치료 인천턱관절,,0.33134,0.380192,0.381652,,0,-6.0,6.0,,0.0177,0.004528,0.01004
10,1791974296,서울더블유치과교정과치과의원 검단,928,472,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단신도시치과 인천치아재교정치료 검단임플란트치과 검단비발치교정치과,,0.33134,0.369063,0.380812,,0,0.0,4.0,,0.0177,-0.002978,0.009473
11,37774560,파랑새플란트 치과의원,148,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 충치치료 보철치료 일요일치과 소아치료,,0.33134,0.364736,0.380486,,1,-2.0,0.0,,0.0177,0.014757,0.010812
12,1335259760,연세꿈꾸는아이치과의원 인천검단점,69,1015,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단어린이치과 검단소아치과 검단교정치과 어린이치과 교정치과,,0.33134,0.344581,0.378965,,1,3.0,0.0,,0.0177,0.009779,0.010437
