place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37864845,연세바로치과교정과치과의원 인천점,4465,2895,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,인천치과 인천교정치과 구월동무삭제라미네이트 인천인비절라인퍼스트 구월동치아교정치과,,0.33134,0.521669,0.407424,,1,536.0,24.0,,0.0177,0.008303,0.007306
2,1966350660,더케이365치과병원 인천본점,2864,876,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 턱관절치료 매복사랑니발치 인천치아교정치과 뼈이식임플란트,,0.33134,0.511283,0.40664,,-1,453.0,18.0,,0.0177,-0.004968,0.006304
3,35497766,라이브치과병원 인천부평,4765,2615,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,인천치과 인천인비절라인치아교정 뼈이식임플란트 매복사랑니발치 라미네이트보철치료,,0.33134,0.503693,0.406067,,2,302.0,11.0,,0.0177,0.007558,0.007249
4,1225351456,연세디앤유치과의원,2580,1217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 무삭제라미네이트 부평교정치과 인천치과,,0.33134,0.503055,0.406019,,-1,104.0,10.0,,0.0177,-0.002258,0.006509
5,1227621966,화이트드림치과의원,6227,845,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,인천치과 구월동치과 인천치아교정 충치치료 구월동임플란트,,0.33134,0.490541,0.405075,,3,122.0,6.0,,0.0177,0.009372,0.007387
6,1835870980,투명플러스치과의원 인천부평,5869,2343,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,부평치과 인천임플란트치과 부평치아교정치과 부평라미네이트 부평역스케일링,,0.33134,0.488923,0.404953,,-2,373.0,6.0,,0.0177,-0.012186,0.00576
7,1951401500,연세오늘치과의원 주안,2994,379,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 사랑니발치 인천치과,,0.33134,0.486338,0.404758,,-1,175.0,0.0,,0.0177,-0.001819,0.006542
8,1970483636,연세세브란스치과의원,1918,641,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,수면치과치료 사랑니발치 컴퓨터분석임플란트 치아교정치과 보존과전문의,,0.33134,0.484188,0.404595,,-1,168.0,15.0,,0.0177,0.001263,0.006774
9,1777947640,서울바로치과의원 인천검단점,1521,595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단교정치과 검단소아치과 검단어린이치과,,0.33134,0.481203,0.40437,,1,102.0,3.0,,0.0177,0.005499,0.007094
10,1498152618,365베스트치과의원 부평청천본점,2715,1347,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 청천동치과 산곡치과 일요일진료치과,,0.33134,0.47488,0.403893,,5,77.0,20.0,,0.0177,0.015943,0.007883
11,1146699780,365서울채움치과의원 부평,2587,871,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 임플란트 라미네이트 소아치과 야간치과,,0.33134,0.468835,0.403437,,0,278.0,-188.0,,0.0177,0.00671,0.007186
12,1717860225,강남365치과의원,3475,2552,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,인천치과 인천임플란트 인천치아교정 인천어린이치과 수면임플란트,,0.33134,0.468477,0.40341,,-3,0.0,22.0,,0.0177,-0.009601,0.005955
13,1485303711,이보다구강악안면외과치과의원,2528,480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단신도시치과 사랑니 턱관절치료,,0.33134,0.468379,0.403402,,0,221.0,14.0,,0.0177,0.008633,0.007331
14,31059089,디지털해피스치과의원 인천부평,3161,2064,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,부평치과 인천라미네이트 부평수면마취임플란트 부평역전문의임플란트 인천디지털치과,,0.33134,0.462799,0.402981,,0,804.0,50.0,,0.0177,0.003571,0.006949
15,1600612830,365서울앞선치과의원,2368,408,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안역치과 미추홀구치과 임플란트 주안치과 주안동치과,,0.33134,0.459419,0.402726,,2,233.0,0.0,,0.0177,0.00675,0.007189
16,1549903274,예온치과의원 인천구월365점,2650,2000,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잇몸치료 매복사랑니발치 치아교정 임플란트염증재수술 턱관절장애통증,,0.331294,0.459484,0.402714,,3,89.0,44.0,,0.0177,0.009711,0.007413
17,21437022,이플러스치과의원 검단,3835,135,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,검단치과 검단신도시치과 매복사랑니발치 검단보철충치치료 틀니뼈이식임플란트,,0.33134,0.458984,0.402693,,-1,261.0,0.0,,0.0177,0.00034,0.006705
18,1391225343,검단퍼스트치과의원,3249,663,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단신도시치과 심미라미네이트보철 매복사랑니발치 네비게이션임플란트 턱관절치료,,0.33134,0.453815,0.402303,,0,302.0,7.0,,0.0177,0.001957,0.006827
19,38015391,새이치과의원,3803,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동사랑니 구월동임플란트 인천양심치과 인천치과,,0.33134,0.451934,0.402161,,6,522.0,2.0,,0.0177,0.008287,0.007305
20,1134532954,예온치과병원 인천검단365점,1837,1622,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단치아교정 검단임플란트치과 검단어린이소아치과 인천치과,,0.33134,0.451884,0.402157,,2,209.0,53.0,,0.0177,0.003372,0.006934
21,1690154148,부평더맑은치과의원,2637,649,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천부평치과 공휴일야간진료치과 부평충치신경치료 부평무삭제라미네이트 인천임플란트치과,,0.33134,0.449142,0.40195,Hot,14,320.0,47.0,,0.0177,0.031428,0.009051
22,1186130140,감동플란트치과의원 구월동점,2195,341,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 인천일요일치과 수면임플란트 임플란트 무통마취치과,,0.33134,0.44776,0.401846,,-2,322.0,4.0,,0.0177,-0.001636,0.006556
23,1251605697,서울더탑치과의원,2660,589,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 검단치과 검단신도시치과 인천치과,,0.33134,0.445876,0.401704,,0,510.0,10.0,,0.0177,-0.000759,0.006622
24,1393194552,플란치과병원 인천 부평점,2882,2595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 인천치과 부평치과 인천임플란트 부평임플란트,,0.33134,0.445315,0.401662,,3,385.0,14.0,,0.0177,0.00519,0.007072
25,1843571146,서울365치과의원,4501,711,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,구월동치과 구월동치아교정 구월동임플란트 인천사랑니 인천치과,,0.33134,0.443736,0.401542,,-4,11.0,0.0,,0.0177,-0.005201,0.006286
26,1935011282,리봄치과의원,977,962,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 인비절라인투명교정 임플란트뼈이식재수술 스케일링무통가글마취 충치신경잇몸보존치료,,0.331294,0.441575,0.401362,,3,47.0,22.0,,0.0177,0.007518,0.007247
