place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1255347735,굿센치과의원,1593,975,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산임플란트 중산동치과 치아미백스케일링 일산사랑니발치,,0.33134,0.505651,0.351876,,6,260.0,4.0,,0.0177,0.086511,0.013209
2,1560304994,플란치과의원 경기 일산점,1452,638,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 일산치과 일산임플란트 정발산역치과 장항동치과,,0.33134,0.493925,0.350991,,-1,129.0,15.0,,0.0177,0.035077,0.009327
3,674499256,화이트드림치과의원 일산,2951,918,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,일산치과 일산임플란트 일산치아교정 매복사랑니발치 충치신경치료,,0.33134,0.461285,0.348527,,-1,205.0,1.0,,0.0177,0.017637,0.00801
4,1628731644,미라클플란트치과의원 일산,3840,4408,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산뼈이식임플란트 일산매복사랑니발치 라미네이트보철치료 충치신경잇몸치료,,0.33134,0.460521,0.34847,,-1,254.0,14.0,,0.0177,0.022169,0.008353
5,1818788308,연세바로치과교정과치과의원 일산,1761,1165,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산교정치과 인비절라인 네비게이션임플란트 일산치과 파주사랑니,,0.33134,0.454518,0.348017,,0,231.0,8.0,,0.0177,0.021369,0.008293
6,1353713004,365자주치과의원 일산,1271,848,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산임플란트 정발산역치과 정발산역임플란트 매복사랑니당일발치,,0.33134,0.438256,0.346789,,-2,10.0,38.0,,0.0177,0.001574,0.006798
7,2038299304,치아살리는치과의원,1541,105,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,정발산역치과 일산치과 일산임플란트 매복사랑니발치 치아미백스케일링,,0.33134,0.435685,0.346595,,2,199.0,9.0,,0.0177,0.033957,0.009242
8,11542595,두레치과의원,1108,272,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,일산치과 마두역치과 임플란트 사랑니발치 백석역치과,,0.33134,0.42786,0.346005,,0,0.0,11.0,,0.0177,0.009942,0.00743
9,11872461,일산웰치과의원,3526,457,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,일산임플란트 일산스케일링 일산충치 라미네이트 사랑니,,0.331294,0.422799,0.345605,,-3,537.0,10.0,,0.0177,-0.007419,0.006119
10,1263189649,바른이바른얼굴치과 교정 과 치과의원,555,716,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,교정치과 치아교정 인비절라인 콤비설측 돌출입,,0.33134,0.419842,0.345399,,0,69.0,0.0,,0.0177,0.021953,0.008336
11,13556354,일산스타28치과의원,2396,1469,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,일산치과 일산치아교정 일산교정치과 일산임플란트 일산치과교정,,0.33134,0.392366,0.343326,,1,98.0,0.0,,0.0177,0.004146,0.006992
12,1176923686,고양본플란트치과의원,632,419,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 식사동치과 식사동임플란트 임플란트 야간진료,,0.33134,0.390216,0.343164,,-1,17.0,11.0,,0.0177,-0.001532,0.006564
13,13178448,연세플라워치과병원 일산본원,1275,629,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,일산치과 일산임플란트 일산치아교정 일산교정치과 일산충치치료,,0.33134,0.294974,0.335975,,0,1.0,0.0,,0.0177,0.000807,0.00674
14,1848718720,서울해피키즈치과의원,561,303,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산어린이치과 일산소아치과 식사동치과 일산치과 일산동구치과,,0.33134,0.286374,0.335326,,0,0.0,3.0,,0.0177,0.011613,0.007555
15,13267895,일산린치과의원,10,578,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 일산치과 교정전문 사랑니발치 틀니,,0.33134,0.260088,0.333343,,0,0.0,1.0,,0.0177,0.002646,0.00688
