place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1790776792,신치과의원,0,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.09,,임실_치과 임실 임플란트 틀니 치과,,0.33134,0.155564,0.325454,,0,-,-,,-,-,-
2,1468222570,오수치과,3,40,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임실임플란트 남원임플란트 전주임플란트 김제임플란트 임플란트틀니,,0.331294,0.132246,0.323677,,0,-,-,,-,-,-
3,13267368,부부치과의원,1,15,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.130729,0.323562,,0,-,-,,-,-,-
4,13267386,관촌치과의원,1,48,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.126793,0.323265,,0,-,-,,-,-,-
5,13267370,상아치과의원,1,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.11295,0.322221,,0,-,-,,-,-,-
6,13267411,송치과의원,2,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.089719,0.320467,,0,-,-,,-,-,-
7,1183495873,충경치과의원,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.047369,0.317271,,0,-,-,,-,-,-
8,13493756,임실군보건의료원,7,80,보건소,건강의료>병원>보건소>보건소-일반,3.96,,,,0.0,0.201622,0.203896,,0,-,-,,-,-,-
9,13265471,연치과의원,1,292,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.256233,0.144355,,0,-,-,,-,-,-
10,13265474,평화미주치과의원,5,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,,,0.331294,0.231524,0.14249,,0,-,-,,-,-,-
11,1731960416,와이편한치과의원,77,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,구이치과 평화동치과 전문의 틀니 턱관절,,0.33134,0.214054,0.141189,,0,-,-,,-,-,-
12,13265457,하나로부부치과의원,4,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정 임플란트 보철 치주 보존,,0.331294,0.19873,0.140015,,0,-,-,,-,-,-
13,1372829151,연세미소치과의원 전주,2,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,전주치과 전주임플란트치과 전주평화동임플란트 전주삼천동치과 전주평화동치과,,0.33134,0.179016,0.138545,,0,-,-,,-,-,-
14,13265443,선부부치과의원,0,102,치과,건강의료>병원>병원의원>치과>치과-일반,4.03,,,,0.331294,0.132171,0.134992,,0,-,-,,-,-,-
15,13265317,최화수치과의원,0,31,치과,건강의료>병원>병원의원>치과>치과-일반,3.92,,,,0.331294,0.085322,0.131456,,0,-,-,,-,-,-
16,13267250,덕과면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.06563,0.004953,,0,-,-,,-,-,-
