place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1538966609,H플란트치과의원 수원,1425,362,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,수원치과 수원임플란트 수원교정치과 수원치아교정 수원크라운,,0.33134,0.485286,0.365433,,2,163.0,13.0,,0.0177,0.038031,0.00955
2,11853269,좋은솜씨오케이치과의원,4801,1511,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,미니쉬 치아교정 임플란트 수면사랑니 수원치과,,0.33134,0.481425,0.365142,,-1,602.0,5.0,,0.0177,-0.003218,0.006437
3,1967765521,노블치과의원 수원,2021,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 장안구치과 조원동치과 수원임플란트 수원치아교정,,0.33134,0.478122,0.364892,,-1,166.0,1.0,,0.0177,0.028373,0.00882
4,1946313615,더채움치과의원,2962,554,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장안구치과 수원조원동치과 수원치아교정 수원임플란트 교정과전문의,,0.33134,0.436489,0.36175,,0,216.0,-4.0,,0.0177,0.003137,0.006916
5,1373189717,서울DS플란트치과의원,2058,354,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영화동치과 수원치과 수원임플란트 장안구치과 수원야간진료치과,,0.33134,0.435055,0.361642,,0,120.0,10.0,,0.0177,0.02179,0.008324
6,1578482171,연세365감동치과의원,950,830,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면무통마취치과 턱관절통증치료 충치신경치료 사랑니발치 네비게이션임플란트,,0.33134,0.410176,0.359764,,0,93.0,8.0,,0.0177,0.005047,0.00706
7,1805187755,서울진심플란트치과의원,684,1163,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원정자동치과 수원정자동임플란트 장안구임플란트 매복사랑니발치 수원정자동충치치료,,0.33134,0.366373,0.356458,,0,76.0,17.0,,0.0177,-0.018905,0.005252
8,11549712,사람사랑치과의원 수원점,42,1056,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,수원임플란트 수원어린이치과 수원치아교정 수원교정전문치과 충치치료,,0.33134,0.29603,0.351149,,3,1.0,5.0,,0.0177,0.029062,0.008872
9,1112355926,42좋은치과의원,462,654,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,수원장안구임플란트 수원조원동임플란트 수원조원동치과 수원조원동치아교정 수원장안구치아교정,,0.33134,0.289859,0.350684,,-1,0.0,2.0,,0.0177,0.003941,0.006977
10,11525346,수원예치과의원,560,537,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 치아교정 충치치료 수원치과 장안구치과,,0.33134,0.287502,0.350506,,-1,5.0,-1.0,,0.0177,0.005353,0.007084
11,1961289879,서울아산플란트치과의원 수원,585,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,화서역치과 임플란트 치아교정 턱관절 사랑니,,0.33134,0.279073,0.34987,,2,0.0,1.0,,0.0177,0.017627,0.00801
12,1170382704,서울하이치과의원,104,536,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치과 임플란트 충치치료 신경치료 턱관절물리치료,,0.33134,0.266518,0.348922,,5,0.0,1.0,,0.0177,0.01388,0.007727
13,11699090,지오치과의원,312,600,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.262282,0.348585,,-1,0.0,0.0,,0.0177,-0.002138,0.006518
14,20560535,스마트치과의원,7,380,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성대역치과 율전동치아교정 서수원임플란트 사랑니발치전문 성균관대역치과,,0.33134,0.259351,0.348381,,1,0.0,1.0,,0.0177,0.003072,0.006911
15,1004837156,서울으뜸치과의원 수원,118,1173,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무통마취신경치료 매복수평사랑니난발치 충치잇몸보존치료 턱관절통증물리치료 디지털임플란트,,0.331294,0.258648,0.348311,,1,2.0,33.0,,0.0177,0.004486,0.007018
16,935681773,건강한김치과의원,8,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,디지털치과 심미보철 네비게이션임플란트 이갈이장치 잇몸치료,,0.33134,0.257721,0.348258,,-2,0.0,1.0,,0.0177,-0.001375,0.006575
17,1605724859,도담도담치과의원,5,47,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,정자동소아치과 수원어린이치과 정자동어린이치과 화서역소아치과 수원소아치과,,0.33134,0.253691,0.347954,,3,0.0,2.0,,0.0177,0.015755,0.007868
