place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1746295173,정읍종로치과의원,50,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,정읍치과 정읍임플란트 정읍틀니 정읍임플란트치과 정읍무통마취주사치과,,0.33134,0.329692,0.392935,,0,0.0,0.0,,0.0177,-0.002783,0.006469
2,1158652688,서울보다치과의원,15,687,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,정읍치과 정읍임플란트 정읍교정치과 서울보다치과 정읍치아교정,,0.33134,0.284852,0.389551,,0,0.0,32.0,,0.0177,0.00029,0.006701
3,13266813,상동치과의원,1,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.229631,0.385366,,4,0.0,0.0,,0.0177,0.031419,0.00905
4,13266803,이편한치과,2,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.226341,0.385118,,0,0.0,0.0,,0.0177,0.010255,0.007453
5,13266811,수성치과의원,1,123,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.22508,0.385023,,0,0.0,0.0,,0.0177,0.010159,0.007446
6,13266753,정읍치과의원,2,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.341289,0.173619,0.38491,,-3,0.0,0.0,,0.0177,0.002625,0.006877
7,36663053,미플란트치과의원,1,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 임플란트 심미레진 스케일링,,0.331294,0.21365,0.38416,,-1,0.0,0.0,,0.0177,0.006349,0.007158
8,13266757,이사랑부부치과의원,3,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보험틀니 보험임플란트 심미보철 정읍치과,,0.33134,0.208138,0.383761,,1,0.0,0.0,,0.0177,0.017361,0.007989
9,34907307,더심플란트치과의원,86,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,정읍치과 정읍임플란트 정읍교정치과 고창치과 부안치과,,0.33134,0.20144,0.383256,,1,0.0,0.0,,0.0177,0.012326,0.00761
10,1925237394,청담연치과의원,2,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 보철 충치 치과 미백,,0.33134,0.194952,0.382766,,-2,0.0,1.0,,0.0177,0.000648,0.006728
11,36679196,한마음부부치과의원,0,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.188227,0.382241,,2,0.0,0.0,,0.0177,0.026763,0.008699
12,13266796,김규석치과의원,0,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,,,0.331294,0.182715,0.381825,,0,0.0,0.0,,0.0177,0.017812,0.008023
13,13266661,세종치과의원,2,78,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.159757,0.380093,,5,0.0,0.0,,0.0177,0.012756,0.007642
14,1134384488,하나로치과의원,1,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 상악동거상술 충치치료 치주질환 사랑니발치,,0.331294,0.159331,0.380061,,-3,0.0,2.0,,0.0177,-0.016121,0.005463
15,20601820,조은치과의원,0,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,치주보존 임플란트치료,,0.331294,0.155549,0.379775,,0,0.0,0.0,,0.0177,-0.002249,0.006509
16,13266689,김성일치과의원,1,144,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.150369,0.379384,,-2,0.0,0.0,,0.0177,-0.008994,0.006
17,13266712,제일치과의원,1,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.148876,0.379272,,0,0.0,2.0,,0.0177,-0.005305,0.006279
18,13266785,송하치과의원,1,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.147731,0.379185,,1,0.0,1.0,,0.0177,0.017538,0.008003
19,20425134,미소진치과의원,0,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.130637,0.377895,,-3,0.0,0.0,,0.0177,-0.025015,0.004791
20,13266694,최정호치과의원,1,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.119453,0.377051,,2,0.0,0.0,,0.0177,0.00302,0.006907
21,38521469,하나치과의원,0,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.118299,0.376964,,2,0.0,-1.0,,0.0177,0.010364,0.007462
22,37179905,정읍연합치과의원,0,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.117719,0.37692,,5,0.0,1.0,,0.0177,0.015204,0.007827
23,13266783,송창용치과의원,1,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.116542,0.376831,,1,0.0,0.0,,0.0177,0.009117,0.007367
24,13266675,최치과의원,1,5,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.115707,0.376768,,6,0.0,0.0,,0.0177,0.018368,0.008065
25,13267096,하얀치과의원,1,51,치과,건강의료>병원>병원의원>치과>치과-일반,3.74,,,,0.331294,0.112257,0.376508,,-4,0.0,0.0,,0.0177,-0.004449,0.006344
26,13266710,태인치과의원,1,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.10876,0.376244,,-6,0.0,0.0,,0.0177,-0.015598,0.005502
27,13266797,김낙은치과의원,2,37,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.10779,0.376171,,-1,0.0,0.0,,0.0177,0.004364,0.007009
28,13266684,유종만치과의원,1,20,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.107558,0.376153,,3,0.0,0.0,,0.0177,0.014025,0.007738
29,1506964626,중앙치과의원,0,59,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.105922,0.37603,,-4,0.0,0.0,,0.0177,0.001348,0.006781
30,13266774,유영관치과의원,1,35,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.100918,0.375652,,-1,0.0,0.0,,0.0177,0.002439,0.006863
31,1264986110,청치과의원,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구강악안면외과 소아치과 치과보존과 치과보철과 치주과,,0.33134,0.098103,0.375457,,1,0.0,0.0,,0.0177,0.011817,0.007571
32,20149991,박치과의원,0,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.091189,0.374918,,-4,0.0,0.0,,0.0177,-0.009727,0.005946
33,13266668,안치과의원,1,14,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.075215,0.373712,,0,0.0,0.0,,0.0177,-0.000296,0.006657
34,13266669,보원치과의원,0,36,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.063557,0.372832,,0,0.0,0.0,,0.0177,-0.003954,0.006381
35,20251740,하이치과의원,3,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.20132,0.19455,,0,0.0,1.0,,0.0177,0.009646,0.007407
