place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1932554844,디올레치과의원,519,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제주임플란트 제주치아교정 제주턱관절질환 제주심미보철 제주치과,,0.33134,0.423585,0.400022,,0,-,-,,-,-,-
2,33211136,루아치과의원,2846,638,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,제주치과 제주임플란트 제주수면마취 제주사랑니 제주교정,,0.33134,0.413577,0.399266,,0,-,-,,-,-,-
3,19513597,서울앤치과의원,1900,99,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,제주시치과 신제주치과 제주임플란트 노형동치과 연동치과,,0.33134,0.412492,0.399184,,0,-,-,,-,-,-
4,1849627013,제주365치과의원,941,23,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제주노형동치과 제주도임플란트 제주공휴일치과 제주주말치과 제주도치주과전문의,,0.33134,0.397664,0.398065,,0,-,-,,-,-,-
5,34565195,노형유디치과의원 제주노형점,819,521,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,임플란트 제주시치과 노형동치과 제주치과 노형치과,,0.33134,0.396801,0.398,,0,-,-,,-,-,-
6,47437486,그랜드치과병원,244,232,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,제주이도일동치과 제주시치과 구제주치과 제주시이도1동치과 제주치과,,0.33134,0.380586,0.396776,,0,-,-,,-,-,-
7,1417669233,서울동그라미치과의원,283,112,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,라미네이트 앞니성형 야간진료 노형동치과 치아미백전문,,0.33134,0.370509,0.396016,,0,-,-,,-,-,-
8,473494079,연세하루치과의원,686,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,제주노형동치과 노형동치과 제주치과 노형동임플란트 제주노형동임플란트,,0.33134,0.341238,0.393807,,0,-,-,,-,-,-
9,1426589108,서울UP치과의원,187,188,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제주치과 신제주치과 연동치과 연동임플란트 제주시치과,,0.33134,0.325435,0.392614,,0,-,-,,-,-,-
10,19519297,이치과의원,159,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,삼화지구치과 제주삼화치과 사랑니 치아교정 임플란트,,0.33134,0.321752,0.392336,,0,-,-,,-,-,-
