place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1894843529,베스트치과의원,3938,1143,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,모란역치과 오스템임플란트 전악임플란트 사랑니당일발치 야간진료,,0.33134,0.481318,0.350039,,1,542.0,5.0,,0.0177,0.027427,0.008749
2,1357684935,웃자치과교정과치과의원,5138,1343,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인비절라인 치아교정치과 성남임플란트 모란역치과 수면사랑니발치,,0.33134,0.471778,0.349319,,-1,278.0,8.0,,0.0177,0.014153,0.007747
3,1071777550,서울바로본치과의원 성남,2326,685,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,턱관절틀니 잇몸스케일링 당일충치치료 무통마취사랑니발치 디지털네비게이션임플란트,,0.331294,0.444811,0.347267,,0,256.0,5.0,,0.0177,0.003202,0.006921
4,1800307004,이숲치과의원,697,439,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금광동치과 단대오거리치과 교정치과 금광동임플란트 단대오거리역치과,,0.33134,0.431148,0.346253,,4,63.0,4.0,,0.0177,0.105579,0.014648
5,1152307618,서울금빛치과의원,1313,647,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,턱관절치료 디지털네비게이션임플란트 성남매복사랑니발치 인비절라인퍼스트투명교정 성남앞니충치치과,,0.33134,0.426362,0.345892,,-1,173.0,14.0,,0.0177,0.011279,0.007531
6,1898822589,연세새로이치과의원,366,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금광동임플란트 금광동교정치과 단대오거리치아교정 금광동치과 단대오거리치과,,0.33134,0.37095,0.34171,,-1,1.0,3.0,,0.0177,-0.009614,0.005954
7,1857721645,나의특별한치과의원,857,773,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,모란치과 모란역치과 모란역임플란트 성남사랑니발치 성남임플란트,,0.33134,0.361431,0.340991,,0,78.0,0.0,,0.0177,0.029453,0.008902
8,37426647,웰치과의원 성남,1098,961,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 매복사랑니당일발치 턱관절통증 충치신경치료 미백치아교정,,0.331294,0.335754,0.339036,,-2,77.0,5.0,,0.0177,-0.001428,0.006572
9,1694762070,더정성치과의원 성남,254,1083,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트염증재수술 무통스케일링 턱관절통증 365일당일사랑니발치 그랑메종주치의치과,,0.33134,0.28683,0.335361,,1,2.0,18.0,,0.0177,0.017643,0.008011
10,31912148,나비치과의원,70,98,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.277393,0.334631,,-1,0.0,0.0,,0.0177,-0.003611,0.006407
11,13375537,성남예치과병원,240,883,치과,건강의료>병원>병원의원>치과>예치과,4.23,,모란치과 성남치과 모란역치과 보철 임플란트,,0.33134,0.260038,0.333339,,0,1.0,5.0,,0.0177,-0.004612,0.006332
12,1845577006,SC탑치과의원,97,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,여수동치과 야탑임플란트 야탑교정치과 성남시청치과 성남턱관절,,0.33134,0.253478,0.332844,,2,0.0,1.0,,0.0177,0.013936,0.007731
13,1075547039,바른플란트치과교정과치과의원,342,668,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,성남교정치과 모란치과 모란역치과 성남치과 모란임플란트,,0.33134,0.253231,0.332825,,-1,1.0,1.0,,0.0177,0.000623,0.006726
14,2037970404,턱사랑하니치과의원 성남,47,98,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남사랑니발치 턱관절통증장애치료 성남턱관절치과 사랑니치과 교통사고치과,,0.33134,0.244312,0.332152,,-1,6.0,16.0,,0.0177,0.000211,0.006695
