place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1295457052,연세에이스치과의원,51,422,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,증평_임플란트 증평_치아교정 증평_소아치과 증평_잇몸치료 증평_충치치료,,0.33134,0.242293,0.392377,,0,-,-,,-,-,-
2,1179669880,더튼튼플란트치과의원,88,145,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 구강외과 턱관절 충치치료,,0.331294,0.230857,0.391497,,0,-,-,,-,-,-
3,1305585068,이탑치과의원,31,158,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,증평치과 임플란트 잇몸치료 스케일링 당일치료,,0.33134,0.223962,0.390993,,0,-,-,,-,-,-
4,13248857,서울치과의원,2,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.195615,0.388837,,0,-,-,,-,-,-
5,33076840,미래플란트치과의원,0,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.186234,0.388129,,0,-,-,,-,-,-
6,13248862,김영기치과의원,1,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.1,,,,0.331294,0.15736,0.38595,,0,-,-,,-,-,-
7,13248895,이편한치과의원,1,103,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.146564,0.385135,,0,-,-,,-,-,-
8,13248888,밝은미소치과의원,0,66,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.140022,0.384641,,0,-,-,,-,-,-
9,13248892,윤치과의원,2,18,치과,건강의료>병원>병원의원>치과>치과-일반,2.42,,,,0.331294,0.131024,0.383962,,0,-,-,,-,-,-
10,1441037764,박치과의원,0,70,치과,건강의료>병원>병원의원>치과>치과-일반,4.04,,,,0.331294,0.127792,0.383718,,0,-,-,,-,-,-
11,17747291,삼성치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.088295,0.380737,,0,-,-,,-,-,-
12,1292735702,중앙치과의원,2,43,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.175728,0.198657,,0,-,-,,-,-,-
13,13247543,한재형치과의원,3,118,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.142855,0.196176,,0,-,-,,-,-,-
14,13248870,사리보건지소,2,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.099745,0.007528,,0,-,-,,-,-,-
15,13248877,청안보건지소,0,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.082343,0.006215,,0,-,-,,-,-,-
