place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35562891,한그루치과의원,1775,944,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,진주치과 진주임플란트 진주임플란트치과 진주사랑니발치 진주수면치과,,0.33134,0.4134,0.421925,,0,80.0,1.0,,0.0177,-0.004755,0.00632
2,1199622446,리더플란트치과의원 진주,1184,279,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주신경치료 야간진료 진주사랑니,,0.33134,0.399712,0.420892,,1,102.0,-1.0,,0.0177,0.007596,0.007253
3,1058718941,365한결치과의원,520,367,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면치과치료 무통마취 자연치아보존 원데이보철 진주혁신치과,,0.33134,0.380808,0.419465,,2,31.0,2.0,,0.0177,0.003409,0.006936
4,1721500172,치아살리기드림365치과의원,980,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,혁신도시 신경치료 심미치료 임플란트 야간,,0.331294,0.37195,0.41878,,-2,203.0,5.0,,0.017654,-0.023748,0.00487
5,1608286180,청심플란트치과의원,2859,560,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주사랑니 진주충치 진주수면임플란트,,0.33134,0.367462,0.418458,,-1,66.0,12.0,,0.0177,-0.011164,0.005837
6,1122758306,가지런이치과 교정과 치과의원,311,132,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,진주교정치과 진주턱관절치료 진주소아청소년교정 진주성인치아교정 진주인비절라인,,0.33134,0.321006,0.414952,,0,2.0,0.0,,0.0177,-0.003141,0.006442
7,1209413498,365우리들치과병원,230,750,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치 진주치과 진주사랑니 진주임플란트,,0.33134,0.310747,0.414178,,0,8.0,26.0,,0.0177,-0.002982,0.006455
8,19985296,진주쥬니어치과의원,17,634,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.307152,0.413889,,2,1.0,0.0,,0.0177,0.029434,0.008901
9,12761797,진주예치과의원,177,211,치과,건강의료>병원>병원의원>치과>예치과,4.27,,임플란트 고급보철 심미보철 충치신경치료 턱관절치과,,0.33134,0.299384,0.41332,Hot,38,105.0,1.0,,0.0177,0.111514,0.015095
10,1573275460,아이봄치과의원,21,198,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,진주_어린이_치과 진주_소아치과 평거동_어린이_치과 평거동_소아치과 진주_아이봄_치과,,0.33134,0.287178,0.412399,,1,0.0,0.0,,0.0177,0.013069,0.007666
11,1770026346,진주제일치과의원,17,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,진주치과 제일치과 진주사랑니발치 진주임플란트,,0.33134,0.286159,0.412322,,-2,0.0,1.0,,0.0177,0.000363,0.006707
12,1014443908,로이스치과의원,77,79,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주중앙동치과 진주턱관절치료 매복사랑니발치,,0.33134,0.281222,0.411949,,-4,0.0,4.0,,0.0177,-0.014441,0.005589
13,1002487245,연세하우치과교정과치과의원,111,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,진주치과 진주치아교정 진주교정치과 진주본성동치과 본성동치과,,0.33134,0.274254,0.411424,,-1,7.0,0.0,,0.0177,0.000539,0.00672
14,11735816,미르치과병원,30,497,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,진주 치과 임플란트 보철치료 턱관절,,0.33134,0.266185,0.410815,,-1,0.0,1.0,,0.0177,-0.002606,0.006483
15,1175330520,혁신치과의원,8,155,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,교정치료 소아치료 임플란트 보철치료 충치치료,,0.331294,0.257314,0.410128,,3,1.0,0.0,,0.0177,0.010694,0.007487
16,13111546,진주어린e치과의원,11,190,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,진주어린이치과 진주소아치과 진주어린이충치 진주소아충치 어린이충치치료,,0.33134,0.248431,0.409475,,5,0.0,1.0,,0.0177,0.008856,0.007348
17,1478566921,심플라인치과의원,594,465,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 진주치과 수면임플란트 일요일진료치과 치아미백,,0.33134,0.247825,0.409429,,5,0.0,0.0,,0.0177,0.010099,0.007442
18,523916749,서울수치과의원,5,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,치과 임플란트 심미보철 소아교정 성인교정,,0.33134,0.245729,0.409271,,-1,0.0,0.0,,0.0177,-0.001091,0.006597
19,303150431,바른마음치과의원 진주,99,1120,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,진주치과 진주임플란트 진주교정치과 진주치아교정 초전동치과,,0.33134,0.24507,0.409221,,-3,0.0,1.0,,0.0177,-0.002274,0.006508
20,1164049280,이바로치과의원,143,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평거동치과 진주임플란트 진주교정치과 진주치아교정 진주구강검진,,0.33134,0.243435,0.409098,,0,2.0,0.0,,0.0177,0.002372,0.006859
21,12915711,바른이치과의원,488,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,진주교정치과 진주교정 진주치과 진주치아교정 진주교정전문,,0.33134,0.24081,0.4089,,-7,0.0,0.0,,0.0177,-0.024064,0.004864
