place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,2079432952,더감동치과의원,300,74,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진천치과 진천임플란트 진천충치치료 진천치과야간진료 진천치과스케일링,,0.33134,0.336335,0.369286,,0,-,-,,-,-,-
2,1201983029,더퍼스트치과의원 진천점,301,721,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,진천치과 충북혁신도시_진천소아치과 진천임플란트 충북혁신도시치과 충북혁신도시치아교정,,0.33134,0.270611,0.364325,,0,-,-,,-,-,-
3,1684710727,한앤손부부치과의원,5,348,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,진천치과 음성치과 충북혁신도시치과 덕산치과 맹동치과,,0.33134,0.25597,0.36322,,0,-,-,,-,-,-
4,1491445238,혁신탑치과의원,692,368,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,충북혁신도시치과 진천치과 임플란트 교정 음성치과,,0.33134,0.253351,0.363023,,0,-,-,,-,-,-
5,1662166907,세상에서제일빛나는치과의원,10,154,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,진천치과 진천임플란트 진천치아교정 충북혁신도시치과 진천군_치과,,0.33134,0.228339,0.361135,,0,-,-,,-,-,-
6,1427111226,서울강남플란트치과의원,113,141,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 무통마취 수면치과치료 매복사랑니발치,,0.33134,0.223142,0.360743,,0,-,-,,-,-,-
7,37699638,맘편한치과의원,1,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 사랑니 스케일링 충치치료,,0.331294,0.212837,0.359948,,0,-,-,,-,-,-
8,38219926,뉴삼성치과의원,283,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,잇몸재건 고난이도뼈이식 전체임플란트 재수술임플란트 음성치과,,0.33134,0.212059,0.359906,,0,-,-,,-,-,-
9,1008196989,온아치과의원,1,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,임플란트 사랑니 스케일링 충치치료 진천치과,,0.33134,0.201145,0.359083,,0,-,-,,-,-,-
10,13248348,서울아산연합치과의원 진천,713,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,네비게이션뼈이식임플란트 충치신경보존치료 매복사랑니당일발치 심미보철잇몸치료 무통마취소아치과,,0.33134,0.189304,0.358189,,0,-,-,,-,-,-
11,1558787759,365선플란트치과의원,147,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진천치과 진천임플란트 광혜원치과 광혜원임플란트 임플란트,,0.33134,0.17527,0.35713,,0,-,-,,-,-,-
12,13248388,김현성치과의원,2,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.175129,0.357102,,0,-,-,,-,-,-
13,1031664503,푸른치과의원,1,71,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,발치즉시임플란트 무통증치료 전문의진료 틀니 스케일링,,0.331294,0.169579,0.356683,,0,-,-,,-,-,-
14,36409825,미앤미치과의원,2,150,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,진천치과 임플란트 보철치료 치아교정 구강검진,,0.33134,0.169218,0.356673,,0,-,-,,-,-,-
15,31699854,혜원치과의원,1,45,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.168301,0.356587,,0,-,-,,-,-,-
16,19792737,성모100플란트치과의원,1,102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.164727,0.356317,,0,-,-,,-,-,-
17,13248331,서울치과의원,3,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.159743,0.355941,,0,-,-,,-,-,-
18,1580888572,우리치과의원,61,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 틀니 신경치료 충치치료 진천읍치과,,0.33134,0.155906,0.355668,,0,-,-,,-,-,-
19,21092242,시카고치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.138407,0.35433,,0,-,-,,-,-,-
20,1787721355,중앙치과의원,29,59,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,진천치과 진천읍치과 진천치주과 진천임플란트 진천틀니,,0.33134,0.133563,0.353982,,0,-,-,,-,-,-
21,21594691,보스톤치과의원,0,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.133774,0.353981,,0,-,-,,-,-,-
22,35620432,진천서울치과,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.127223,0.353486,,0,-,-,,-,-,-
23,33111532,박치과의원,0,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.113808,0.352474,,0,-,-,,-,-,-
24,1583413717,플랜트치과의원,5,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진천치과 진천임플란트 진천읍치과 진천틀니 진천보철,,0.33134,0.104488,0.351788,,0,-,-,,-,-,-
25,35326779,제일치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.059378,0.348366,,0,-,-,,-,-,-
26,1650576218,모두가행복한치과의원,1116,630,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,충북혁신도시치과 네비게이션임플란트 보험임플란트 치아교정 스케일링,,0.33134,0.302652,0.178064,,0,-,-,,-,-,-
27,36627496,더퍼스트치과의원 음성점,374,1024,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,수면임플란트 치아교정 수면마취치과 매복사랑니발치 소아치료,,0.33134,0.289633,0.177082,,0,-,-,,-,-,-
28,1295457052,연세에이스치과의원,51,422,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,증평_임플란트 증평_치아교정 증평_소아치과 증평_잇몸치료 증평_충치치료,,0.33134,0.242293,0.173509,,0,-,-,,-,-,-
29,21575837,서울더바른치과의원,113,190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대소치과 충치치료 임플란트 수면임플란트 라미네이트,,0.33134,0.239623,0.173307,,0,-,-,,-,-,-
30,1179669880,더튼튼플란트치과의원,88,145,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 구강외과 턱관절 충치치료,,0.331294,0.230857,0.172629,,0,-,-,,-,-,-
31,1305585068,이탑치과의원,31,158,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,증평치과 임플란트 잇몸치료 스케일링 당일치료,,0.33134,0.223962,0.172125,,0,-,-,,-,-,-
32,1556684391,삼성플란트치과의원,4,30,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,음성군치과 음성임플란트 음성치아교정 삼성면치과 음성치과,,0.33134,0.222764,0.172035,,0,-,-,,-,-,-
33,169651076,바른연합치과의원,4,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,충북혁신도시_치과 음성치과 진천치과 음성_임플란트 진천_임플란트,,0.33134,0.201801,0.170453,,0,-,-,,-,-,-
34,1059749791,음성자연치과의원,202,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 틀니 임플란트 치주치료 당일식립임플란트,,0.331294,0.201019,0.170377,,0,-,-,,-,-,-
