place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1188756609,월드플란트치과의원 창원,413,63,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 임플란트 상남동치과 사랑니발치 치아미백,,0.33134,0.484894,0.440875,,5,3.0,2.0,,-0.0615,0.031673,0.227992
2,1655359619,365바른치과의원 창원 유니시티점,2009,1898,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 창원치과 창원임플란트 창원중동치과 의창구치과,,0.33134,0.471415,0.439858,,-1,77.0,1.0,,-0.0615,0.00126,0.225847
3,1359533278,365바른치과의원 창원 대방점,1919,839,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 창원임플란트치과 야간진료 주말공휴일진료 창원성산구치과,,0.33134,0.471398,0.439857,,-1,103.0,-2.0,,-0.0615,0.006571,0.226214
4,1782101700,온가주치과의원,1970,716,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,창원치과 야간진료 임플란트 틀니 무삭제라미네이트,,0.33134,0.465031,0.439376,,-1,468.0,7.0,,-0.0615,0.000211,0.225729
5,1984780197,더앞선치과병원 창원,1989,3675,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정치과 투명교정 인비절라인 수면,,0.33134,0.464685,0.43935,,0,345.0,33.0,,-0.061477,0.003809,0.22597
6,1719090943,서울연치과의원,1184,622,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,창원치과 임플란트 교정치과 치아교정 치과,,0.33134,0.455452,0.438653,,1,195.0,0.0,,0.186997,0.002461,0.307764
7,1922488563,화이트이치과의원 창원,2282,640,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,창원치과 창원임플란트 창원치아교정 창원교정치과 창원상남동치과,,0.33134,0.455424,0.438651,,-3,306.0,-2.0,,-0.0615,-0.00909,0.225024
8,11680526,램브란트치과병원 창원,2017,1093,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,창원치과 임플란트 치아미백 사랑니발치 치아교정,,0.33134,0.44395,0.437785,,0,182.0,4.0,,-0.0615,0.003168,0.225724
9,1147333438,스마트365치과의원 창원중동점,2707,890,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,야간진료치과 창원치과 창원임플란트 창원중동치과,,0.33134,0.434813,0.437095,,0,154.0,15.0,,-0.0615,-0.005536,0.22505
10,1055604627,정직한치과의원 창원상남동본점,2800,530,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 상남동치과 임플란트 라미네이트 치아교정,,0.33134,0.418062,0.435831,,2,288.0,3.0,,-0.0615,0.015389,0.226284
11,36212729,서울오치과의원 창원,1479,560,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,감계치과 북면치과 창원치과 창원임플란트 창원교정치과,,0.33134,0.415755,0.435657,,0,79.0,4.0,,-0.0615,0.011158,0.225959
12,21025586,진해라온치과병원,315,412,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,치과 임플란트 진해치과 창원치과 사랑니,,0.33134,0.405697,0.434898,Hot,24,200.0,0.0,,0.186997,0.123108,0.315266
13,1957606740,이루다치과의원 창원,1769,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,창원치과 창원임플란트 창원치아미백 창원충치치료 창원스케일링,,0.33134,0.399489,0.434429,,1,94.0,1.0,,-0.0615,0.007519,0.225587
14,1600627721,스마트365치과의원 마산석전점,863,303,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산치과 주말치과 임플란트 라미네이트 치아교정,,0.33134,0.394072,0.434021,,-1,44.0,2.0,,0.18702,0.001728,0.307131
15,1521805472,가음정윤치과의원,1908,396,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전악임플란트 보험임플란트 상악동거상술 뼈이식임플란트 창원치아미백,,0.331294,0.391897,0.433839,,1,434.0,21.0,,0.186974,0.013978,0.307915
16,328828060,바른치과의원,630,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,임플란트 충치 잇몸치료 사랑니 마산치과,,0.33134,0.382601,0.433155,,-1,-1.0,1.0,,0.18702,0.00155,0.307015
17,1070204943,화이트이치과의원 마산,215,108,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 교정치과 마산역치과 화이트e치과마산,,0.33134,0.381929,0.433104,,0,1.0,0.0,,0.18702,0.007712,0.307409
18,15392255,창원진해미소가득치과의원,199,1316,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진해치과 진해임플란트 진해석동치과 진해치아교정 인비절라인,,0.33134,0.379488,0.43292,,3,24.0,18.0,,-0.061477,0.021175,0.226322
19,1753225994,서울센텀치과의원 창원,979,152,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 성산구치과 상남동치과 임플란트 풀아치임플란트,,0.33134,0.369812,0.43219,,1,103.0,0.0,,-0.0615,0.000167,0.224822
20,901261071,모두치과의원,305,254,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,마산치과 마산임플란트 창원임플란트 댓거리치과 합성동치과,,0.33134,0.367864,0.432043,,-2,1.0,3.0,,0.186997,-0.002876,0.306575
21,1788898893,스마일치과의원 창원마산,343,650,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,마산치과 마산임플란트 양덕동치과 마산회원구치과 양덕동임플란트,,0.33134,0.366818,0.431964,,9,34.0,2.0,,-0.061477,0.070066,0.229404
22,1400151183,치카푸카소아치과의원,39,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과 창원소아치과 창원어린이치과 마산어린이치과,,0.33134,0.350856,0.430759,,0,1.0,3.0,,0.186997,0.004736,0.306909
23,1919393036,365바른치과의원 진해 자은점,254,1598,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진해치과 진해야간치과 진해일요일치과 진해임플란트 진해석동치과,,0.33134,0.340755,0.429997,,1,5.0,18.0,,0.18702,0.009982,0.307195
24,32473162,좋은하루치과의원,1243,528,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,창원치과 창원임플란트 창원어린이치과 창원사랑니 창원교정치과,,0.33134,0.332138,0.429346,,-14,199.0,0.0,,0.186997,-0.080198,0.301136
25,1145797347,탑연합치과교정과치과의원,175,352,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산합포구치과 치아교정 임플란트 치아미백 교정과전문의,,0.33134,0.330056,0.429189,,0,5.0,9.0,,0.18702,9.2e-05,0.306422
26,1313097510,사랑니사랑치과의원,42,582,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니치과 김해사랑니 창원사랑니 창원상남동치과 창원치과,,0.33134,0.327901,0.429027,,-3,0.0,11.0,,0.186997,-0.003584,0.306155
27,1316839142,다미소치과의원,465,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산치과 합성동치과 마산야간치과 마산임플란트 마산사랑니,,0.33134,0.327409,0.428989,,-1,52.0,4.0,,0.18702,5.2e-05,0.306385
28,12070542,키즈라이크치과의원,25,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원어린이치과 창원소아치과 영유아구강검진,,0.33134,0.325309,0.428831,Hot,21,0.0,0.0,,0.186997,0.070924,0.311046
29,37365933,아이사랑치과의원,71,330,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,어린이치과 소아치과 키즈치과 창원어린이치과 마산어린이치과,,0.33134,0.319804,0.428415,,-2,1.0,1.0,,0.186997,-0.000429,0.306286
30,33959881,휴먼시아치과의원,298,281,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 잇몸치료 치과 틀니 심미보철,,0.33134,0.318802,0.42834,,4,26.0,1.0,,0.18702,0.025879,0.308013
31,11726712,이가지런한치과의원,663,158,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,창원치과 창원치아교정 창원교정치과 창원교정 창원급속교정,,0.33134,0.307893,0.427517,,2,1.0,0.0,,0.186997,0.014144,0.307134
32,13418369,라온치과병원,27,684,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,마산치과 마산임플란트 마산치과병원 창원마산치과 라온치과,,0.33134,0.307356,0.427476,,-4,0.0,0.0,,0.186997,0.001036,0.306253
33,1272256603,다온구강악안면외과치과의원,14,522,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,창원치과 의창구임플란트 봉곡동턱관절 창원야간진료치과 창원사랑니,,0.33134,0.305154,0.42731,,-4,0.0,5.0,,0.186997,-0.000968,0.306105
34,11859320,온치과병원 창원진해,103,1092,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 진해치과 임플란트 틀니 치아교정,,0.33134,0.302707,0.427125,,-3,0.0,34.0,,-0.0615,0.005965,0.224581
35,1870402426,카이스트용치과의원,145,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,유니시티치과 어반브릭스치과 창원중동치과 창원의창구치과 창원보존과전문의,,0.33134,0.300626,0.426968,,-3,1.0,2.0,,0.186997,0.00498,0.306449
36,365046270,이고치과의원,125,211,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가음정치과 교정치과 성산구치과 소아치과 사랑니,,0.33134,0.295843,0.426607,,4,0.0,0.0,,-0.061477,0.022354,0.225594
37,35664459,미소365치과의원,11,355,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,창원치과 마산치과 마산중리치과 마산삼계치과 마산임플란트,,0.33134,0.29432,0.426492,,0,1.0,0.0,,0.186997,0.014282,0.306997
38,1336693614,다함치과의원,39,691,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,충치치료 앞니라미네이트 유니시티어반브릭스치과 네비게이션임플란트재수술 잇몸질환,,0.33134,0.291113,0.42625,,0,3.0,14.0,,0.18702,0.012492,0.306862
39,38502834,연세모먼트치과병원,13,613,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 치아교정 잇몸치료 심미보철 사랑니발치,,0.331294,0.286859,0.425912,,0,0.0,1.0,,0.186997,0.012397,0.306831
40,21560356,진해어린이치과의원,72,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,진해어린이치과 어린이치과 소아치과전문의 소아치과,,0.33134,0.283313,0.425661,Hot,10,1.0,0.0,,0.18702,0.029259,0.30792
41,19971907,미소아이치과의원,28,337,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,소아치과 영유아구강검진 어린이치과 예방교정 성인교정,,0.33134,0.280528,0.425451,,0,0.0,0.0,,0.18702,0.009567,0.306568
42,13260725,연치과의원,687,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,진해치과 임플란트 진해어린이치과 충치잇몸치료 매복사랑니발치,,0.33134,0.276408,0.42514,,-7,0.0,1.0,,0.18702,-0.009228,0.305314
43,12854144,현대치과의원,15,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.275863,0.425082,,0,0.0,1.0,,0.186997,0.00785,0.306405
44,569751289,닥터오치과의원,63,441,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 구강악안면외과 가음동치과 가음정시장치과 잇몸치료,,0.33134,0.272904,0.424876,,2,0.0,4.0,,0.18702,0.013755,0.306789
45,1392601123,리본구강내과치과의원,21,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상남동구강내과 성산구구강내과 창원구강내과 창원턱관절 창원이갈이,,0.331294,0.270031,0.424642,,-3,0.0,2.0,,0.186974,0.001499,0.305931
46,1456473014,하얀마음치과의원,7,247,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산임플란트 댓거리치과 해운동치과 월영동치과 마산치과,,0.33134,0.264148,0.424215,Hot,14,0.0,2.0,,0.18702,0.018616,0.307019
47,37166829,닥터함치과의원,69,406,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 치아교정 세렉원데이치료 심미보철치료 치주보존치료,,0.331294,0.264356,0.424213,,-3,0.0,0.0,,0.186997,-0.000191,0.305749
48,13259659,황경룡치과,22,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.263663,0.424161,,-3,0.0,0.0,,0.186997,0.003685,0.306011
49,11535180,고운치과병원,144,861,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,창원임플란트 창원치과 고운치과 캐드캠 창원교정,,0.33134,0.262532,0.424093,,2,0.0,2.0,,0.186997,0.01259,0.3066
50,13259688,홍호철치과의원,4,227,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.26139,0.42399,,-31,0.0,1.0,,0.186997,-0.109103,0.298547
