place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,20367709,용인치과의원,2143,585,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,용인미니쉬치과 매복사랑니발치 임플란트염증재수술 앞니무삭제라미네이트 충치신경잇몸치료,,0.33134,0.470923,0.385481,,2,166.0,6.0,,0.0177,0.047324,0.010251
2,1432309247,편한미소치과의원,2102,764,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,처인구치과 용인임플란트 김량장동사랑니 보철과전문의 치아교정,,0.33134,0.450699,0.383955,,2,333.0,5.0,,0.0177,0.028082,0.008799
3,1418944304,인플란트치과의원,1412,133,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 용인임플란트 용인사랑니 용인충치치료 턱관절질환,,0.33134,0.433452,0.382653,,-2,94.0,2.0,,0.0177,-0.004762,0.00632
4,1241216570,연세강남그랜드치과의원,434,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,처인구치과 역북동치과 용인임플란트 용인교정치과 처인구교정치과,,0.33134,0.433115,0.382628,,5,40.0,-1.0,,0.0177,0.079216,0.012658
5,1825966018,화이트이치과의원 용인,2835,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 치과 용인임플란트 처인구치과 임플란트,,0.33134,0.43117,0.382481,,-3,383.0,0.0,,0.0177,0.004636,0.007029
6,1737201378,용인스마트치과의원,1797,1162,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,용인임플란트 용인치아교정 용인사랑니 수면임플란트 용인치과,,0.33134,0.420346,0.381664,,1,154.0,18.0,,0.0177,0.022149,0.008351
7,1512280565,서울하늘플란트치과의원,3295,52,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포곡치과 포곡임플란트 처인구치과 서울하늘플란트치과 용인둔전치과,,0.33134,0.418026,0.381489,,-1,390.0,9.0,,0.0177,0.009296,0.007381
8,1410819144,THE웃는치과의원,1614,393,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,처인구치과 역북동치과 용인치과 용인임플란트 역북치과,,0.33134,0.417801,0.381472,,-3,187.0,0.0,,0.0177,0.00657,0.007175
9,1917265497,서울감동치과의원,361,437,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포곡임플란트 포곡사랑니 둔전임플란트 잇몸치료 신경치료,,0.331294,0.391631,0.379479,,5,175.0,35.0,,0.0177,0.122986,0.015961
10,1181181602,에버플란트치과의원,1154,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,처인구치과 처인구임플란트 김량장동매복사랑니발치 틀니보철심미치료,,0.33134,0.379624,0.378591,,-2,288.0,0.0,,0.0177,0.013751,0.007718
11,1000570235,용인선플란트치과의원,853,375,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인선플란트치과 용인시장라미네이트 용인사거리크라운치료 용인터미널충치검진 김량장동수면임플란트,,0.33134,0.343147,0.375838,,1,48.0,20.0,,0.0177,0.017539,0.008004
12,1681390413,고릴라치과의원,310,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 사랑니 용인치과 역북동치과,,0.33134,0.341233,0.375693,,-2,4.0,5.0,,0.0177,-0.007752,0.006094
13,2098103809,용인터미널퍼스트치과의원,668,231,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 용인임플란트 용인라미네이트 용인터미널치과 처인구치과,,0.33134,0.33925,0.375543,,-2,103.0,57.0,,0.0177,0.008304,0.007306
14,1492890787,용인쥬니어치과의원,236,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,어린이치과 소아치과 소아교정 투명교정 교정전문치과,,0.33134,0.279108,0.371004,,-1,3.0,23.0,,0.0177,-0.002233,0.00651
15,1822612505,서울뿌리치과의원 용인,158,640,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,명지대치과 처인구임플란트 역북충치치료 고난이도임플란트 토요일진료,,0.33134,0.269396,0.370271,,0,-1.0,0.0,,0.0177,0.003217,0.006922
16,13051226,용인서울치과의원,804,340,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,용인치과 처인구치과 처인구임플란트 처인구틀니 처인구교정,,0.33134,0.265333,0.369965,,2,7.0,0.0,,0.0177,0.022613,0.008386
17,1698984790,용인탑치과의원,735,258,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,수면임플란트 용인임플란트 처인구임플란트 용인치과 처인구치과,,0.33134,0.252797,0.369019,,0,3.0,0.0,,0.0177,0.0013,0.006778
18,1539692669,한숲치과의원,5,210,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,한숲시티치과 한숲시티임플란트 한숲시티턱관절 한숲시티보철 남사읍치과,,0.33134,0.251378,0.368912,,-2,0.0,0.0,,0.0177,-0.002333,0.006504
19,1068096835,연세세브란스치과의원,25,330,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,처인구치과 처인구교정 처인구임플란트 처인구사랑니발치 역북동치과,,0.33134,0.244429,0.368387,,0,0.0,2.0,,0.0177,0.002032,0.006833
20,1624233439,포커스치과의원,463,647,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역북동치과 역북치과 처인구치과 소아치과 임플란트,,0.33134,0.243168,0.368292,,0,2.0,4.0,,0.0177,0.004784,0.00704
