place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,629854399,서울베스트치과의원,3546,895,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 치아교정 임플란트 충치 사랑니,,0.33134,0.474328,0.466102,,0,275.0,-1.0,,0.0177,-0.007394,0.006121
2,1433406943,우리가족치과의원,2198,1665,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,천안치과 불당동치과 신불당치과 천안임플란트 천안야간진료,,0.33134,0.471032,0.465854,,2,86.0,29.0,,0.0177,0.007004,0.007208
3,1038258961,맘애든어린이치과의원,1945,423,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,천안어린이치과 천안소아치과 영유아구강검진 천안키즈치과 천안인비절라인,,0.33134,0.464185,0.465337,,2,189.0,14.0,,0.0177,0.002254,0.00685
4,1793265745,샤인이치과의원 천안,2353,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니당일발치 충치신경보존치료 무통마취치과 임플란트염증재수술 천안치과,,0.33134,0.459087,0.464952,,-2,97.0,2.0,,0.0177,-0.012139,0.005763
5,1445804238,스마트플란트치과의원,4028,1299,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 신부동치과 신부동임플란트 임플란트,,0.33134,0.453477,0.464529,,-2,385.0,13.0,,0.0177,-0.010737,0.005869
6,1541238930,불당본점 서울비디치과의원,2365,5856,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,임플란트 교정치과 인비절라인 수면임플란트 충치치료,,0.33134,0.451198,0.464357,,0,113.0,48.0,,0.0177,0.018391,0.008068
7,1627320775,서울니어치과의원 천안,4119,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,천안치과 네비게이션디지털임플란트치료 3D상악동뼈이식임플란트 라미네이트심미보철치료 충치잇몸신경치아교정,,0.33134,0.44627,0.463985,,0,270.0,0.0,,0.0177,0.015267,0.007832
8,1201636169,바른탑치과의원,1622,510,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 두정동치과 임플란트 치아교정 사랑니발치,,0.33134,0.430828,0.462819,,0,171.0,0.0,,0.0177,0.011254,0.007528
9,21428851,열린치과병원,1145,1339,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,천안치과 불당동치과 천안임플란트 신불당치과 천안불당동치과,,0.33134,0.418546,0.461892,,0,-5.0,4.0,,0.0177,0.00326,0.006925
10,1793845693,천안365치과의원,957,866,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 천안사랑니 천안야간진료,,0.33134,0.395691,0.460168,,0,91.0,34.0,,0.0177,0.001772,0.006814
11,19747952,365아홉가지약속치과의원,834,1603,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 투명교정 수면임플란트 라미네이트 천안치과,,0.33134,0.392419,0.459921,,0,36.0,7.0,,0.0177,0.001796,0.006815
12,21667183,단국대학교치과대학병원,151,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,단국대학교치과병원 단국대치대병원 단국대치과병원 천안치과병원,,0.33134,0.386841,0.4595,,0,1.0,2.0,,0.0177,0.005246,0.007076
13,20749063,천안영플란트치과의원,679,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,신부동치과 부분틀니 사랑니발치 천안치과 임플란트,,0.33134,0.362408,0.457656,,9,157.0,0.0,,0.0177,0.061828,0.011346
14,116078163,청당 앤 미소치과의원,573,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,청당동치과 천안치과 청당동사랑니 청당동스켈링 천안임플란트,,0.33134,0.35681,0.457233,,-1,36.0,1.0,,0.0177,0.001153,0.006766
15,1053846986,행복플란트치과의원,1300,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,불당동치과 아산치과 임플란트 매복사랑니발치 치아교정치과,,0.33134,0.350149,0.45673,,-1,22.0,1.0,,0.0177,0.008677,0.007334
16,1277527528,진플란트치과의원,300,165,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 청당동치과 임플란트 주말진료 공휴일진료,,0.33134,0.341635,0.456088,,-1,7.0,0.0,,0.0177,0.004489,0.007018
17,822219438,아홉가지약속백석치과의원,112,975,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치아교정 임플란트 심미보철 치아미백 충치치료,,0.331294,0.337445,0.455754,,0,0.0,2.0,,0.0177,0.001656,0.006804
18,1654514637,한림홍치과의원,852,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신부동임플란트 충치치료 사랑니발치 스케일링 잇몸치료,,0.331294,0.337016,0.455722,,2,63.0,1.0,,0.0177,0.023034,0.008418
19,1666932397,새늘치과의원,474,115,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구성동치과 원성동치과 동남구치과 천안치과 청당동치과,,0.33134,0.333226,0.455453,,-3,8.0,2.0,,0.0177,-0.002888,0.006461
20,1313541065,천안더맑은치과의원,1738,450,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 뼈이식임플란트 치아미백 심미치료 보철치료,,0.331294,0.322551,0.45463,,-2,47.0,6.0,,0.0177,-0.006069,0.006221
21,11844416,참조은치과병원,56,1605,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,천안치과 신불당치과 천안임플란트 천안치아교정 천안소아치과,,0.33134,0.320293,0.454477,,0,0.0,166.0,,0.0177,0.012894,0.007652
22,1661042743,딩동댕꾸러기치과의원,38,206,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안어린이치과 천안소아치과 영유아구강검진 천안소아교정 투명교정,,0.33134,0.309743,0.453681,,4,1.0,0.0,,0.0177,0.023633,0.008463
23,12772165,문치과병원,50,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 교정치과 천안치과 충치치료 턱관절,,0.33134,0.29698,0.452718,,2,0.0,3.0,,0.0177,0.009177,0.007372
24,1654408519,서울다시봄치과의원,326,252,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,천안치과 천안임플란트 불당동치과 천안장애인치과 천안수면치과,,0.33134,0.294618,0.452539,,-5,6.0,0.0,,0.0177,-0.019375,0.005217
25,672785300,더보스톤치과병원 천안 불당,1015,2671,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,불당동치과 불당동임플란트 천안임플란트 천안교정치과 수면임플란트,,0.33134,0.294371,0.452521,,-1,2.0,16.0,,0.0177,0.004457,0.007016
26,1679937052,삼아이치과의원,19,365,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,성성동치과 두정동치과 보존과전문의 신경치료 임플란트,,0.33134,0.287163,0.451977,,3,0.0,0.0,,0.0177,0.012674,0.007636
27,34664446,다나웰치과의원,133,615,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치과 소아치과 보철치료 임플란트 치과전문의진료,,0.33134,0.284032,0.45174,,-4,2.0,-3.0,,0.0177,-0.014889,0.005555
28,1420156402,두정서울비디치과의원,85,1500,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,임플란트 신경치료 치아복원 전체임플란트 디지털임플란트,,0.331294,0.28371,0.451699,,-1,0.0,18.0,,0.0177,0.005157,0.007069
29,37355614,불당치과교정과치과의원,22,469,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,천안교정치과 불당동치과 천안치아교정 치과 교정,,0.33134,0.276869,0.4512,,-1,0.0,3.0,,0.0177,0.00077,0.006738
30,1019322804,서울두정치과의원,179,530,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,두정역치과 두정동치과 천안임플란트 두정동임플란트 천안치과,,0.33134,0.275623,0.451106,,2,0.0,9.0,,0.0177,0.010237,0.007452
31,36398399,서울수석치과교정과치과의원,1569,829,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,교정치과 치아교정 교정전문의 인비절라인 투명교정,,0.33134,0.273553,0.45095,,-1,5.0,14.0,,0.0177,0.007361,0.007235
32,1989967841,송하유승훈소아치과의원,7,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,천안소아치과 두정동소아치과 영유아구강검진 성성동어린이치과 단국대소아치과,,0.33134,0.271322,0.450781,,8,0.0,1.0,,0.0177,0.021172,0.008277
33,1811608068,열린치과의원,363,1283,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 천안사랑니 열린치과 쌍용동치과,,0.33134,0.271137,0.450767,,-2,3.0,11.0,,0.0177,0.005286,0.007078
34,20095182,키즈웰치과의원,8,339,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,소아치과 영유아구강검진 어린이치과 어린이교정치과 유아치과,,0.33134,0.269823,0.450668,Hot,14,0.0,0.0,,0.0177,0.026829,0.008704
35,1490399944,두정자연치과의원,111,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,천안임플란트 천안치과 천안충치치료 두정동치과 임플란트,,0.33134,0.269377,0.450634,Hot,12,0.0,0.0,,0.0177,0.02343,0.008447
