place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1198170782,디지털플란트치과의원,3283,1063,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 청주임플란트 청주365치과 청주수면임플란트 청주일요일치과,,0.33134,0.462431,0.452902,,3,292.0,46.0,,0.0177,0.018011,0.010831
2,1192020876,서울탑플란트치과의원 청주,2010,805,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 청주임플란트 수면임플란트 수면치과 사랑니발치,,0.33134,0.461883,0.45286,,1,418.0,8.0,,0.0177,0.016995,0.010753
3,37885555,연세수치과의원,2018,1005,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치아교정 청주수면임플란트 청주율량치과 청주사랑니 청주충치치료,,0.33134,0.451383,0.452068,,3,160.0,12.0,,0.0177,0.011251,0.01032
4,1460272105,청주웰치과의원,2729,1476,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,청주치과 청주임플란트치과 청주주말치과 수면임플란트 국가보훈병원,,0.33134,0.449928,0.451958,,3,218.0,2.0,,0.0177,0.011029,0.010303
5,1587443323,유안치과의원,1952,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,청주치과 임플란트 사랑니 턱관절 청주임플란트,,0.33134,0.448056,0.451817,,-4,62.0,1.0,,0.0177,-0.046682,0.005948
6,35993204,서울좋은치과병원 청주,3861,1423,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치과 청주임플란트 치아교정 수면임플란트 수면치과,,0.33134,0.436173,0.45092,,-1,451.0,13.0,,0.0177,-0.006883,0.008951
7,1591230154,365이강치과의원 청주,2594,258,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 상당구치과 임플란트 사랑니발치 365이강치과,,0.33134,0.424378,0.45003,,-5,126.0,3.0,,0.0177,-0.027114,0.007425
8,1736715289,청주퍼스트 치과의원,448,1013,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주수면임플란트 청주치아교정 청주임플란트 청주치과 청주인비절라인,,0.33134,0.422126,0.44986,,3,155.0,19.0,,0.0177,0.016005,0.010679
9,34760019,새롬탑치과의원,876,215,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,사랑니치과 청주치과 임플란트 치아교정 사랑니발치,,0.33134,0.421288,0.449797,,7,187.0,0.0,,0.0177,0.057135,0.013783
10,11387884,에이라인치과병원,3136,1950,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,청주치과 청주교정치과 청주임플란트치과 청주충치치료 청주라미네이트,,0.33134,0.404691,0.448544,,-1,195.0,14.0,,0.0177,-0.010922,0.008647
11,1370069115,바위치과의원 청주본점,789,1021,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 서원구치과 야간진료치과 임플란트 치아교정,,0.33134,0.404049,0.448496,,1,9.0,21.0,,0.0177,0.007261,0.010019
12,1981487593,가인치과의원,415,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 동남지구치과 임플란트 야간진료 주말진료,,0.33134,0.396763,0.447946,,1,6.0,0.0,,0.0177,0.012274,0.010398
13,13248163,서울튼튼치과의원,1117,1922,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 사랑니발치 수면임플란트 충치치료 잇몸치료,,0.331294,0.38876,0.447325,,5,293.0,6.0,,0.0177,0.045435,0.012901
14,13277876,유디치과의원 청주점,1232,419,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 스케일링 청주치과 청주복대동치과,,0.33134,0.387303,0.447232,,-6,255.0,-1.0,,0.0177,-0.033318,0.006957
15,1237511117,생생치과의원,1237,443,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,청주사랑니발치 청주신경치료치과 청주수면임플란트치과 청주턱관절 청주치아미백,,0.33134,0.382846,0.446895,,0,8.0,2.0,,0.0177,0.01039,0.010255
16,807391631,일등플란트치과의원 청주,1129,400,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 청주수면임플란트 청주수면사랑니 상당구치과 청주임플란트틀니,,0.33134,0.377936,0.446525,,-2,249.0,-7.0,,0.0177,-0.002746,0.009264
17,35133730,2디자인치과의원,1275,173,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,청주교정치과 복대동임플란트 지웰시티치과 청주심미보철 충치치료,,0.33134,0.376779,0.446438,,-7,144.0,0.0,,0.0177,-0.030223,0.007191
18,1975413838,이해유치과의원,342,203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주임플란트 매복사랑니발치 잇몸충치신경치료 구강외과전문의 수면임플란트,,0.331294,0.349815,0.444385,,-1,0.0,7.0,,0.017654,0.003536,0.00972
19,1873152723,하임꾸러기치과의원,51,304,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,청주어린이치과 동남지구어린이치과 청주소아치과 용암동어린이치과 청주하임꾸러기,,0.33134,0.334229,0.443226,,0,0.0,4.0,,0.0177,0.00208,0.009628
20,13248170,하얀미소치과의원,332,1104,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,청주치과 청주치아교정 청주임플란트치과 청주어린이치과 청주치아미백,,0.33134,0.334046,0.443212,,4,0.0,0.0,,0.0177,0.01656,0.01072
21,1802285110,파밀리에 치과의원,368,653,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용암동치과 동남지구치과 용암동임플란트 동남지구임플란트 상당구치과,,0.33134,0.332149,0.443069,,0,3.0,0.0,,0.0177,0.005281,0.009869
