place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1408051582,더봄치과의원,1791,1101,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,오스템네비게이션 원데이임플란트 사랑니발치 턱관절장애 충치치료,,0.331294,0.473599,0.427198,,0,106.0,5.0,,0.0177,0.011285,0.007598
2,1979789220,청춘플란트치과의원 춘천,716,162,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,춘천치과 임플란트 온의동치과 남춘천역치과 충치치료,,0.33134,0.43094,0.423996,,0,3.0,0.0,,0.0177,0.001485,0.006859
3,1571715063,연세하이브치과의원 춘천,954,504,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,춘천치과 스케일링 충치치료 임플란트 사랑니발치,,0.33134,0.411147,0.422502,,1,103.0,5.0,,0.0177,0.017112,0.008038
4,1438840829,온유치과의원,1172,386,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,사랑니 레진빌드업 오버레이 미백 턱관절질환,,0.331294,0.405133,0.422031,,1,42.0,3.0,,0.0177,0.014233,0.007821
5,1120661486,메디플란트치과의원 춘천점,1084,204,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,후평동치과 후평동임플란트 후평동틀니 춘천치과 춘천임플란트,,0.33134,0.383394,0.420407,,-2,47.0,2.0,,0.0177,-0.022395,0.005056
6,12076811,연세바른치과의원,140,412,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,춘천임플란트 석사동치과 임플란트 임플란트보험 보험틀니,,0.33134,0.361228,0.418735,,1,2.0,0.0,,0.0177,0.018469,0.008141
7,38299374,서울부부치과의원 춘천,1445,980,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,조양동임플란트전문 명동사랑니발치 조운동치아미백 춘천역치아미백 춘천임플란트치과병원,,0.33134,0.332254,0.416548,,-1,9.0,1.0,,0.0177,-0.020426,0.005205
8,1671201687,춘천예치과의원,93,3490,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,춘천예치과 임플란트 교정 치주 사랑니,,0.33134,0.331365,0.416481,,0,0.0,22.0,,0.0177,0.001608,0.006868
9,1729757155,봄봄소아치과의원,12,290,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,춘천 한숲 소아치과 어린이치과 전문의,,0.33134,0.296944,0.413883,,0,0.0,2.0,,0.0177,0.00468,0.0071
10,37933244,원필준치과교정과치과의원,19,393,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,춘천교정치과 춘천치아교정 춘천교정 춘천소아교정 춘천인비절라인,,0.33134,0.286886,0.413124,,0,0.0,2.0,,0.0177,-0.004237,0.006427
11,1877794801,춘천어린이치과의원,9,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.275643,0.412258,,3,0.0,0.0,,0.0177,0.014346,0.007829
12,32165942,바른이치과교정과치과의원,576,139,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,춘천치아교정 춘천치과 홍천치과 어린이교정 교정치과,,0.33134,0.272218,0.412017,,-1,1.0,0.0,,0.0177,0.000808,0.006808
13,20669408,구구플란트치과의원,504,290,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,춘천치과 춘천임플란트 춘천소아치과 춘천턱관절 춘천사랑니,,0.33134,0.268678,0.41175,,-1,53.0,7.0,,0.0177,0.0015,0.00686
14,13241569,미치과의원,18,624,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.266945,0.411602,,-1,0.0,0.0,,0.0177,0.003971,0.007047
15,1934602093,365시에스치과의원,24,141,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 사랑니발치 턱관절 심미보철,,0.33134,0.249307,0.410288,,3,0.0,0.0,,0.0177,0.008468,0.007386
16,36920141,서울효치과의원,275,1797,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,치과 치주과전문의 임플란트 수면임플란트 교정,,0.33134,0.245703,0.410016,,-1,1.0,2.0,,0.0177,-0.011948,0.005845
17,1458477115,탑 치과의원,26,398,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,춘천치과 춘천임플란트 퇴계동치과 석사동치과 거두리치과,,0.33134,0.244549,0.409929,,-1,0.0,2.0,,0.0177,-0.011407,0.005886
18,591726022,연세아이나라치과의원,7,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,치과 소아치과 춘천치과 춘천명동치과 조양동치과,,0.33134,0.244148,0.409898,,9,0.0,0.0,,0.0177,0.028264,0.00888
19,35884152,늘좋은치과의원,790,106,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,춘천치과 춘천임플란트 효자동치과 효자동임플란트 임플란트,,0.33134,0.243209,0.409827,,-2,3.0,0.0,,0.0177,-0.00633,0.006269
20,13241480,로덴치과의원,26,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 충치치료 심미치료 보존치료 보철치료,,0.331294,0.236492,0.409303,Hot,14,0.0,0.0,,0.0177,0.033312,0.009261
21,13428097,유디중앙로치과의원,35,282,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 충치치료 치아미백 춘천치과 춘천임플란트,,0.33134,0.235784,0.409267,,-2,0.0,0.0,,0.0177,-0.003072,0.006515
22,1743999251,서울아이브치과의원,57,127,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,우두동치과 우두동임플란트 춘천임플란트 춘천서울아이브 서울아이브치과,,0.33134,0.235304,0.409231,,-1,-1.0,3.0,,0.0177,0.001622,0.006869
23,1267215546,내이플란트치과의원,170,1083,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,춘천치과 석사동치과 춘천임플란트 내이플란트치과 춘천내이플란트치과,,0.33134,0.233655,0.409106,,-1,0.0,10.0,,0.0177,0.002782,0.006956
24,1591949441,한숲스마트치과의원,13,424,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,춘천치과 춘천임플란트 춘천신경치료 강원도치과 퇴계동치과,,0.33134,0.226484,0.408565,,-1,0.0,3.0,,0.0177,-0.004296,0.006422
25,1582768767,시원치과의원,18,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,일요일_치과 야간진료 임플란트 신경치료 재신경치료,,0.33134,0.22634,0.408554,,-1,0.0,0.0,,0.0177,-0.000469,0.006711
26,1527231636,김경수치과의원 춘천,151,389,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 레진 스켈링 디지털,,0.331294,0.222099,0.408217,,-6,0.0,1.0,,0.0177,-0.012339,0.005815
27,491858220,바른서울효치과교정과치과의원,57,152,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,춘천교정치과 춘천치아교정 춘천교정 춘천소아교정 춘천돌출입교정,,0.33134,0.218291,0.407947,,8,4.0,0.0,,0.0177,0.015351,0.007905
28,33019819,본수치과의원,285,416,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 원데이인레이 디지털치과 아스트라임플란트,,0.33134,0.217534,0.40789,,0,0.0,0.0,,0.0177,0.002139,0.006908
29,12899249,이튼치과의원,8,737,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,,,0.331294,0.215587,0.407726,,0,0.0,0.0,,0.0177,0.004391,0.007079
30,32731706,우리부부치과의원,2,276,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.21155,0.407421,,-4,0.0,0.0,,0.0177,-0.008638,0.006095
31,30942436,다나치과의원,5,174,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.207758,0.407135,,2,0.0,0.0,,0.0177,0.003244,0.006992
32,1288434636,장학우리치과의원,1,215,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,춘천치과 춘천임플란트 춘천틀니,,0.33134,0.202144,0.406728,,4,0.0,0.0,,0.0177,0.002064,0.006902
33,12014475,참좋은치과의원,4,88,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.201944,0.406696,Hot,25,0.0,0.0,,0.0177,0.03568,0.00944
34,20150177,연세새로이치과의원,5,134,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.199654,0.406523,,-9,0.0,1.0,,0.0177,-0.023805,0.00495
35,20567450,하이치과의원,2,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,임플란트 치과 스켈링 크라운 인레이,,0.33134,0.198728,0.40647,,3,0.0,1.0,,0.0177,0.00276,0.006955
36,32731724,서울미래치과의원,2,296,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.196271,0.406268,,-6,0.0,0.0,,0.0177,-0.01381,0.005705
37,13241534,심상현치과의원,4,134,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.19619,0.406262,,5,0.0,0.0,,0.0177,0.003057,0.006978
38,1421026539,홍종대치과의원,40,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,춘천치과 춘천임플란트 춘천턱관절 춘천주걱턱교정 춘천치아교정,,0.33134,0.194036,0.406116,,-6,0.0,0.0,,0.0177,-0.011358,0.005889
39,12045672,한빛치과의원,2,200,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,,,0.331294,0.190082,0.405801,,9,0.0,0.0,,0.0177,0.009192,0.007441
40,1313255632,한림치과의원,2,139,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.187932,0.405638,,1,0.0,0.0,,0.0177,-0.00582,0.006307
41,13241512,연세이튼치과의원,4,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.185253,0.405436,,-10,0.0,0.0,,0.0177,-0.021477,0.005126
42,33920536,연세하루치과의원,5,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 심미보철치료 틀니치료 보험치과치료 사랑니발치,,0.33134,0.184363,0.405386,,-2,0.0,0.0,,0.0177,-0.010579,0.005948
43,140366933,봄치과의원,2,213,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,춘천치과 후평동치과 안아픈치과 신경치료 임플란트,,0.33134,0.182557,0.40525,,-4,0.0,0.0,,0.0177,-0.013172,0.005753
44,31222543,올리브치과의원,2,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.181351,0.405142,Hot,17,0.0,0.0,,0.0177,0.02717,0.008798
45,1722790645,온치과의원,0,19,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일진료 토요일진료,,0.331294,0.181066,0.40512,,1,0.0,2.0,,0.0177,-0.002096,0.006588
46,1769175915,서울케이스웨스턴치과교정과치과의원,1,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,치과교정과 춘천교정치과,,0.33134,0.17977,0.40504,,-3,0.0,0.0,,0.0177,-0.009581,0.006024
47,36213556,NY드림치과의원,4,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,춘천교정치과 춘천치아교정 춘천소아교정 춘천주걱턱교정치과 춘천인비절라인,,0.33134,0.177832,0.404893,,4,0.0,1.0,,0.0177,0.001874,0.006888
48,32891682,화이트치과의원,28,67,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 춘천치과 보철 스케일링 충치치료,,0.33134,0.177733,0.404886,,6,0.0,0.0,,0.0177,0.008467,0.007386
49,32594353,하나큐치과의원,0,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,보훈지정위탁병원 보험틀니 보험임플란트 치과보철과전문의,,0.33134,0.177552,0.404872,,-5,0.0,0.0,,0.0177,-0.007335,0.006193
50,13241605,메리트치과의원,5,505,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.17668,0.404789,,2,0.0,0.0,,0.0177,0.000967,0.00682
