place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1515345043,새로나치과의원 충주,481,121,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 잇몸치료 충주치과 문화동치과,,0.33134,0.413955,0.481523,,0,25.0,-2.0,,0.0177,0.005766,0.005318
2,2069093537,연세세브란스 치과의원,412,50,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충주치과 충주시연수동충치치료 연수동스케일링 충주임플란트 충치신경치료,,0.33134,0.38397,0.47926,,0,20.0,4.0,,0.0177,0.017403,0.006196
3,32839976,다솜연합치과의원,225,916,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,소아치과 사랑니 치아교정치과 인비절라인 임플란트틀니,,0.33134,0.342726,0.476147,,1,6.0,1.0,,0.0177,0.036745,0.007655
4,1700218480,인플란트치과의원,361,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충주치과 충주연수동치과 임플란트 사랑니발치 충주임플란트치과,,0.33134,0.332629,0.475385,,-1,44.0,1.0,,0.0177,0.011623,0.005759
5,1903878443,충주서울연세치과의원,587,899,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충주치과 충주치아교정 충주임플란트 충주틀니 충주교정치과,,0.33134,0.294723,0.472524,,0,2.0,1.0,,0.0177,8.6e-05,0.004888
6,815024662,베스트치과의원,7,353,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.29053,0.472191,,0,0.0,2.0,,0.0177,0.005526,0.0053
7,1431539423,충주열린치과의원,405,560,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충주열린치과 충주임플란트치과 원데이보철 충주교정치과 앞니부분치아교정,,0.33134,0.280452,0.471447,,0,4.0,2.0,,0.0177,0.008331,0.005511
8,11716664,이즈치과의원,3,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,충주치과 치과 충주교정치과 충주임플란트 충주소아치과,,0.33134,0.258843,0.469816,,1,0.0,0.0,,0.0177,0.00056,0.004924
9,36515412,서울더블유치과병원,644,792,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,충주치과 충주치과병원 충주임플란트 충주치아교정 충주턱관절,,0.33134,0.256112,0.46961,,-1,0.0,0.0,,0.0177,-0.004645,0.004531
10,35644523,유디치과의원 충주점,47,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,충주치과 충주임플란트 충주충치치료 충주스케일링 구강외과,,0.33134,0.252656,0.46935,,0,0.0,1.0,,0.0177,0.012449,0.005822
