place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1976136985,미소치과의원,5,359,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,임플란트 보철 예방 치주 보존,,0.331294,0.226057,0.385097,,0,-,-,,-,-,-
2,12875625,경희치과병원,8,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 충치치료 임플란트 교정 잇몸염증,,0.33134,0.202987,0.383373,,0,-,-,,-,-,-
3,1439727821,서울바른치과의원,4,65,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 태안치과 임플란트 신경치료 크라운,,0.33134,0.202636,0.383346,,0,-,-,,-,-,-
4,13090180,이재준치과의원,26,133,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,태안치과 태안임플란트 태안충치치료 서산치과 임플란트치과,,0.33134,0.190939,0.382463,,0,-,-,,-,-,-
5,13114644,안면본치과의원,4,21,치과,건강의료>병원>병원의원>치과>치과-일반,3.88,,,,0.331294,0.175274,0.381264,,0,-,-,,-,-,-
6,13244528,태안치과의원,2,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.341289,0.119844,0.380852,,0,-,-,,-,-,-
7,1553519018,소나무치과의원,4,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,태안치과,,0.33134,0.156174,0.37984,,0,-,-,,-,-,-
8,13244494,안치과의원,4,11,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,태안임플란트 10분임플란트 태안치과,,0.33134,0.139164,0.378556,,0,-,-,,-,-,-
9,13244478,최치과의원,2,17,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.13722,0.378392,,0,-,-,,-,-,-
10,13244469,이치과의원,0,19,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.13556,0.378267,,0,-,-,,-,-,-
11,37239963,뉴욕치과의원,0,36,치과,건강의료>병원>병원의원>치과>치과-일반,3.9,,,,0.331294,0.12936,0.377799,,0,-,-,,-,-,-
12,13244513,서울치과의원,2,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.106461,0.37607,,0,-,-,,-,-,-
13,13244519,하얀치과의원,2,36,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.095525,0.375245,,0,-,-,,-,-,-
14,13244468,조정우치과의원,2,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.084348,0.374402,,0,-,-,,-,-,-
15,1641815808,오행진플란트치과,0,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,,,0.331294,0.082081,0.37423,,0,-,-,,-,-,-
16,20191920,한성치과의원,0,1,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.02287,0.369762,,0,-,-,,-,-,-
17,11668063,태안군보건의료원,118,636,보건소,건강의료>병원>보건소>보건소-일반,4.42,,,,0.0,0.343806,0.214627,,0,-,-,,-,-,-
18,1296643020,바른손치과의원,74,406,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,서산치과 태안치과 서산임플란트 태안임플란트치과 수면진료,,0.33134,0.293738,0.201543,,0,-,-,,-,-,-
19,1610380380,오스카55플란트치과의원,42,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,서산치과 서산임플란트 서산충치치료 당진사랑니스케일링 태안치아미백,,0.33134,0.227695,0.196558,,0,-,-,,-,-,-
20,13445855,하나치과의원,1,110,치과,건강의료>병원>병원의원>치과>치과-일반,3.83,,,,0.331294,0.178269,0.192811,,0,-,-,,-,-,-
21,13244401,프라이덴치과의원,2,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.158118,0.19129,,0,-,-,,-,-,-
22,13244351,서울치과의원,1,59,치과,건강의료>병원>병원의원>치과>치과-일반,3.99,,,,0.331294,0.152107,0.190836,,0,-,-,,-,-,-
23,1803937903,부부치과의원,1,54,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.148655,0.190576,,0,-,-,,-,-,-
