place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21560091,닥터유바른치과의원,2521,214,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주운정치과 미세현미경치료 가람마을충치신경치료 뼈이식디지털임플란트 사랑니발치심미보철,,0.33134,0.499142,0.423837,,4,262.0,0.0,,0.0177,0.076772,0.012473
2,1921203919,운정퍼스트치과의원,1851,267,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 스케일링 충치치료 사랑니발치,,0.331294,0.450491,0.420148,,0,29.0,3.0,,0.0177,0.015695,0.007864
3,13237508,The이해승치과의원,1183,1097,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,문산치과 임플란트 사랑니발치 수면임플란트 파주치과,,0.33134,0.437443,0.419181,,3,203.0,18.0,,0.0177,0.016404,0.007918
4,1874204482,디지털쌤치과의원,919,677,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 파주임플란트 파주치아교정 파주주말치과 금촌치과,,0.33134,0.433081,0.418851,,0,121.0,4.0,,0.0177,0.008774,0.007341
5,1713620584,서울오케이치과의원 파주운정,2727,323,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,운정치과 수면임플란트 치과 치아보험 임플란트,,0.33134,0.428593,0.418513,,-4,110.0,0.0,,0.0177,-0.009268,0.00598
6,1167449567,운정세브란스치과의원,831,665,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 운정동치과 운정치과 파주임플란트 파주턱관절치과,,0.33134,0.428433,0.418501,,-3,126.0,1.0,,0.0177,-0.003136,0.006443
7,1593034929,서울선(SUN)치과병원,1570,3528,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,운정치과 파주치과 임플란트 치아교정 어린이치과,,0.33134,0.420324,0.417889,,0,48.0,19.0,,0.0177,0.004616,0.007028
8,1711568818,운정탑치과의원,2289,352,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 라미네이트 운정치과 해오름마을치과,,0.33134,0.404815,0.416718,,0,124.0,0.0,,0.0177,-0.007542,0.00611
9,31885898,행복치과의원,1318,542,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,운정치과 파주임플란트 운정임플란트 운정라미네이트 운정심미치료,,0.33134,0.400402,0.416385,,0,72.0,1.0,,0.0177,0.002686,0.006882
10,1861177585,아이빅치과의원,428,106,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 파주야간치과 교하치과 의식하진정법 임플란트,,0.33134,0.389862,0.41559,,1,53.0,6.0,,0.0177,0.001572,0.006798
11,35438354,바른이치과교정과치과의원,1151,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,동패동교정치과 운정어린이교정치과 파주교정치과 성장기소아교정 교정치과,,0.33134,0.385654,0.415272,Hot,10,294.0,1.0,,0.0177,0.070555,0.012004
12,1149712231,바른정치과의원,1525,249,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 운정치과 파주임플란트 운정사랑니 운정스케일링,,0.33134,0.384999,0.415223,,1,62.0,1.0,,0.0177,0.019867,0.008179
13,1347405685,감동플란트치과의원,1607,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금촌임플란트 금릉역치과 금촌충치치료 금촌치과 파주치과,,0.33134,0.382112,0.415005,,-3,44.0,1.0,,0.0177,-0.008261,0.006056
14,93611467,서울이고운치과의원,1262,966,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 교정치과 산내마을치과 공휴일치과,,0.33134,0.374894,0.41446,,-2,66.0,13.0,,0.0177,-0.009829,0.005938
15,1245587891,메디플란트치과의원,1565,117,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금촌역치과 금릉역치과 파주치과 파주임플란트 턱관절치료,,0.33134,0.362969,0.41356,,-1,3.0,0.0,,0.0177,0.000355,0.006706
16,1897697110,연세약속구강악안면외과치과교정과치과의원,175,1490,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,운정치과 운정교정치과 파주임플란트 파주교정치과 운정치아교정,,0.33134,0.354197,0.412898,,-1,0.0,8.0,,0.0177,0.006228,0.007149
17,32514605,서울주니어스치과의원,92,1348,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,운정소아치과 파주소아치과 어린이치과 야당소아치과 일산소아치과,,0.33134,0.349357,0.412533,,2,1.0,11.0,,0.0177,0.018461,0.008073
18,1010507885,라페치과의원 교하점,318,70,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 교하치과 수면임플란트 파주임플란트 치과,,0.33134,0.34449,0.412165,,-1,62.0,0.0,,0.0177,0.004504,0.007019
19,20951743,뿌리사랑치과의원 운정점,256,767,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 운정치과 야당치과 운정임플란트 운정교정,,0.33134,0.337438,0.411633,,-3,0.0,1.0,,0.0177,-0.007595,0.006106
20,1714809330,파주스마트치과의원,727,216,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,파주치과 파주임플란트 파주틀니 금촌치과 금촌임플란트,,0.33134,0.334502,0.411412,,0,17.0,0.0,,0.0177,0.018125,0.008048
21,1637158540,서울플란트치과의원 파주,733,54,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 파주임플란트 금촌임플란트 금촌충치치료 금촌치과,,0.33134,0.334462,0.411409,,-3,-15.0,0.0,,0.0177,-0.001981,0.00653
22,1642326341,퍼스트인치과의원 파주운정,306,453,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,운정치과 파주치과 파주임플란트 운정역치과 운정역임플란트,,0.33134,0.282966,0.407522,,1,1.0,6.0,,0.0177,0.008767,0.007341
23,1971153561,뷰티앤디지털치과병원,376,11034,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,쁘띠성형 치아교정치과 보톡스 오스템임플란트가격 성형외과,,0.33134,0.280382,0.407327,,-1,1.0,39.0,,0.0177,0.003277,0.006927
24,1899141574,우리아이소아치과의원,67,360,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,운정소아치과 야당소아치과 야당역소아치과 야당어린이치과 파주소아치과,,0.33134,0.2724,0.406725,,0,0.0,1.0,,0.0177,0.010082,0.007441
25,338514992,연세이바름치과의원,794,438,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,치아교정 교정치과 교하교정 파주교정 운정교정,,0.33134,0.263794,0.406075,,2,6.0,2.0,,0.0177,0.011124,0.007519
26,2056538360,연세똑바로치과의원,88,24,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주운정치과 운정치과 파주치과 파주운정임플란트 운정교정치과,,0.33134,0.263287,0.406037,Hot,107,86.0,20.0,,0.0177,0.161651,0.01888
27,1320059665,서울주플란트치과의원,208,272,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,금촌치과 금촌역치과 사랑니 임플란트 금릉치과,,0.33134,0.262883,0.406006,,3,5.0,0.0,,0.0177,0.017284,0.007984
28,1737413431,미소채움치과의원,1545,604,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,운정치과 운정임플란트 운정교정 산내마을치과 가람마을치과,,0.33134,0.260651,0.405838,,-2,0.0,3.0,,0.0177,0.00707,0.007213
