place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1223257482,밸런스치과병원,3545,1669,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,판교치과 분당치과 판교치아교정 분당임플란트 성남치과,,0.33134,0.463483,0.403033,,0,89.0,5.0,,0.0177,-0.000523,0.00664
2,1869489818,서울린치과교정과의원,630,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,돌출입 부분교정 분당치아교정 분당교정치과 인비절라인치과,,0.33134,0.343804,0.394,,0,189.0,9.0,,0.0177,-0.026619,0.00467
3,1563160337,판교서울치과교정과치과의원,501,63,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치아교정 판교교정치과 판교치과 판교인비절라인 분당인비절라인,,0.33134,0.318623,0.3921,,1,50.0,1.0,,0.0177,0.026074,0.008648
4,1039688700,판교최용훈치과의원,19,84,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아재식술 치근단수술 최소삭제세라믹 신경치료최소화 치아살리기,,0.331294,0.312844,0.391646,,-1,0.0,2.0,,0.0177,-0.00312,0.006444
5,1089760742,바른소아치과치과의원,9,202,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교어린이치과 판교소아치과 분당소아치과 분당어린이치과 성남소아치과,,0.33134,0.30108,0.390776,,1,0.0,0.0,,0.0177,0.012486,0.007622
6,1726132301,연세청춘치과의원,4291,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,임플란트 사랑니발치 보철치료 심미치료 교정치과,,0.33134,0.468562,0.390143,,-1,-10.0,11.0,,0.0177,0.002004,0.006831
7,13522384,판교어린이치과의원,27,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,어린이치과 소아치과 판교어린이치과 웃음가스 영유아구강검진,,0.33134,0.260325,0.3877,,0,0.0,0.0,,0.0177,0.00048,0.006716
8,32628306,서울에펠치과의원,6,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,치과 임플란트 교정 충치치료 라미네이트,,0.33134,0.253155,0.387159,,1,0.0,0.0,,0.0177,-7.1e-05,0.006674
9,13234694,김진걸치과의원,249,354,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,판교치과 판교임플란트 판교치아교정 분당임플란트 잇몸이식,,0.33134,0.245158,0.386555,,-1,0.0,1.0,,0.0177,-0.009688,0.005948
10,1885405554,연세가인치과의원,10,121,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대장동치과 고기동치과 운중동치과 분당치과 병원,,0.33134,0.241027,0.386243,,1,0.0,0.0,,0.0177,-0.004168,0.006364
11,21888746,사람그리고치과의원,105,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,,,0.331294,0.237347,0.385948,,3,0.0,0.0,,0.0177,0.017746,0.008018
12,13571013,판교우리치과의원,3,161,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 교정치료 치아미백 턱관절진료 운중동치과,,0.33134,0.236498,0.385902,,-2,0.0,1.0,,0.0177,-0.011811,0.005788
13,35463572,분당후즈후치과의원,1858,336,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,분당치과 수내역치과 사랑니발치 치아교정치과 임플란트치과,,0.33134,0.392922,0.385343,,-1,1.0,1.0,,0.0177,0.003666,0.006956
14,37160806,서울럭스치과의원,61,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 어린이교정 성인교정 충치치료 신경치료,,0.331294,0.209788,0.383868,,6,0.0,2.0,,0.0177,0.01493,0.007806
15,36665372,건강한웃음치과의원,216,291,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치과 사랑니발치 잇몸치료 임플란트 치아살리기,,0.33134,0.208148,0.383762,,0,0.0,0.0,,0.0177,-0.011114,0.005841
16,1169748908,판교자연치과의원,8,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,고기동치과 대장동치과 운중동치과 판교치과 분당치과,,0.33134,0.206673,0.383651,,-3,0.0,12.0,,0.0177,-0.014175,0.00561
17,1221729494,연세위드치과의원,4680,798,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남치과 성남인비절라인치아교정 성남전체뼈이식임플란트 성남당일매복사랑니발치 분당라미네이트보철치료,,0.33134,0.480592,0.383455,,2,287.0,4.0,,0.0177,0.008846,0.007347
18,1883967355,연세크리스마스치과의원,4,304,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보철과전문의 삼평동치과 판교임플란트 판교보철과전문의 지르코니아크라운,,0.33134,0.202373,0.383326,,-2,0.0,1.0,,0.0177,-0.013747,0.005642
19,20108257,판교탑치과의원,2,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.194078,0.382683,Hot,12,0.0,1.0,,0.0177,0.020337,0.008214
20,38264441,연세타워치과의원,3,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,치주보철전문 사랑니신경치료 무통임플란트 전악임플란트 무통스켈링치주,,0.331294,0.191684,0.382502,,-2,0.0,0.0,,0.0177,-0.017341,0.005371
21,20956008,W7치과의원,16,116,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,임플란트 판교치과 운중동치과 치주과전문의 치아미백,,0.33134,0.190924,0.382462,,0,0.0,0.0,,0.0177,0.006758,0.007189
22,1320120350,가지런e치과교정과치과의원,108,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치과 대장동치과 대장동교정치과 판교교정치과 판교치아교정,,0.33134,0.190875,0.382458,,-5,0.0,-1.0,,0.0177,-0.017981,0.005322
23,13551328,연세미소치과의원,2,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.190928,0.382445,,1,0.0,0.0,,0.0177,0.012913,0.007654
24,33142205,연세CS치과의원,1,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,one_day보철 임플란트 교정 충치치료 세렉,,0.331294,0.188468,0.382259,,-2,0.0,0.0,,0.0177,0.005783,0.007115
25,21070685,서울Y치과의원,58,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치아교정 설측교정 투명교정 돌출입교정 교정치과,,0.33134,0.184145,0.38195,,0,0.0,1.0,,0.0177,0.007744,0.007264
26,1133313710,서울이산치과의원,2,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,원가이드 네비게이션 임플란트 잇몸치료 봇들마을치과,,0.33134,0.181147,0.381724,,6,0.0,0.0,,0.0177,0.008796,0.007343
27,13476806,서울미소안치과의원,2,56,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.179726,0.3816,,2,0.0,0.0,,0.0177,0.004532,0.007022
28,20601079,올바른치과의원,2,152,치과,건강의료>병원>병원의원>치과>치과-일반,3.59,,,,0.331294,0.178932,0.38154,,-5,0.0,0.0,,0.0177,-0.00155,0.006563
29,37293481,연세아이들치과의원,5,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,치과 아이들치과 어린이치과 유아교정 판교치과,,0.33134,0.178067,0.381492,Hot,15,0.0,0.0,,0.0177,0.023733,0.008471
30,19878135,미소웰치과의원,6,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.176712,0.381372,,-4,0.0,0.0,,0.0177,0.000324,0.006704
31,36519574,연세미소엘치과의원,7,90,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,판교동치과 서판교치과 판교임플란트 판교교정 운중동치과,,0.33134,0.173766,0.381167,Hot,10,0.0,0.0,,0.0177,0.012473,0.007621
32,13234611,최낙구치과의원,4,54,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.256664,0.380791,Hot,38,0.0,0.0,,0.0177,0.126463,0.016224
33,19477822,서울원치과의원,2,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.168987,0.380789,,-5,0.0,0.0,,0.0177,-0.006371,0.006198
34,36477495,메디피움치과의원,43,193,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,메디피움의원_치과 치과주치의사업,,0.33134,0.168378,0.38076,,-4,0.0,0.0,,0.0177,-0.006196,0.006211
35,19748209,서울다즐치과교정과치과의원,1,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,전문의진료 운중동치아교정 서판교치아교정 분당치아교정 치아교정전문,,0.331294,0.167898,0.380707,,2,0.0,0.0,,0.0177,0.004272,0.007002
36,1848081930,서울N치과의원,2,61,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,판교치과 삼평동치과 분당치과 성남지역_치과,,0.33134,0.166975,0.380655,,-2,0.0,1.0,,0.0177,-0.000991,0.006605
37,20370440,피오나치과의원,5,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,스케일링 판교치과 구강외과전문의 사랑니발치 판교임플란트,,0.33134,0.165038,0.380508,,6,0.0,0.0,,0.0177,0.008707,0.007336
38,20601804,S플러스치과의원,1,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.164832,0.380476,,-3,0.0,0.0,,0.0177,-0.002634,0.006481
39,36188761,해솔치과의원,1,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.163746,0.380394,,-3,0.0,0.0,,0.0177,-0.000609,0.006634
40,19526875,훼미리치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.163282,0.380359,,0,0.0,0.0,,0.0177,0.001307,0.006779
41,2044900295,이턱편한치과의원,503,169,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,분당서현역치과 분당턱관절치과 분당서현역임플란트틀니치과 분당서현역잇몸치료뼈이식치과 분당서현역무통마취크라운인레이,,0.33134,0.403395,0.380348,,-3,7.0,18.0,,0.0177,0.000408,0.00671
42,1739706905,미루나무치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.158743,0.380016,,5,0.0,0.0,,0.0177,0.008838,0.007346
43,30819696,서울라임치과의원,2,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,판교치과 판교임플란트 판교테크노벨리치과 판교턱관절 치과,,0.33134,0.1585,0.380015,,-16,0.0,0.0,,0.0177,-0.017387,0.005367
44,19867086,사는기쁨치과의원,1,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,,,0.331294,0.157619,0.379931,,-5,0.0,0.0,,0.0177,-0.00452,0.006338
45,31202805,연세SD치과의원,16,248,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.15552,0.379773,,0,0.0,2.0,,0.0177,0.002583,0.006875
46,714837846,서울하이치과의원,18,214,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 사랑니발치 턱관절 미백치료 야간진료,,0.331294,0.155441,0.379767,,-4,0.0,2.0,,0.0177,-0.005007,0.006302
47,13390329,판교올치과의원,4,107,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.155052,0.379737,,-14,0.0,0.0,,0.0177,-0.017377,0.005368
48,34721388,서울연치과의원,1,26,치과,건강의료>병원>병원의원>치과>치과-일반,3.83,,,,0.331294,0.144996,0.378978,,3,0.0,0.0,,0.0177,0.008186,0.007297
49,19534825,프리미엄치과의원,1,26,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,소아교정성장교정비발치성인교정 교정전문의투명교정장치유지장치 분당서울대협력병원서울성모외래 의학박사임프란트전공심미보철 서울대치대CT레이저지르코니아,,0.331294,0.144245,0.378922,,4,0.0,0.0,,0.0177,0.013344,0.007687
