place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1101904443,웃는얼굴치과의원 수원점,6056,607,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트 인계동치과 치아교정치과 사랑니발치,,0.33134,0.500982,0.36058,,1,314.0,7.0,,0.0177,0.022991,0.008415
2,37296563,화이트드림치과의원 수원,6008,873,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트틀니 매복사랑니발치 인계동턱관절 수원치아교정치과 인비절라인,,0.33134,0.483029,0.359225,,-1,277.0,4.0,,0.0177,-0.0073,0.006129
3,1068217231,연세안심치과의원,1151,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원임플란트 잇몸치료 구강악안면외과 인계동치과 임플란트재수술,,0.33134,0.479408,0.358952,,8,211.0,18.0,,0.0177,0.089327,0.013421
4,21435600,인플란트치과의원,4147,578,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,수원임플란트 수원치과 인계동임플란트 인계동치과 권선동치과,,0.33134,0.47701,0.358771,,-1,568.0,-2.0,,0.0177,0.002832,0.006894
5,36960750,퍼스티지치과의원,5130,1058,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,수원치과 임플란트 치아교정 사랑니발치 전체임플란트,,0.33134,0.465039,0.357867,,-1,117.0,-2.0,,0.0177,-0.003991,0.006378
6,1430030267,플란치과의원 경기 수원점,2636,1360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수원치과 수원임플란트 광교임플란트 광교치과,,0.33134,0.46254,0.357679,,-1,349.0,9.0,,0.0177,0.001289,0.006777
7,1962215037,더에스플란트치과의원,4475,958,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸치료 완전매복사랑니발치 턱관절장애통증장치치료 수원수면무통마취치과 인계동임플란트치과,,0.33134,0.454335,0.357059,,-1,188.0,-3.0,,0.0177,-0.001004,0.006603
8,1597327014,오늘이행복한치과의원 수원,1780,1144,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털임플란트 야간진료 일요일치과 치과 수원교정전문의,,0.33134,0.451343,0.356833,,0,-117.0,10.0,,0.0177,0.006207,0.007147
9,1317780530,치과다운 치과의원 수원,3820,2219,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 사랑니발치 팔달구수면임플란트 매교동미니쉬 매교역임플란트,,0.33134,0.437714,0.355805,,-2,88.0,38.0,,0.0177,-0.015084,0.005541
10,1998797629,서울더리본치과의원 수원,4362,690,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,수원치과 팔달구치과 인계동치과 수원임플란트 수원사랑니발치,,0.33134,0.422459,0.354654,,0,166.0,0.0,,0.0177,0.004235,0.006999
11,32628305,서울나란이치과교정과치과의원,1972,379,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,치과교정전문의 인비절라인치아교정 성장기어린이교정 비발치교정 수원인계동교정전문치과,,0.33134,0.414737,0.354071,,-2,-2.0,2.0,,0.0177,-0.00923,0.005983
12,1748009226,바른마음 치과의원,401,162,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화서동치과 수원임플란트 수원보철치료 수원턱관절치료 화서역치과,,0.33134,0.371665,0.35082,,0,33.0,1.0,,0.0177,0.000291,0.006701
13,1260428224,퍼스트 사랑니 치과의원,94,1220,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 매복사랑니 누운사랑니 사랑니발치 사랑니전문,,0.331294,0.370232,0.350695,,0,2.0,5.0,,0.0177,-0.000632,0.006632
14,35263604,화이트바른이치과교정과치과의원,1416,1043,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정전문치과 치아교정치과 수원교정치과 수원치아교정,,0.33134,0.315613,0.34659,,2,9.0,4.0,,0.0177,0.002928,0.006901
15,1021161994,치과다운 치과교정과 치과의원 수원,225,899,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부분교정 투명교정 교정치과 전문의진료 턱관절치과,,0.33134,0.304833,0.345776,,0,0.0,1.0,,0.0177,-0.017262,0.005376
16,11864673,참고운미소치과교정과치과의원 수원본원,1051,436,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인비절라인 투명교정 주걱턱 부정교합 교정치과,,0.33134,0.29444,0.344992,,1,5.0,3.0,,0.0177,-0.005101,0.006295
17,11605809,스마일라인치과교정과치과의원,197,727,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,인계동교정치과 수원교정치과 돌출입교정 인비절라인 성장기교정,,0.33134,0.282764,0.344111,,2,1.0,10.0,,0.0177,-0.001882,0.006538
18,36637028,임재범치과교정과치과의원,828,656,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,수원교정전문치과 수원치아교정치과 수원인비절라인 인계동교정치과 수원교정치과,,0.33134,0.281259,0.343997,,-4,3.0,0.0,,0.0177,-0.043547,0.003393
19,1971477191,수원정성치과의원 수원역,366,469,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원역치과 매산동치과 수원역임플란트 수원역사랑니 수원역턱관절,,0.33134,0.278547,0.343792,,2,3.0,2.0,,0.0177,0.008206,0.007298
20,1591819857,서울바른치과교정과치과의원,280,735,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,투명치아교정 인비절라인 수원치과 수원교정치과 서울대교정치과,,0.33134,0.276652,0.343649,,-2,0.0,9.0,,0.0177,-0.009589,0.005955
21,1487002257,키즈웰치과의원,20,293,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,수원어린이치과 웃음가스 충치치료 영유아구강검진 팔달구소아치과,,0.33134,0.262846,0.342607,,6,1.0,0.0,,0.0177,0.027729,0.008772
22,11635011,보건치과의원,323,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보건치과 수원치과 인계동치과 수원임플란트 매탄동치과,,0.33134,0.257389,0.342195,,-2,1.0,0.0,,0.0177,-0.015741,0.005491
23,1123659568,라운드치과병원 수원,285,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원치아미백 사랑니전문치과 턱관절치과 수면무통마취치과,,0.33134,0.255375,0.342043,,1,4.0,12.0,,0.0177,0.010163,0.007446
24,32397687,에이블청아치과의원,134,244,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,가이드임플란트 수면치료 무삭제라미네이트 수원시청역치과 수원치과,,0.33134,0.252032,0.341791,,-1,0.0,0.0,,0.0177,0.006099,0.00714
25,13580307,더좋은서울치과의원,365,363,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원역치과 수원치과 수원임플란트 틀니 치아교정치과,,0.33134,0.247282,0.341433,,0,0.0,0.0,,0.0177,0.003592,0.006951
26,19381748,유디수원치과의원,6,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 스케일링 치아미백 인계동치과 수원시청치과,,0.33134,0.238059,0.340737,,5,0.0,0.0,,0.0177,0.017239,0.007981
27,37902528,고은치과의원,32,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매교동치과 매교동임플란트 수원치과 수원임플란트 매교역치과,,0.33134,0.237903,0.340725,,-5,0.0,0.0,,0.0177,-0.022366,0.004992
28,375165073,연세스토리치과의원,681,459,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,인계동치과 매교동치과 앞니교정 임플란트 팔달구치과,,0.33134,0.232311,0.340303,,-2,0.0,0.0,,0.0177,-0.010508,0.005887
29,1950385306,좋은약속치과의원,631,383,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,아주대삼거리치과 우만동치과 수원프리올소치과 수원턱관절치과 수원이갈이치과,,0.33134,0.225674,0.339802,,3,4.0,1.0,,0.0177,0.005386,0.007086
30,1289348525,스마트한결치과의원,200,159,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화서동임플란트 고등동사랑니발치 수원턱관절치료 화서동치과 화서역치과,,0.33134,0.223824,0.339662,,8,1.0,0.0,,0.0177,0.013358,0.007687
31,1986071964,연세꼼꼼한치과의원,141,586,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.220422,0.339388,,-1,0.0,8.0,,0.0177,-0.000996,0.006604
32,1194676048,공감치과의원,256,349,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,임플란트 충치치료 신경치료 무통치과 심미치과,,0.33134,0.218283,0.339244,,4,6.0,3.0,,0.0177,0.006225,0.007149
33,37830028,서울티플란트치과의원,35,1305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인계동치과 인계동교정치과 수원치과 인계동임플란트치과 수원임플란트치과,,0.33134,0.216827,0.339134,,6,1.0,5.0,,0.0177,0.010017,0.007435
34,12862754,우리미소치과의원,8,54,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,수원치과 임플란트 신경치료 충치치료 스케일링,,0.33134,0.216649,0.339121,,-5,2.0,4.0,,0.0177,-0.005782,0.006243
35,36797046,굿스마일치과의원,1,155,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,치주질환 보존치료 소아치료 임플란트 크라운치료,,0.331294,0.214699,0.338956,Hot,13,0.0,2.0,,0.0177,0.021111,0.008272
36,1851934410,서울온가족치과의원,4,126,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철치료 틀니치료 충치치료 턱관절치료,,0.331294,0.212239,0.338771,,-8,0.0,0.0,,0.0177,-0.015901,0.00548
37,37176036,갤러리아치과의원,16,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.21036,0.338629,,7,0.0,0.0,,0.0177,0.012766,0.007643
38,1884959553,더조은치과의원,73,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,수원치과 임플란트 치조골이식 상악동거상술 매교치과,,0.33134,0.208192,0.338482,,-5,0.0,0.0,,0.0177,-0.01137,0.005821
39,13229119,유디치과의원 수원인계점,3,266,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,임플란트 스케일링 인계동치과 수원인계동치과 구강검진치과,,0.33134,0.207813,0.338454,,8,0.0,0.0,,0.0177,0.013213,0.007677
40,12000183,닥터스마일치과의원 수원,13,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 수원시청역치과 인계동치과,,0.33134,0.207335,0.338418,,-6,0.0,1.0,,0.0177,-0.007477,0.006115
41,13229580,서울도담치과의원,199,518,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,서울도담치과 화서동치과 팔달구치과 천천동치과 율전동치과,,0.33134,0.206486,0.338354,,-4,5.0,12.0,,0.0177,-0.004942,0.006307
42,31222567,아주탑치과의원,66,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,수원야간진료치과 수원야간치과 수원치과 팔달구치과 아주탑치과,,0.33134,0.205733,0.338297,,-2,1.0,0.0,,0.0177,0.000412,0.006711
43,11855262,유치과의원,8,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,수원치과 수원역치과 수원임플란트 수원사랑니발치,,0.33134,0.202834,0.338078,,0,0.0,0.0,,0.0177,0.002612,0.006876
44,13180549,라임치과의원,146,263,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 신경치료 사랑니 앞니치료,,0.331294,0.202166,0.33801,,2,0.0,5.0,,0.0177,0.00706,0.007212
45,11574532,석치과의원,5,330,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,잇몸치료 임플란트 보철 스케일링,,0.331294,0.201792,0.337982,Hot,15,0.0,0.0,,0.0177,0.017843,0.008026
46,13229222,하늘정원치과의원,2,337,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.198374,0.337724,,-11,0.0,1.0,,0.0177,-0.014692,0.00557
47,21707774,갤러리치과의원,3,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.196846,0.337609,Hot,15,0.0,0.0,,0.0177,0.016206,0.007903
48,11783293,좋은이웃치과의원,7,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,임플란트 치아미백 심미치료 구강악안면외과 보철,,0.331294,0.196678,0.337596,,6,0.0,1.0,,0.0177,0.00727,0.007228
49,1101506796,삼성플란트치과의원,16,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,임플란트 신경치료 사랑니 잇몸치료 상악동,,0.331294,0.195005,0.33747,,-8,0.0,0.0,,0.0177,-0.00942,0.005968
