place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1448499409,연세꿈꾸는치과교정과치과의원 평택지제점,1948,5065,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택교정치과전문의 평택임플란트치과 틀니보철심미치료 인비절라인투명교정치과,,0.33134,0.486727,0.476234,,1,192.0,24.0,,0.0177,-0.009875,0.005935
2,1578151615,서울탑플란트치과의원 평택,1679,870,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,송탄치과 평택사랑니 평택임플란트 평택충치치료 평택치과,,0.33134,0.479923,0.47572,Hot,15,246.0,5.0,,0.0177,0.072516,0.012152
3,1587502616,나의인생치과의원,2180,794,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택임플란트 평택고덕치과 평택사랑니발치 송탄임플란트,,0.33134,0.479271,0.475671,,1,190.0,20.0,,0.0177,0.003725,0.006961
4,19533154,아이엠치과의원,4107,424,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,평택치과 평택역치과 평택임플란트 평택역임플란트 평택치아교정,,0.33134,0.477828,0.475562,,-3,300.0,-1.0,,0.0177,-0.01984,0.005182
5,1560740501,위드미치과의원 평택,3479,1027,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,평택치과 평택교정치과전문의 턱관절치료 평택임플란트 평택매복사랑니발치,,0.33134,0.47491,0.475342,,-2,191.0,5.0,,0.0177,-0.004464,0.006343
6,1381791918,서울비전치과의원,2969,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,평택치과 평택역치과 임플란트 용이동치과 평택역임플란트,,0.33134,0.467168,0.474757,,-1,646.0,5.0,,0.0177,0.010394,0.007464
7,1548033572,365래온치과병원,2904,329,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택임플란트 평택고덕치과 평택고덕동임플란트 평택수면임플란트,,0.33134,0.46496,0.474591,,0,162.0,22.0,,0.0177,0.011035,0.007513
8,1414223394,아트리움치과의원 평택,2156,1217,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,평택치과 평택임플란트 평택교정치과 임플란트 비전동치과,,0.33134,0.450755,0.473519,,0,307.0,1.0,,0.0177,0.001967,0.006828
9,1082154739,평택본플란트치과의원,3967,1264,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 평택치과 동삭동치과 매복사랑니발치,,0.33134,0.448527,0.473351,,-3,409.0,20.0,,0.0177,-0.005717,0.006248
10,1915769857,사이좋은치과의원,3650,1386,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,사랑니발치 평택역치과 평택치과 평택사랑니 평택야간치과,,0.33134,0.432701,0.472156,,4,490.0,9.0,,0.0177,0.012678,0.007636
11,37229987,위드유치과교정과의원,1890,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,평택교정치과 평택치아교정 평택인비절라인 평택교정전문 평택교정전문의,,0.33134,0.432406,0.472134,,4,364.0,1.0,,0.0177,0.012969,0.007658
12,1401963896,서울클래식치과의원 평택,2649,469,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 재수술임플란트 사랑니발치 잇몸스케일링 미백치료,,0.33134,0.428675,0.471852,,1,409.0,7.0,,0.0177,0.004799,0.007041
13,1660206865,서울심플치과의원,2542,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,송탄치과 서정리역치과 이충동치과 서정리치과 평택치과,,0.33134,0.427125,0.471735,,-3,200.0,1.0,,0.0177,-0.008405,0.006045
14,1346101362,365이룩치과의원,2231,469,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원데이임플란트 MTA신경치료 치주염잇몸치료 충치사랑니발치 365공휴일치과,,0.33134,0.425424,0.471607,,-2,135.0,5.0,,0.0177,-0.008839,0.006012
15,1596627374,연세고덕에스치과의원 평택,1331,1209,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,평택치과 평택교정치과 평택디지털임플란트 평택치아교정전문의 인비절라인,,0.33134,0.424403,0.47153,,4,367.0,20.0,,0.0177,0.027188,0.008731
16,1945645571,이턱퍼스트치과의원 평택,4623,640,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택수면임플란트 동삭동치과 평택사랑니발치 평택교정치과,,0.33134,0.413436,0.470702,,-5,167.0,16.0,,0.0177,-0.021755,0.005037
17,37451694,모두가 원하는 치과의원,2836,891,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 임플란트 충치치료 사랑니발치 평택비전동치과,,0.33134,0.40663,0.470188,,4,361.0,12.0,,0.0177,0.020009,0.008189
18,1849282963,고덕키즈앤탑치과의원,1581,1516,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인비절라인치아교정 이충동매복사랑니발치 서정리역충치신경치료 송탄임플란트재수술 턱관절스플린트장치치료,,0.331294,0.4067,0.470177,,-2,41.0,16.0,,0.0177,-0.003008,0.006453
19,1323329195,서울디테일치과의원 평택고덕,1037,227,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택수면임플란트치료 고덕신도시매복사랑니발치 평택수면마취치과 틀니보철심미치료,,0.33134,0.405512,0.470104,,4,394.0,8.0,,0.0177,0.02758,0.008761
20,1974181357,퍼스트탑치과의원,599,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안중치과 사랑니발치 포승읍치과 청북읍치과 임플란트,,0.33134,0.403934,0.469985,,0,85.0,1.0,,0.0177,0.014025,0.007738
21,1887714323,더다나을치과의원 평택고덕점,2130,363,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택임플란트 평택치아교정 평택사랑니 평택고덕치과,,0.33134,0.394498,0.469273,,-3,213.0,4.0,,0.0177,-0.007788,0.006092
22,37077071,팀플란트치과의원,1353,535,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 충치보철치료 잇몸스케일링 임플란트재수술 사랑니발치,,0.33134,0.389028,0.46886,,-13,317.0,6.0,,0.0177,-0.048341,0.003031
23,1523894097,고덕애플치과의원,614,21,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택고덕치과 평택치과 평택고덕임플란트 평택치과검진 평택고덕충치치료,,0.33134,0.376657,0.467926,,2,148.0,1.0,,0.0177,0.005941,0.007127
24,1450069004,삼성스마트치과의원 평택고덕,1669,970,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정치과 소아치과 충치치료 사랑니발치,,0.33134,0.370042,0.467427,,-2,32.0,18.0,,0.0177,-0.010604,0.005879
25,36462526,화이트라인치과의원,1149,672,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,평택치과 임플란트 치아교정 충치치료 신경치료,,0.33134,0.368696,0.467326,,-1,139.0,4.0,,0.0177,-0.005317,0.006279
26,1117938672,고덕프라임치과의원,713,426,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택고덕치과 평택치과 평택임플란트 평택충치치료 평택매복사랑니발치,,0.33134,0.361043,0.466748,,0,0.0,3.0,,0.0177,-0.009365,0.005973
27,1816710272,덴하우스구강악안면외과치과의원,358,493,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평택치과 평택턱관절치과 평택당일수술 평택응급치과 평택재수술치과,,0.33134,0.360972,0.466743,,2,42.0,4.0,,0.0177,0.039905,0.009692
28,21809306,느낌이있는필치과의원,1201,389,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트 치아교정 교정치과 사랑니 평택치과,,0.33134,0.35402,0.466218,,-1,5.0,0.0,,0.0177,-4.6e-05,0.006676
29,1008597989,서울오케이치과의원 평택점,364,565,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,평택수면임플란트 동삭동충치보철치료 매복사랑니발치 잇몸스케일링 보톡스치료,,0.331294,0.343102,0.465377,,2,23.0,1.0,,0.0177,0.030561,0.008986
30,1313382890,송담M플란트치과의원 안중,1063,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 신경치료 스케일링 사랑니 잇몸치료,,0.331294,0.341002,0.465218,,0,27.0,6.0,,0.0177,0.023058,0.00842
31,1491059714,더편한치과의원,413,457,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세교동치과 평택임플란트 소사벌치과 동삭동치과 일요일치과,,0.33134,0.33194,0.464552,,-3,1.0,2.0,,0.0177,-0.00779,0.006092
32,1737277256,서울매일치과의원,787,724,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 매복사랑니 충치치료 임플란트 자연치아,,0.33134,0.327851,0.464243,,2,4.0,8.0,,0.0177,0.018957,0.00811
33,1525800932,안중 윤치과의원,618,333,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안중 치과 임플란트 치과공포증 사랑니,,0.33134,0.313004,0.463122,,-1,0.0,0.0,,0.0177,0.001303,0.006777
