place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1335547868,원탑크리스탈치과의원,3074,110,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하남치과 미사턱관절치과 미사임플란트 하남임플란트 하남턱관절치과,,0.33134,0.508358,0.391325,,4,272.0,0.0,,0.0177,0.05721,0.010997
2,1905221620,클린이치과의원 감일본점,2674,734,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,감일치과 하남치과 하남임플란트 감일치아교정 하남수면치료,,0.33134,0.475874,0.388874,,5,212.0,30.0,,0.0177,0.033941,0.009241
3,1506367508,올바로치과의원,1519,983,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미사치과 하남치과 치아교정 의식하진정법 어린이치과,,0.33134,0.467562,0.388246,,-1,41.0,6.0,,0.0177,-0.010304,0.005902
4,1591592775,서울근본치과의원,4759,142,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하남치과 임플란트 사랑니발치 충치보철치료 신장동치과,,0.33134,0.466651,0.388178,,-3,270.0,2.0,,0.0177,-0.033647,0.004141
5,1914915742,리온치과 교정과치과의원 하남미사점,2394,959,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,교정치과 인비절라인투명교정 소아주걱턱교정 어린이돌출입치아교정 덧니비발치재교정,,0.33134,0.455048,0.387302,,1,276.0,-1.0,,0.0177,0.012044,0.007589
6,1965824995,서울더고운치과의원 미사본점,1338,901,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,미사치과 미사역치과 미사임플란트 하남치과 미사앞니교정,,0.33134,0.454804,0.387283,,-2,43.0,0.0,,0.0177,-0.007526,0.006111
7,1735882513,연세굿플란트치과의원 위례점,3036,256,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,임플란트 치아교정 사랑니 북위례치과 위례치과,,0.33134,0.449376,0.386874,,3,199.0,4.0,,0.0177,0.030911,0.009013
8,1985803858,메디포레치과의원 하남미사점,4511,501,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,미사치과 하남치과 상일동치과 강일동치과 신장동치과,,0.33134,0.444595,0.386513,,0,301.0,2.0,,0.0177,0.00279,0.00689
9,1247959981,연세스마트치과의원 감일본점,2125,541,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,감일치과 위례치과 마천동치과 북위례치과 감일동치과,,0.33134,0.439505,0.386129,,-6,166.0,3.0,,0.0177,-0.030072,0.00441
10,1885549165,서울아산OK치과의원 미사하남,2375,954,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미사치과 하남임플란트 하남수면치료치과 미사라미네이트 보험스케일링치과,,0.33134,0.428732,0.385316,,-1,188.0,13.0,,0.0177,0.005629,0.007105
