place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,34473599,해남연합치과의원,1,58,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.207147,0.32933,,0,-,-,,-,-,-
2,13263247,청치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,치과 임플란트 신경치료 턱관절,,0.33134,0.182895,0.327517,,0,-,-,,-,-,-
3,1483752214,명인치과의원,1,31,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,해남 치과 해남치과,,0.33134,0.182742,0.327505,,0,-,-,,-,-,-
4,13263224,김동주부부치과의원,2,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.182227,0.327449,,0,-,-,,-,-,-
5,13263281,두리치과의원,2,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.02,,,,0.331294,0.162472,0.325958,,0,-,-,,-,-,-
6,1038447142,좋은이치과의원,0,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.154991,0.325393,,0,-,-,,-,-,-
7,1237965273,서울플란트치과의원,2,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.154407,0.325349,,0,-,-,,-,-,-
8,1306933120,일층치과의원,0,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.136182,0.323974,,0,-,-,,-,-,-
9,31094331,유치과의원,0,15,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.130932,0.323578,,0,-,-,,-,-,-
10,13263248,오성재치과의원,0,18,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,,,0.331294,0.125993,0.323205,,0,-,-,,-,-,-
11,13263205,이편한치과의원,3,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.096394,0.320971,,0,-,-,,-,-,-
12,1456789650,미치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.091555,0.320606,,0,-,-,,-,-,-
13,13263253,조성한치과의원,2,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.082947,0.319956,,0,-,-,,-,-,-
14,13263272,우리치과의원,2,1,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.073477,0.319241,,0,-,-,,-,-,-
15,13263226,해남치과의원,1,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.070532,0.319019,,0,-,-,,-,-,-
16,13263237,한양치과의원,2,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.040176,0.316728,,0,-,-,,-,-,-
17,13164759,의료법인행촌의료재단 해남종합병원,27,387,종합병원,건강의료>병원>종합병원>종합병원-일반,4.1,,내과 정형외과 신경과,,0.0,0.27991,0.209805,,0,-,-,,-,-,-
18,13263200,해남우리종합병원,20,958,종합병원,건강의료>병원>종합병원>종합병원-일반,4.42,,,,0.0,0.278519,0.2097,,0,-,-,,-,-,-
19,1054478799,삼호준치과의원,1,19,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영암군치과 영암치과 삼호치과 삼호읍치과 삼호준치과,,0.33134,0.214026,0.141187,,0,-,-,,-,-,-
20,13201491,삼호치과의원,33,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,영암치과 영암삼호치과 영암임플란트 영암치과진료 치과,,0.33134,0.178227,0.138485,,0,-,-,,-,-,-
21,20150075,완도치과의원,3,33,치과,건강의료>병원>병원의원>치과>치과-일반,4.03,,,,0.331294,0.174015,0.13815,,0,-,-,,-,-,-
22,31442584,삼호힐링치과의원,2,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,임플란트 디지털임플란트 보철 교정 틀니,,0.331294,0.169663,0.137821,,0,-,-,,-,-,-
23,301131120,삼호명인치과의원,13,60,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,삼호치과 영암치과 임플란트 턱관절 삼호명인치과,,0.33134,0.162834,0.137323,,0,-,-,,-,-,-
24,1392050556,미소치과의원,0,17,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,미소치과 진도치과 진도읍치과,,0.33134,0.160114,0.137118,,0,-,-,,-,-,-
25,19877997,한마음서울치과의원,0,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.155161,0.136727,,0,-,-,,-,-,-
26,13263405,완도이안치과의원,2,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.148861,0.136252,,0,-,-,,-,-,-
27,13263306,부부치과의원,2,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.141013,0.135659,,0,-,-,,-,-,-
28,33016430,신치과,0,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.134747,0.135186,,0,-,-,,-,-,-
29,13263331,수치과의원,2,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.134118,0.135139,,0,-,-,,-,-,-
30,13205792,삼호제일치과의원,2,16,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.107758,0.133149,,0,-,-,,-,-,-
31,13263375,대성치과의원,2,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.106028,0.133019,,0,-,-,,-,-,-
32,13263328,뉴욕치과의원,2,3,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.092102,0.131968,,0,-,-,,-,-,-
33,13263185,윤지현치과의원,2,30,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.077266,0.130848,,0,-,-,,-,-,-
34,17104995,현대치과의원,0,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.073842,0.13059,,0,-,-,,-,-,-
35,13263329,한국치과의원,2,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.064176,0.12986,,0,-,-,,-,-,-
36,1484700887,한국치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.051679,0.128917,,0,-,-,,-,-,-
