place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,932451673,우리바른치과의원 해운대,621,207,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,해운대치과 치아교정 임플란트 장산역치과 부산부분교정,,0.33134,0.416173,0.345123,,0,-,-,,-,-,-
2,1636945897,해운대온담치과의원,598,443,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 전체임플란트 사랑니발치 충치치료,,0.33134,0.415987,0.345109,,0,-,-,,-,-,-
3,37129219,서울하이안치과의원,1512,549,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,좌동치과 해운대치과 해운대임플란트 좌동임플란트 좌동충치치료,,0.33134,0.406548,0.344396,,0,-,-,,-,-,-
4,31098757,센텀타워치과의원,406,444,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,치과 임플란트 해운대치과 센텀치과 해운대임플란트,,0.33134,0.395257,0.343544,,0,-,-,,-,-,-
5,1712510623,센텀뉴욕치과의원,755,1005,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,해운대치과 해운대임플란트 해운대치아교정 부산치과 센텀치과,,0.33134,0.384563,0.342737,,0,-,-,,-,-,-
6,37548173,베리웰치과의원,1640,680,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,사랑니발치 치주잇몸질환치료 네비게이션임플란트재수술 충치신경치료 해운대앞니교정,,0.331294,0.38289,0.342593,,0,-,-,,-,-,-
7,13110613,센텀오딧세이치과의원,831,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,미세현미경 무통마취 공휴일치과 고난이도3D임플란트 센텀치과,,0.33134,0.353306,0.340378,,0,-,-,,-,-,-
8,38327699,서울바른현치과의원,990,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.96,,해운대교정치과 해운대치아교정 부산인비절라인퍼스트 마린시티투명교정 부산인비절라인교정,,0.33134,0.326369,0.338345,,0,-,-,,-,-,-
9,1053750333,연세센텀치과교정과치과의원,207,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,부산교정치과 해운대치아교정 해운대교정치과 인비절라인 부산교정전문의,,0.33134,0.3164,0.337593,,0,-,-,,-,-,-
10,11401873,CDC해운대어린이치과의원,64,315,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,생활치수치료 해운대소아치과 해운대소아교정 해운대어린이치과 어린이치과,,0.33134,0.300383,0.336384,,0,-,-,,-,-,-
11,38636174,서울참어린이치과의원,36,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,어린이치과 소아청소년치과 어린이교정 예방치료 충치치료,,0.33134,0.29082,0.335662,,0,-,-,,-,-,-
12,1747577717,화이트이치과의원 해운대,514,285,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,부산치과 해운대치과 해운대임플란트 좌동치과 해운대치아교정,,0.33134,0.287276,0.335395,,0,-,-,,-,-,-
13,36054449,첫사랑니치과의원,18,1921,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,사랑니 사랑니발치 구강악안면외과전문의 부산사랑니 매복사랑니,,0.331294,0.278684,0.334729,,0,-,-,,-,-,-
14,13479189,튼튼어린이치과의원,0,395,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.268766,0.33398,,0,-,-,,-,-,-
15,13584442,결치과의원,415,123,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,해운대치과 해운대중동역치과 해운대좌동치과 부산전체임플란트 해운대전체임플란트,,0.33134,0.264813,0.333699,,0,-,-,,-,-,-
16,1419242624,센텀어린이치과의원,47,153,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,센텀어린이치과 해운대어린이치과 수영어린이치과 동래어린이치과 센텀소아치과,,0.33134,0.263364,0.33359,,0,-,-,,-,-,-
17,1122098531,사랑모아치과의원,28,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,전체임플란트 임플란트 부산치과 해운대치과 장산역치과,,0.33134,0.262733,0.333542,,0,-,-,,-,-,-
18,19949015,스타화이트치과의원,732,1391,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,부산인비절라인 부산미니쉬 부산퍼스트인비절라인 부산부분교정 부산라미네이트치과,,0.33134,0.260344,0.333362,,0,-,-,,-,-,-
19,33212036,세계로치과병원 해운대센텀점,439,407,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,해운대치과 센텀치과 임플란트 부산풀아치임플란트 부산전체임플란트,,0.33134,0.256747,0.33309,,0,-,-,,-,-,-
20,20135923,자기치아살리기드림플란트치과의원,278,769,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,해운대치과 해운대사랑니 해운대임플란트 중동역치과 사랑니발치,,0.33134,0.252473,0.332768,,0,-,-,,-,-,-
21,1893416968,치아발전소치과의원 장산역,141,301,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,해운대치과 장산역치과 치과 임플란트 사랑니,,0.33134,0.251169,0.332669,,0,-,-,,-,-,-
22,13291489,예바치과교정과의원,383,367,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,해운대교정치과 센텀교정치과 치아교정 교정치과 교정,,0.33134,0.249515,0.332545,,0,-,-,,-,-,-
23,13434469,더블유에스치과병원,859,572,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,임플란트 틀니 충치치료 치주질환 WS치과,,0.33134,0.248612,0.332476,,0,-,-,,-,-,-
24,1814048173,해운대로치과의원,4,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,임플란트 치아교정 야간진료 해운대치과 토요일일요일진료,,0.33134,0.248073,0.332436,,0,-,-,,-,-,-
25,13251302,선재부부치과의원,2,229,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 임플란트 스켈링 잇몸치료 치주질환치료,,0.331294,0.246469,0.332297,,0,-,-,,-,-,-
26,1042798213,노바치과의원,10,219,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 치아미백 보험임플란트 충치치료 무절개임플란트,,0.331294,0.245679,0.332238,,0,-,-,,-,-,-
27,33704912,올라잇치과의원,730,581,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,해운대치과 해운대장산치과 장산역치과 해운대중동치과 해운대임플란트,,0.33134,0.243747,0.332109,,0,-,-,,-,-,-
28,21818208,스마트치과의원,431,723,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,반여동치과 반여동임플란트 해운대임플란트 재송동치과 민생지원금,,0.33134,0.240193,0.331841,,0,-,-,,-,-,-
29,21667114,반여센텀치과의원,2,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,치과 임플란트 틀니 치과보철과 치과보존과,,0.33134,0.239604,0.331797,,0,-,-,,-,-,-
30,13251495,아이들치과의원,35,107,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.238473,0.331694,,0,-,-,,-,-,-
