place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1411615032,동탄센트럴치과병원,4790,565,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,교정치과 임플란트 라미네이트 치아교정 턱관절,,0.33134,0.490465,0.371862,,0,375.0,4.0,,0.0177,-0.00456,0.006336
2,1257711496,동탄하나로치과의원,2214,699,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄치과 동탄임플란트 동탄2치과 라미네이트 동탄역치과,,0.33134,0.47577,0.370753,,0,184.0,6.0,,0.0177,0.008092,0.007291
3,1763766608,이즈치과의원,4473,1383,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄치과 동탄교정치과 동탄임플란트 동탄야간진료치과 동탄스케일링,,0.33134,0.474118,0.370628,,0,102.0,1.0,,0.0177,0.00739,0.007237
4,1418132008,동탄키움치과의원,2249,386,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄사랑니발치 턱관절치과 임플란트 이갈이치료 충치치료,,0.33134,0.456382,0.369289,,5,141.0,7.0,,0.0177,0.023175,0.008428
5,1421291330,서울굿플란트치과의원,3179,319,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 수면치과 수면임플란트 충치치료,,0.33134,0.452743,0.369015,,2,298.0,4.0,,0.0177,0.010009,0.007435
6,1073004496,플란치과의원 경기 동탄점,2945,746,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,임플란트 동탄치과 동탄임플란트 오산치과 향남치과,,0.33134,0.450332,0.368833,,-1,331.0,5.0,,0.0177,0.002839,0.006894
7,36648489,동탄주치과의원,3124,639,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,동탄임플란트 동탄치과 동탄라미네이트 반송동치과 나루마을치과,,0.33134,0.439514,0.368016,,1,-4.0,-4.0,,0.0177,-0.002346,0.006502
8,73412905,향남드림치과의원,2574,973,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,화성치과 화성치아교정 향남지구치과 화성임플란트치과 충치신경치료,,0.33134,0.435183,0.367689,,-4,-68.0,23.0,,0.0177,-0.017041,0.005393
9,1029040739,채움치과의원 동탄,2163,533,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,동탄치과 동탄임플란트 동탄역치과 동탄충치치료 동탄역임플란트,,0.33134,0.429213,0.367239,,3,257.0,0.0,,0.0177,0.027782,0.008776
10,1265709213,서울베스트치과의원 동탄점,2897,960,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,동탄치과 경기화성치과 오산동치과 임플란트 치아교정,,0.33134,0.427225,0.367089,,-4,145.0,3.0,,0.0177,-0.019879,0.005179
11,1643328111,동탄리즈치과의원,1397,607,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,임플란트 동탄치과 화성치과 산척동치과 야간진료,,0.33134,0.42596,0.366993,,5,152.0,11.0,,0.0177,0.035201,0.009336
12,1821344350,바로드림치과의원,1070,128,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,향남충치치료 임플란트 사랑니 무통증마취 치과,,0.33134,0.414225,0.366108,,-2,27.0,1.0,,0.0177,0.006521,0.007172
13,1452838917,365향남플란트치과의원,738,761,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,향남치과 향남임플란트 일요일치과 향남2지구치과 향남1지구치과,,0.33134,0.407736,0.365618,,-2,9.0,55.0,,0.0177,0.006096,0.00714
14,1393557729,디유치과의원,586,1033,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수면임플란트 병점치과 사랑니 동탄치과,,0.33134,0.398348,0.364909,,3,201.0,10.0,,0.0177,0.020458,0.008223
15,1844859152,미소진치과의원,362,237,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,봉담치과 화성임플란트 와우리충치치료 기안동임플란트 와우리임플란트,,0.33134,0.38117,0.363613,,8,2.0,1.0,,0.0177,0.05339,0.010709
16,2020906157,병점맥스치과의원,710,25,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,병점충치치과 병점치아교정치과 매복사랑니발치치과 틀니보철심미치료 네비게이션임플란트,,0.33134,0.373066,0.363001,,-2,51.0,0.0,,0.0177,-0.020608,0.005124
17,1541977542,연세참예쁜치과교정과치과의원 동탄,1735,714,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,동탄치과 동탄치아교정 동탄교정치과 교정치과 치아교정,,0.33134,0.372468,0.362956,,-2,-1.0,2.0,,0.0177,-0.019255,0.005226
18,1128912147,이루다소아치과의원,87,1027,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,동탄어린이치과 동탄소아치과 용인남사소아치과 동탄웃음가스 동탄인비절라인,,0.33134,0.358625,0.361911,,0,0.0,1.0,,0.0177,-0.001342,0.006578
19,1618648492,남양바른탑치과의원,1786,452,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양치과 임플란트 남양읍치과 화성임플란트 치과,,0.33134,0.356861,0.361778,,-6,12.0,2.0,,0.0177,-0.037401,0.003856
20,1372666530,서울포인트치과의원,770,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,서울포인트치과 수면임플란트 동탄임플란트 동탄2치과 동탄역치과,,0.33134,0.338466,0.36039,,2,53.0,0.0,,0.0177,0.008712,0.007337
21,1475455005,우리들의행복한치과의원 남양점,656,733,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,임플란트 치과 치아교정 사랑니발치,,0.33134,0.333748,0.360034,,3,3.0,3.0,,0.0177,0.007591,0.007252
22,1816575712,연세윤손치과의원,464,724,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,동탄임플란트 동탄치과 동탄2치과 교정치과 치아교정,,0.33134,0.332493,0.359939,,3,1.0,4.0,,0.0177,0.010742,0.00749
23,1311755428,더새로운치과의원,1749,721,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,동탄어린이치과 동탄임플란트 동탄사랑니 동탄목동치과 동탄치과,,0.33134,0.329017,0.359677,,-2,116.0,0.0,,0.0177,-0.002073,0.006523
24,1688747400,믿음플란트치과의원 향남점,365,89,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,향남치과 매복사랑니 임플란트 향남1지구 홈플러스,,0.33134,0.326299,0.359472,,5,49.0,2.0,,0.0177,0.020382,0.008218
25,1857238166,연세바로치과교정과치과의원,57,1401,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,동탄교정치과 동탄치아교정 동탄치과 동탄야간진료치과 동탄턱관절,,0.33134,0.321593,0.359117,,1,0.0,5.0,,0.0177,0.00456,0.007024
26,206970342,마이플란트치과의원 동탄,718,400,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,동탄임플란트치과 동탄2신도시치과 동탄턱관절치료 매복사랑니발치 치아교정치과,,0.33134,0.31632,0.358719,,-6,1.0,0.0,,0.0177,-0.022045,0.005016
27,1016419627,동탄아이소망치과소아치과의원,739,777,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,동탄소아치과 동탄어린이치과 동탄소아교정 동탄2어린이치과 동탄2소아치과,,0.33134,0.311625,0.358364,,0,0.0,30.0,,0.0177,0.000661,0.006729
28,1951464069,바른이턱치과의원 동탄점,1013,686,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,동탄치과 동탄인비절라인 임플란트 교정치과 동탄치아교정,,0.33134,0.308851,0.358155,Hot,17,64.0,4.0,,0.0177,0.037437,0.009505
29,1811795941,동탄CL치과의원,66,1003,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,동탄CL치과 동탄목동치과 동탄2임플란트 동탄2치과 동탄치과,,0.33134,0.308172,0.358104,,5,0.0,4.0,,0.0177,0.015569,0.007855
30,11880515,선연합치과의원,90,416,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,봉담치과 봉담교정치과 봉담2지구치과 봉담수면임플란트 봉담치아교정,,0.33134,0.306001,0.35794,,2,1.0,0.0,,0.0177,0.012805,0.007646
31,1302490250,온리원치과의원 화성향남점,276,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,향남2지구치과 향남임플란트 향남1지구치과 화성봉담치과 발안교정치과,,0.33134,0.300885,0.357554,,-3,8.0,1.0,,0.0177,-0.00585,0.006238
32,37168384,연세선이고은치과의원,531,503,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,동탄치과 충치치료 치아교정 임플란트 반송동치과,,0.33134,0.299851,0.357476,,3,2.0,0.0,,0.0177,0.011121,0.007519
33,1909897189,내이튼치과의원,267,358,치과,건강의료>병원>병원의원>치과>치과-일반,4.99,,디지털임플란트 보존과전문의 임플란트전문치과 무통마취 충치신경보존치료,,0.33134,0.294222,0.357051,,-3,0.0,9.0,,0.0177,-0.003441,0.00642
34,1980951784,첫번째치과의원,195,580,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니발치 병점역소아치과 야간진료 임플란트 병점역치과,,0.33134,0.29101,0.356808,,5,1.0,8.0,,0.0177,0.008692,0.007335
35,1342911424,동탄역예나치과교정과치과의원,185,605,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄교정치과 동탄임플란트 인비절라인 동탄신경치료전문 동탄사랑니발치,,0.33134,0.290212,0.356748,,-4,4.0,15.0,,0.0177,-0.003242,0.006435
36,1015662330,서울아이미래치과의원,68,217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄소아치과 동탄목동어린이치과 용인남사키즈치과 동탄2소아교정 동탄수면진정치료,,0.33134,0.290179,0.356746,,6,0.0,0.0,,0.0177,0.01315,0.007672
37,1103439854,상아꾸러기치과의원,20,146,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,봉담어린이치과 봉담소아치과 치아교정 어린이치과 키즈치과,,0.33134,0.289049,0.35666,,-18,1.0,1.0,,0.0177,-0.056637,0.002405
38,31357718,로덴치과의원,17,507,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 충치치료 스케일링 심미치료,,0.331294,0.289199,0.356654,,-2,0.0,-1.0,,0.0177,0.004819,0.007043
39,1254964113,마이퍼스트소아치과치과의원,39,376,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,새솔동치과 새솔동어린이치과 새솔동소아치과 마이퍼스트치과 키즈치과,,0.33134,0.286808,0.356491,,-2,0.0,3.0,,0.0177,0.00411,0.006989
40,1110668851,동탄365바름치과의원,500,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,동탄치과 동탄목동치과 임플란트 주말진료 사랑니발치,,0.33134,0.282859,0.356193,,-7,2.0,5.0,,0.0177,-0.009782,0.005941
41,21560312,벗치과의원,1104,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,동탄치아교정 동탄교정치과 동탄임플란트 동탄치과 동탄스케일링,,0.33134,0.282481,0.356165,,3,0.0,0.0,,0.0177,0.006596,0.007178
