place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,19866548,123플란트치과의원,13,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일이삼플란트치과 임플란트 교정 123플란트 화순틀니,,0.33134,0.26252,0.333526,,0,0.0,0.0,,0.0177,0.011296,0.007532
2,1225421673,한양화이트치과의원,57,214,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,화순치과 화순임플란트 화순충치 화순틀니 화순크라운,,0.33134,0.230919,0.331141,,0,0.0,2.0,,0.0177,0.002637,0.006878
3,13262835,화순치과의원,4,26,치과,건강의료>병원>병원의원>치과>치과-일반,4.03,,화순치과 임플란트 틀니 충치치료 신경치료,,0.341335,0.166092,0.33002,,0,0.0,0.0,,0.017701,-0.00922,0.005983
4,1288242373,화순빠른치과의원,25,23,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화순치과 화순임플란트 화순충치치료 화순치과치료 화순사랑니,,0.33134,0.194403,0.328385,,0,0.0,1.0,,0.0177,-0.00129,0.006582
5,13262851,현대치과의원,3,93,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.18637,0.327762,,0,0.0,0.0,,0.0177,0.011604,0.007556
6,13262843,원치과의원,2,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.174176,0.326841,,4,0.0,0.0,,0.0177,0.033134,0.00918
7,1102372972,더바른치과의원,0,51,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,임플란트 틀니 보철,,0.331294,0.165797,0.326209,,-1,0.0,0.0,,0.0177,-0.00247,0.006493
8,13262824,이금호치과의원,6,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.156979,0.325543,,-1,0.0,0.0,,0.0177,0.003848,0.006969
9,19533462,민치과의원,0,52,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.156688,0.325522,,-1,0.0,0.0,,0.0177,0.009131,0.007369
10,13262837,우리치과의원,2,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.08,,,,0.331294,0.139605,0.324232,,-1,0.0,0.0,,0.0177,-0.006708,0.006173
11,13262810,연합치과의원,2,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.132633,0.323706,,2,0.0,1.0,,0.0177,0.017063,0.007967
