rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,0,2,동탄센트럴치과병원,565,4757,0.33134,0.490465,0.49108,1.312885,3,179,0.000702,-0.006682,-0.00024
2,0,2,동탄하나로치과의원,699,2194,0.33134,0.47577,0.489971,1.297081,5,103,0.000702,0.003378,0.00052
3,0,2,이즈치과의원,1383,4469,0.33134,0.474118,0.489846,1.295304,4,24,0.000702,0.00545,0.000676
4,0,2,동탄키움치과의원,386,2235,0.33134,0.456382,0.488508,1.27623,3,71,0.000702,0.009873,0.00101
5,1,1,서울굿플란트치과의원,319,3148,0.33134,0.452743,0.488233,1.272316,3,156,0.000702,0.008916,0.000937
6,1,3,플란치과의원 경기 동탄점,745,2928,0.33134,0.450332,0.488051,1.269723,4,181,0.000702,0.004127,0.000576
7,0,2,동탄주치과의원,638,3124,0.33134,0.439514,0.487235,1.258089,-,-5,0.000702,-0.001977,0.000116
8,2,1,채움치과의원 동탄,533,2148,0.33134,0.429213,0.486457,1.24701,-,136,0.000702,0.02018,0.001787
9,1,3,서울베스트치과의원 동탄점,960,2893,0.33134,0.427225,0.486307,1.244872,3,80,0.000702,-0.005321,-0.000137
10,1,3,동탄리즈치과의원,606,1392,0.33134,0.42596,0.486212,1.243512,9,62,0.000702,0.008176,0.000882
11,1,1,병점맥스치과의원,24,704,0.33134,0.373005,0.482215,1.18656,-,27,0.000702,-0.012259,-0.000661
12,1,3,연세참예쁜치과교정과치과의원 동탄,714,1735,0.33134,0.372468,0.482175,1.185983,1,-1,0.000702,-0.013886,-0.000783
13,0,2,이루다소아치과의원,1027,87,0.33134,0.358625,0.48113,1.171095,1,-,0.000702,-0.000731,0.00021
14,1,1,서울포인트치과의원,166,763,0.33134,0.338466,0.479609,1.149415,-,26,0.000702,0.006144,0.000729
