rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,1,1,동탄센트럴치과병원,565,4757,0.33134,0.490465,0.49108,1.312885,9,735,0.017845,-0.005454,0.007568
2,3,1,동탄하나로치과의원,699,2194,0.33134,0.47577,0.489971,1.297081,10,361,0.017845,0.006889,0.0085
3,1,1,이즈치과의원,1383,4469,0.33134,0.474118,0.489846,1.295304,8,288,0.017845,-0.001167,0.007892
4,5,1,동탄키움치과의원,386,2235,0.33134,0.456382,0.488508,1.27623,10,275,0.017845,0.041574,0.011118
5,2,3,서울굿플란트치과의원,319,3148,0.33134,0.452743,0.488233,1.272316,10,454,0.017845,-0.035337,0.005313
6,2,1,플란치과의원 경기 동탄점,745,2928,0.33134,0.450332,0.488051,1.269723,13,881,0.017845,0.023896,0.009784
7,1,3,동탄주치과의원,638,3124,0.33134,0.439514,0.487235,1.258089,20,94,0.017845,-0.02002,0.00647
8,2,1,채움치과의원 동탄,533,2148,0.33134,0.429213,0.486457,1.24701,1,565,0.017845,0.017674,0.009314
9,8,3,서울베스트치과의원 동탄점,960,2893,0.33134,0.427225,0.486307,1.244872,8,286,0.017845,-0.075747,0.002263
10,4,1,동탄리즈치과의원,606,1392,0.33134,0.42596,0.486212,1.243512,26,490,0.017845,0.071838,0.013402
11,2,1,병점맥스치과의원,24,704,0.33134,0.373005,0.482215,1.18656,3,99,0.017845,-0.009029,0.007299
12,1,3,연세참예쁜치과교정과치과의원 동탄,714,1735,0.33134,0.372468,0.482175,1.185983,6,-4,0.017845,-0.022728,0.006265
13,2,1,이루다소아치과의원,1027,87,0.33134,0.358625,0.48113,1.171095,6,1,0.017845,0.00497,0.008355
14,4,1,서울포인트치과의원,166,763,0.33134,0.338466,0.479609,1.149415,1,93,0.017845,0.01677,0.009246
15,1,1,연세윤손치과의원,724,464,0.33134,0.332493,0.479158,1.142991,6,5,0.017845,0.002892,0.008199
16,3,1,더새로운치과의원,721,1738,0.33134,0.329017,0.478895,1.139252,1,224,0.017845,0.021378,0.009593
17,0,2,연세바로치과교정과치과의원,1401,57,0.33134,0.321593,0.478335,1.131268,11,-,0.017845,-0.004972,0.007605
18,11,3,마이플란트치과의원 동탄,400,717,0.33134,0.31632,0.477937,1.125597,-,3,0.017845,-0.124991,-0.001453
19,7,3,동탄아이소망치과소아치과의원,777,739,0.33134,0.311625,0.477583,1.120548,60,-1,0.017845,-0.071566,0.002579
20,7,1,바른이턱치과의원 동탄점,686,995,0.33134,0.308851,0.477373,1.117564,4,48,0.017845,0.031827,0.010382
21,9,1,동탄CL치과의원,1003,66,0.33134,0.308172,0.477322,1.116834,5,1,0.017845,0.035317,0.010645
22,15,1,연세선이고은치과의원,503,531,0.33134,0.299851,0.476694,1.107885,-,5,0.017845,0.042612,0.011196
23,0,2,내이튼치과의원,357,267,0.33134,0.294222,0.476269,1.101831,22,-,0.017845,0.005033,0.00836
24,2,3,첫번째치과의원,580,195,0.33134,0.29101,0.476027,1.098377,18,3,0.017845,-0.000975,0.007907
25,0,2,동탄역예나치과교정과치과의원,603,184,0.33134,0.290212,0.475967,1.097519,23,7,0.017845,0.009004,0.00866
26,15,1,서울아이미래치과의원,217,68,0.33134,0.290179,0.475964,1.097483,1,1,0.017845,0.035936,0.010692
27,5,1,로덴치과의원,507,17,0.331294,0.289199,0.475873,1.096366,-1,-,0.017845,0.022441,0.009674
28,18,1,디유치과의원,1033,569,0.33134,0.398348,0.475566,1.205254,23,310,0.017845,0.036811,0.010759
29,9,3,동탄365바름치과의원,461,497,0.33134,0.282859,0.475412,1.089611,7,-,0.017845,-0.016034,0.00677
30,4,1,벗치과의원,269,1104,0.33134,0.282481,0.475383,1.089204,-,-,0.017845,0.019569,0.009457
31,10,3,동탄꿈의치과의원,481,345,0.33134,0.279956,0.475193,1.086489,2,-1,0.017845,-0.016219,0.006757
32,1,3,꿈꾸는 소아치과의원,399,17,0.33134,0.273964,0.474741,1.080045,1,-,0.017845,0.003446,0.008241
33,6,1,미래꿈나무쥬니어치과의원,287,34,0.331294,0.273917,0.47472,1.079931,3,-,0.017845,0.017438,0.009297
34,15,1,서울키즈치과의원,280,22,0.33134,0.270654,0.474491,1.076485,-1,-,0.017845,0.024518,0.009831
35,2,3,메타폴리스치과의원,704,19,0.33134,0.268795,0.47435,1.074485,20,5,0.017845,0.003049,0.00821
36,4,1,동탄서울에스치과의원,764,42,0.33134,0.267427,0.474247,1.073014,-3,-,0.017845,0.012183,0.0089
37,11,3,동탄어린이치과의원,356,13,0.33134,0.266525,0.474179,1.072044,7,-,0.017845,-0.011151,0.007139
38,9,3,동탄연세원구강악안면외과치과의원,665,340,0.33134,0.265469,0.474099,1.070908,1,-,0.017845,-0.008252,0.007357
