place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21369005,미니쉬치과병원,2475,709,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,치아교정 미니쉬 치아복구솔루션 임플란트 자연치아보존치료,,0.331294,0.511054,0.44051,,0.0,291.0,2.0,,0.019447,0.004407,0.008751
2,11889874,스마일디치과의원,4742,481,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,신사역치과 강남교정치과 강남치과 임플란트 강남역라미네이트,,0.33134,0.491695,0.439066,,3.0,425.0,3.0,,0.019447,0.046788,0.011949
3,38893823,퍼펙트치과의원 강남,6383,1241,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강남역치과 무삭제라미네이트 강남역임플란트 강남역치아교정 강남역교정치과,,0.33134,0.461184,0.436763,,0.0,184.0,-6.0,,0.019447,-0.013334,0.007411
4,1827528950,이살리는치과의원 선릉역점,2133,107,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,선릉치과 선릉역치과 충치치료 치아미백 야간진료,,0.33134,0.441265,0.43526,Hot,14.0,262.0,10.0,,0.019447,0.046201,0.011905
5,1235932820,서울라라치과의원,2794,449,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강남치과 강남임플란트 강남치아미백 신논현역치과 논현동치과,,0.33134,0.439707,0.435143,,0.0,264.0,0.0,,0.019447,-0.064762,0.003531
6,36768942,유앤아이치과의원 압구정본점,2077,919,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,압구정교정치과 교정치과 압구정치과 치아교정 임플란트,,0.33134,0.434167,0.434724,,7.0,222.0,1.0,,0.019447,0.025996,0.01038
7,1430402581,플란치과의원 서울점,2201,3699,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 강남치과 신사역치과 신사치과 강남임플란트,,0.33134,0.431133,0.434495,,5.0,586.0,18.0,,0.019447,0.021423,0.010034
8,1748226425,디퍼스트치과의원 압구정 본원,1883,426,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아미백 압구정치과 제로네이트 라미네이트 임플란트,,0.33134,0.428986,0.434333,,0.0,70.0,4.0,,0.019447,-0.017061,0.00713
9,1636835879,강남유레카치과의원,1340,236,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,강남치과 강남임플란트 강남임플란트재수술 강남역임플란트재수술 강남사랑니,,0.33134,0.428921,0.434328,,2.0,74.0,0.0,,0.019447,0.013902,0.009467
10,31051092,더블유와이치과의원,1532,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,치아교정 임플란트 라미네이트 스케일링 압구정치과,,0.33134,0.426447,0.434142,,0.0,30.0,3.0,,0.019447,-0.005191,0.008026
11,1194059040,메이크치과의원,1293,217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 신사역치과 무삭제라미네이트 강남라미네이트 강남치과,,0.33134,0.426356,0.434135,,0.0,218.0,1.0,,0.019447,-0.003766,0.008134
12,711896532,2D치과의원,665,1636,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,무삭제라미네이트 세라필름 투디교정 블랙필름,,0.331294,0.412513,0.433073,Hot,11.0,7.0,31.0,,0.019447,0.022932,0.010149
13,1127506576,자스민치과의원,1119,423,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,선릉치과 선릉역치과 대치동치과 삼성역치과 한티역치과,,0.33134,0.41031,0.432924,,3.0,85.0,0.0,,0.019447,0.013102,0.009407
14,1500105778,루시드치과의원,3253,742,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 강남치과 수면임플란트 라미네이트 임플란트,,0.33134,0.40723,0.432691,,0.0,298.0,1.0,,0.019447,-0.027375,0.006352
15,2052991629,레브치과의원 강남점,1931,242,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신사역치과 무삭제라미네이트 강남임플란트 논현동치과 잠원동치아교정,,0.33134,0.402215,0.432313,,0.0,273.0,24.0,,0.019447,-0.027316,0.006357
16,1053883368,디데이치과의원 선릉,1796,1836,치과,건강의료>병원>병원의원>치과>치과-일반,4.96,,선릉역치과 선릉치과 대치동치과 삼성역치과 한티역치과,,0.33134,0.396744,0.4319,,0.0,32.0,9.0,,0.019447,-0.021345,0.006807
17,437253029,연세백치과의원,1189,362,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,양심치과 치아교정 사랑니 교정치과 임플란트,,0.33134,0.394762,0.43175,,7.0,276.0,0.0,,0.019447,0.013788,0.009458
18,36339237,뉴욕화이트치과의원,2738,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 네비게이션임플란트 라미네이트 선릉역치과 선릉치과,,0.33134,0.394135,0.431703,,0.0,261.0,1.0,,0.019447,-0.006576,0.007922
19,13209554,루체치과의원,1622,280,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,라미네이트 수면임플란트 압구정라미네이트 수면치료치과 압구정치과,,0.33134,0.393529,0.431657,,1.0,1.0,0.0,,0.019447,0.000321,0.008442
20,13315110,뉴연세치과의원,1013,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 대치동치과 삼성역치과 삼성동치과 선릉역치과,,0.33134,0.392836,0.431605,Hot,24.0,100.0,10.0,,0.019447,0.0538,0.012478
21,37072279,오리엔탈치과의원,1041,529,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대치동치과 수면마취치과 치아교정 임플란트 교정전문의,,0.33134,0.388311,0.431264,,1.0,0.0,0.0,,0.019447,-0.001823,0.008281
22,1623960121,똑똑플란트치과의원,1627,2162,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,강남역치과 강남임플란트치과 강남수면마취치과 강남수면임플란트치과 신논현역치과,,0.33134,0.38705,0.431168,,0.0,-16.0,43.0,,0.019447,-0.010502,0.007625
23,1188464115,엘투치과의원 삼성본원,1336,1329,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,삼성중앙역치과 앞니심미치료 치주임플란트 잇몸성형 임플란트,,0.33134,0.38601,0.43109,Hot,68.0,64.0,2.0,,0.019447,0.118691,0.017376
24,32258816,이믿음치과의원,1564,250,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 잇몸치료 충치치료 신경치료 역삼역치과,,0.33134,0.38304,0.430866,,1.0,103.0,3.0,,0.019447,0.00619,0.008885
25,37829332,서울튼튼이치과의원,719,245,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,선정릉역치과 삼성동치과 네비게이션임플란트 무통마취투명교정 매복사랑니발치,,0.33134,0.382089,0.430794,,2.0,135.0,1.0,,0.019447,0.008031,0.009024
26,33176566,사랑이아프니구강악안면외과치과의원 강남점,94,1989,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,사랑니 매복사랑니,,0.331294,0.380391,0.430649,,0.0,2.0,4.0,,0.019447,-0.016959,0.007138
27,13582820,삼성연세고운미소치과의원,2818,772,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,코엑스치과 강남임플란트치과 치아미백 치아교정 강남사랑니치과,,0.33134,0.37778,0.430469,,0.0,0.0,1.0,,0.019447,0.0035,0.008682
28,35251503,임플라인치과의원,424,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,삼성동임플란트 삼성동치아교정 삼성역치아교정 삼성동치과 삼성역치과,,0.33134,0.368942,0.429802,,0.0,-21.0,0.0,,0.019447,-0.004,0.008116
29,1515935845,연세바로치과의원 압구정점,299,505,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강남어린이교정 압구정치과 압구정교정치과 압구정라미네이트 인비절라인교정,,0.33134,0.36891,0.429799,,3.0,5.0,1.0,,0.019447,0.005199,0.00881
30,12855771,아이디치과의원,999,1180,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,신사역치과 강남임플란트 치아교정 라미네이트 인비절라인,,0.33134,0.365677,0.429555,,0.0,2.0,12.0,,0.019447,0.001047,0.008497
31,13061687,유씨강남치과의원,2066,550,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,치아성형 강남치과 강남임플란트 임플란트 강남충치,,0.33134,0.364998,0.429504,,0.0,2.0,6.0,,0.019447,-0.026072,0.00645
32,1486518236,압구정사랑이아프니구강악안면외과치과의원,228,697,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 매복사랑니 매복치 사랑니발치,,0.331294,0.361542,0.429226,,1.0,1.0,4.0,,0.019447,0.000795,0.008478
33,1163484303,더뉴치과의원,1668,514,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,치아교정 강남역치과 인비절라인 강남치과 강남임플란트,,0.33134,0.360021,0.429128,,0.0,-1.0,1.0,,0.019447,-0.003752,0.008134
34,11710968,드라마치과의원,610,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,강남치과 논현동치과 신사역치과 강남라미네이트 강남치아미백,,0.33134,0.353749,0.428655,,7.0,132.0,0.0,,0.019447,0.008324,0.009046
35,19886216,라이브치과병원 서울강남,8574,1908,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,강남역치과 강남역임플란트 강남치과 강남임플란트 신논현역치과,,0.33134,0.353657,0.428648,,4.0,-127.0,5.0,,0.019447,0.00529,0.008817
36,1522806176,강남치유치과의원 역삼점,649,185,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미니쉬 라미네이트 역삼역치과 충치신경보존 보철교정과전문의수면마취치과,,0.33134,0.352346,0.428549,Hot,10.0,153.0,0.0,,0.019447,0.01696,0.009698
37,21672701,연세바른마음치과의원,493,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,투명교정 전체임플란트 잇몸치료 충치치료 어린이치과,,0.33134,0.351461,0.428482,,0.0,3.0,2.0,,0.019447,-0.004772,0.008057
38,32259800,미소인치과의원,592,455,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,무삭제라미네이트 치과스케일링 레진충치치료 앞니교정비용 어금니임플란트,,0.33134,0.345284,0.428016,,2.0,7.0,0.0,,0.019447,-0.001741,0.008286
39,1505159069,도고치과의원,621,327,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강남치과 삼성동치과 강남임플란트 라미네이트 치아미백,,0.33134,0.342389,0.427798,,0.0,2.0,0.0,,0.019447,-0.022666,0.006708
40,1187327518,서울테헤란치과의원,1004,453,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,야간진료 충치치료 치아미백 치과임플란트 신경치료미세현미경,,0.33134,0.341199,0.427708,,0.0,45.0,2.0,,0.019447,-0.01562,0.007239
41,35196363,압구정민치과의원,63,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치아교정 어린이부정교합 프랑켈장치 돌출입 부정교합,,0.331294,0.341421,0.427707,,0.0,0.0,1.0,,0.019447,-0.016591,0.007165
42,1678669148,임플란피아치과의원,3505,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,삼성역치과 봉은사역치과 삼성역임플란트 봉은사역임플란트 삼성역교정치과,,0.33134,0.338166,0.427479,,0.0,100.0,0.0,,0.019447,-0.05684,0.004128
43,1077453863,곽정원현미경치과의원 선릉,870,163,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,선릉역치과 신경치료 임플란트 현미경치과 재신경치료,,0.33134,0.337651,0.42744,,0.0,57.0,0.0,,0.019447,-0.011886,0.007521
44,13188699,강남숙면치과의원 압구정,2259,382,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,압구정치과 압구정역치과 압구정임플란트 압구정역임플란트 수면임플란트,,0.33134,0.337638,0.427439,,0.0,123.0,5.0,,0.019447,-0.021885,0.006766
45,11716688,드림치과의원,728,173,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,라미네이트 압구정치과 라미네이트부작용 라미네이트재시술 무삭제라미네이트,,0.33134,0.335543,0.427281,,0.0,1.0,-1.0,,0.019447,-0.00735,0.007863
46,187283708,자기치아살리기삼성플란트치과의원,1305,563,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,삼성역임플란트 대치동충치 인비절라인투명부분교정 온레이보존충치치료 재신경치료,,0.331294,0.330723,0.4269,,0.0,86.0,4.0,,0.019447,-0.007701,0.007837
47,11485504,강남샘치과의원,1403,336,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,양재역치과 양재동치과 도곡동치과 양재역임플란트 야간진료,,0.33134,0.327293,0.426658,,4.0,0.0,0.0,,0.019447,0.004731,0.008775
48,37853237,행복드림치과의원,1161,289,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,역삼동치과 역삼동라미네이트 역삼동치아교정 역삼동사랑니발치 역삼동교정치과,,0.33134,0.325659,0.426535,,4.0,28.0,3.0,,0.019447,0.003658,0.008694
49,20332381,옥스치과의원,1429,218,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 치아교정 라미네이트 세렉,,0.331294,0.325721,0.426523,,1.0,38.0,2.0,,0.019447,0.002554,0.008611
50,12056237,미소드림치과의원,2319,832,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,이갈이치과 얼굴비대칭교정병원 비수술치아교정 안면비대칭병원 이갈이보톡스,,0.33134,0.32402,0.426411,,0.0,15.0,7.0,,0.019447,-0.001289,0.00832
